Attribute,Index,Clean Value,Cleaned Value
style,1052,16,16.0 oz. Alumi-Tek
style,1555,32,32.0 oz.
ounces,1052,0.045,0.05
abv,7,0.045,0.05
abv,13,0.069,0.07
abv,15,0.061,0.06
abv,27,0.049,0.05
abv,35,0.079,0.08
abv,36,0.068,0.07
abv,44,0.045,0.05
abv,45,0.055,0.06
abv,47,0.055,0.06
abv,56,0.046,0.05
abv,57,0.052,0.05
abv,71,0.125,0.13
abv,79,0.051,0.05
abv,80,0.065,0.07
abv,97,0.059,0.06
abv,98,0.065,0.07
abv,99,0.045,0.05
abv,101,0.056,0.06
abv,104,0.048,0.05
abv,109,0.058,0.06
abv,112,0.058,0.06
abv,114,0.057,0.06
abv,115,0.069,0.07
abv,121,0.054,0.05
abv,122,0.047,0.05
abv,128,0.085,0.09
abv,136,0.051,0.05
abv,148,0.082,0.08
abv,152,0.055,0.06
abv,158,0.062,0.06
abv,170,0.048,0.05
abv,176,0.049,0.05
abv,182,0.044,0.04
abv,184,0.038,0.04
abv,185,0.052,0.05
abv,190,0.045,0.05
abv,195,0.049,0.05
abv,201,0.067,0.07
abv,211,0.049,0.05
abv,215,0.058,0.06
abv,216,0.068,0.07
abv,218,0.058,0.06
abv,226,0.057,0.06
abv,235,0.078,0.08
abv,236,0.047,0.05
abv,238,0.056,0.06
abv,241,0.095,0.1
abv,264,0.051,0.05
abv,266,0.058,0.06
abv,268,0.099,0.1
abv,277,0.045,0.05
abv,285,0.048,0.05
abv,287,0.073,0.07
abv,296,0.055,0.06
abv,305,0.056,0.06
abv,306,0.056,0.06
abv,309,0.059,0.06
abv,332,0.042,0.04
abv,346,0.049,0.05
abv,348,0.064,0.06
abv,351,0.058,0.06
abv,359,0.056,0.06
abv,371,0.047,0.05
abv,376,0.055,0.06
abv,381,0.062,0.06
abv,387,0.058,0.06
abv,397,0.065,0.07
abv,403,0.066,0.07
abv,404,0.041,0.04
abv,405,0.082,0.08
abv,407,0.062,0.06
abv,412,0.056,0.06
abv,421,0.067,0.07
abv,426,0.045,0.05
abv,430,0.056,0.06
abv,438,0.099,0.1
abv,440,0.092,0.09
abv,448,0.055,0.06
abv,456,0.048,0.05
abv,458,0.068,0.07
abv,463,0.052,0.05
abv,468,0.062,0.06
abv,469,0.058,0.06
abv,471,0.053,0.05
abv,472,0.045,0.05
abv,476,0.065,0.07
abv,483,0.068,0.07
abv,489,0.049,0.05
abv,492,0.043,0.04
abv,502,0.068,0.07
abv,505,0.068,0.07
abv,507,0.056,0.06
abv,511,0.061,0.06
abv,512,0.056,0.06
abv,520,0.065,0.07
abv,527,0.055,0.06
abv,529,0.055,0.06
abv,531,0.049,0.05
abv,534,0.046,0.05
abv,538,0.052,0.05
abv,539,0.042,0.04
abv,547,0.057,0.06
abv,564,0.058,0.06
abv,568,0.068,0.07
abv,569,0.051,0.05
abv,570,0.051,0.05
abv,589,0.045,0.05
abv,592,0.057,0.06
abv,593,0.057,0.06
abv,619,0.055,0.06
abv,621,0.072,0.07
abv,627,0.062,0.06
abv,629,0.038,0.04
abv,630,0.056,0.06
abv,650,0.048,0.05
abv,651,0.075,0.08
abv,654,0.075,0.08
abv,662,0.045,0.05
abv,663,0.049,0.05
abv,664,0.055,0.06
abv,668,0.055,0.06
abv,670,0.055,0.06
abv,675,0.049,0.05
abv,679,0.045,0.05
abv,686,0.065,0.07
abv,689,0.065,0.07
abv,690,0.065,0.07
abv,691,0.072,0.07
abv,695,0.063,0.06
abv,697,0.075,0.08
abv,703,0.052,0.05
abv,714,0.052,0.05
abv,715,0.049,0.05
abv,716,0.063,0.06
abv,720,0.049,0.05
abv,721,0.044,0.04
abv,723,0.054,0.05
abv,727,0.045,0.05
abv,728,0.065,0.07
abv,738,0.066,0.07
abv,741,0.058,0.06
abv,742,0.061,0.06
abv,743,0.045,0.05
abv,751,0.057,0.06
abv,759,0.043,0.04
abv,761,0.049,0.05
abv,770,0.027,0.03
abv,771,0.055,0.06
abv,775,0.063,0.06
abv,782,0.075,0.08
abv,789,0.082,0.08
abv,791,0.055,0.06
abv,793,0.055,0.06
abv,799,0.053,0.05
abv,804,0.047,0.05
abv,814,0.055,0.06
abv,815,0.071,0.07
abv,821,0.065,0.07
abv,825,0.052,0.05
abv,826,0.062,0.06
abv,836,0.074,0.07
abv,838,0.047,0.05
abv,845,0.076,0.08
abv,864,0.056,0.06
abv,868,0.065,0.07
abv,878,0.065,0.07
abv,880,0.056,0.06
abv,881,0.065,0.07
abv,882,0.053,0.05
abv,884,0.052,0.05
abv,892,0.058,0.06
abv,896,0.059,0.06
abv,899,0.059,0.06
abv,905,0.046,0.05
abv,909,0.056,0.06
abv,913,0.058,0.06
abv,917,0.054,0.05
abv,918,0.042,0.04
abv,919,0.042,0.04
abv,920,0.042,0.04
abv,921,0.052,0.05
abv,923,0.052,0.05
abv,936,0.057,0.06
abv,939,0.057,0.06
abv,944,0.056,0.06
abv,947,0.062,0.06
abv,948,0.053,0.05
abv,951,0.061,0.06
abv,953,0.083,0.08
abv,955,0.095,0.1
abv,956,0.073,0.07
abv,958,0.045,0.05
abv,966,0.048,0.05
abv,970,0.054,0.05
abv,975,0.059,0.06
abv,978,0.053,0.05
abv,991,0.049,0.05
abv,993,0.065,0.07
abv,1006,0.057,0.06
abv,1024,0.059,0.06
abv,1026,0.059,0.06
abv,1030,0.059,0.06
abv,1032,0.048,0.05
abv,1034,0.054,0.05
abv,1035,0.064,0.06
abv,1039,0.062,0.06
abv,1044,0.063,0.06
abv,1050,0.045,0.05
abv,1053,0.055,0.06
abv,1056,0.066,0.07
abv,1059,0.047,0.05
abv,1060,0.058,0.06
abv,1062,0.078,0.08
abv,1075,0.027,0.03
abv,1079,0.039,0.04
abv,1080,0.039,0.04
abv,1082,0.039,0.04
abv,1083,0.039,0.04
abv,1085,0.039,0.04
abv,1087,0.039,0.04
abv,1089,0.058,0.06
abv,1090,0.066,0.07
