Attribute,Index,Dirty Value,Cleaned Value
sched_dep_time,34,empty,08:25 PM
sched_dep_time,44,empty,08:35 AM
sched_dep_time,93,07r:15 AM,07:15 AM
sched_dep_time,106,08:00 wPM,08:00 PM
sched_dep_time,173,empty,08:05 AM
sched_dep_time,204,8:00 PM,08:00 PM
sched_dep_time,265,empty,09:45 AM
sched_dep_time,269,02:0 PM,02:30 PM
sched_dep_time,289,12:00P M,12:00 PM
sched_dep_time,297,08:0 PM,08:00 PM
sched_dep_time,325,empty,01:05 PM
sched_dep_time,393,08:00 M,08:00 PM
sched_dep_time,430,02:55 PzM,02:55 PM
sched_dep_time,447,empty,10:39 AM
sched_dep_time,456,07:00 AM***,07:00 AM
sched_dep_time,485,empty,09:15 AM
sched_dep_time,491,08:00 MP,08:00 PM
sched_dep_time,499,04:2d5 PM,04:25 PM
sched_dep_time,520,empty,07:55 AM
sched_dep_time,535,empty,06:00 AM
sched_dep_time,582,l12:00 PM,12:00 PM
sched_dep_time,587,empty,07:10 AM
sched_dep_time,589,7:25 AM,07:25 AM
sched_dep_time,592,08:i00 PM,08:00 PM
sched_dep_time,628,06:00 M,06:00 AM
sched_dep_time,633,empty,08:00 AM
sched_dep_time,637,empty,03:27 PM
sched_dep_time,667,05:52 PM,05:25 PM
sched_dep_time,671,empty,03:35 PM
sched_dep_time,683,08:0 0PM,08:00 PM
sched_dep_time,690,11:55 nPM,11:55 PM
sched_dep_time,694,065:9 AM,06:59 AM
sched_dep_time,754,empty,02:30 PM
sched_dep_time,761,12:00 MP,12:00 PM
sched_dep_time,768,08:00e PM,08:00 PM
sched_dep_time,775,c06:59 AM,06:59 AM
sched_dep_time,794,065:9 AM,06:59 AM
sched_dep_time,806,06q:30 PM,06:30 PM
sched_dep_time,809,08:00PM,08:00 PM
sched_dep_time,865,08:0 PM,08:00 PM
sched_dep_time,867,empty,07:05 AM
sched_dep_time,872,empty,11:55 PM
sched_dep_time,876,06:59 MA,06:59 AM
sched_dep_time,933,empty,07:15 PM
sched_dep_time,937,08:00 PM***,08:00 PM
sched_dep_time,939,07:05m AM,07:05 AM
sched_dep_time,942,01:2 9PM,01:29 PM
sched_dep_time,943,empty,04:25 PM
sched_dep_time,1008,06:00AM,06:00 AM
sched_dep_time,1014,empty,10:15 AM
sched_dep_time,1015,0:30 AM,07:30 AM
sched_dep_time,1029,06:00 aAM,06:00 AM
sched_dep_time,1031,3:50 PM,03:50 PM
sched_dep_time,1032,08:0y0 PM,08:00 PM
sched_dep_time,1033,07:05 MA,07:05 AM
sched_dep_time,1040,60:59 AM,06:59 AM
sched_dep_time,1104,empty,12:30 PM
sched_dep_time,1124,0:800 PM,08:00 PM
sched_dep_time,1135,0:659 AM,06:59 AM
sched_dep_time,1196,08:00 hPM,08:00 PM
sched_dep_time,1279,08:h00 PM,08:00 PM
sched_dep_time,1286,1:55 PM,11:55 PM
sched_dep_time,1290,0:59 AM,06:59 AM
