Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,27,The Journal of clinical psychiatry,TheJournal of clinical psychiatry
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,244,Physiotherapy,Physigotherapy
journal_title,309,yGut,Gut
journal_title,348,Colorectaldisease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
journal_title,366,BioMed research international,BioMed research interntional
journal_title,532,Science (Newb York N.Y.),Science (New York N.Y.)
journal_title,551,Journal of stroke and cerebrovascular diseases : the official journal of National Sroke Association,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association
journal_title,575,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and eMdicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,642,Journal of Women''s Health (15n409996),Journal of Women's Health (15n409996)
journal_title,664,PLoS pOne,PLoS One
journal_title,746,Circuulation,Circulation
journal_title,770,PLoS Ogne,PLoS One
journal_title,773,Journal of the Nationla Cancer Institute,Journal of the National Cancer Institute
journal_title,792,Journal of cardiovascular medicinde (Hagerstown Md.),Journal of cardiovascular medicine (Hagerstown Md.)
journal_title,801,Journal of he National Cancer Institute,Journal of the National Cancer Institute
journal_title,822,Obesity (Silver Sprisng Md.),Obesity (Silver Spring Md.)
journal_title,849,nn Rheum Dis,Ann Rheum Dis
journal_title,858,Circlation,Circulation
journal_title,889,LPoS One,PLoS One
journal_title,894,The European rejspiratory journal,The European respiratory journal
journal_title,910,Cancre,Cancer
journal_title,925,Europwean Journal Of Anaesthesiology,European Journal Of Anaesthesiology
journal_title,932,Journal of clinical oncology : officiacl journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
journal_title,954,International journal of obesity (2005)***,International journal of obesity (2005)
journal_title,959,Annals of niternal medicine,Annals of internal medicine
journal_title,980,Endocrnology,Endocrinology
journal_title,984,Am J Clin Ntur,Am J Clin Nutr
journal_title,991,Am J Clin Nuwtr,Am J Clin Nutr
journal_issn,19,Jan-68,68-Jan
journal_issn,218,1462-8910,1463-1318
journal_issn,236,Jan-47,47-Jan
journal_issn,392,Feb-62,62-Feb
journal_issn,435,Feb-65,65-Feb
journal_issn,645,Jan-55,55-Jan
journal_issn,691,Sep-60,60-Sep
journal_issn,741,Apr-74,74-Apr
journal_issn,747,Mar-67,67-Mar
journal_issn,849,Mar-67,67-Mar
journal_issn,894,1399-3003,0903-1936
