Attribute,Index,Dirty Value,Clean Value
journal_title,40,European journal of emergency medicine :t official journal of the European Society for Emergency Medicine,European journal of emergency medicine : official journal of the European Society for Emergency Medicine
journal_title,41,Int. J. Radiat.s Oncol. Biol. Phys.,Int. J. Radiat. Oncol. Biol. Phys.
journal_title,49,TheJournal of clinical psychiatry,The Journal of clinical psychiatry
journal_title,93,iNcotine Tob Res,Nicotine Tob Res
journal_title,135,empty,Annals of Internal Medicine
journal_title,186,Mount Sinia Journal of Medicine,Mount Sinai Journal of Medicine
journal_title,209,empty,Arch Surg
journal_title,221,Computerized Medical Imaging and Graphisc: The Official Journal of the Computerized Medical Imaging Society,Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society
journal_title,224,empty,Int J Obes (Lond)
journal_title,255,empty,Nature: New biology
journal_title,259,empty,Critical care medicine
journal_title,338,empty,Leukemia and Lymphoma
journal_title,352,empty,East African Medical Journal
journal_title,354,Bmc ancer,Bmc Cancer
journal_title,362,Ann Frw Anesth Reanim,Ann Fr Anesth Reanim
journal_title,386,he Science of the total environment,The Science of the total environment
journal_title,404,empty,Critical Care Nursing Quarterly
journal_title,423,Addctive Behaviors,Addictive Behaviors
journal_title,448,Conference proceedings : ... Annual Internatiotnal Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference
journal_title,451,Journal of learningd isabilities,Journal of learning disabilities
journal_title,459,Pain Mediocine,Pain Medicine
journal_title,487,Physigotherapy,Physiotherapy
journal_title,550,Disabliity and rehabilitation,Disability and rehabilitation
journal_title,570,International psychogeriatric / IPA,International psychogeriatrics / IPA
journal_title,589,Pharmacgenomics,Pharmacogenomics
journal_title,618,NbULL,empty
journal_title,625,International wJournal of Obesity,International Journal of Obesity
journal_title,663,The Journal of heaart valve disease,The Journal of heart valve disease
journal_title,674,Environmental monitoring and asessment,Environmental monitoring and assessment
journal_title,692,empty,Vaccine
journal_title,698,Eergy Policy,Energy Policy
journal_title,705,BioMed research interntional,BioMed research international
journal_title,785,Patolozgie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.
journal_title,797,ULL,empty
journal_title,820,Crit. Care Mde.,Crit. Care Med.
journal_title,827,International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Da oBao],International Medicine & Health Guidance News [Guo Ji Yi Yao Wei Sheng Dao Bao]
journal_title,883,Cost Effectiveness and Resource jAllocation,Cost Effectiveness and Resource Allocation
journal_title,884,empty,Nippon Seikeigeka Gakkai zasshi
journal_title,907,ProQuets LLC,ProQuest LLC
journal_title,926,Funcional Neurology,Functional Neurology
journal_title,928,empty,Pediatrics
journal_title,957,empty,Journal of Environmental Psychology
journal_title,975,Surgica linfections,Surgical infections
journal_issn,8,empty,1535-4970
journal_issn,32,empty,0195-668X
journal_issn,68,empty,1139-6121
journal_issn,86,9790000000000,9788480000000
journal_issn,107,NULlL,empty
journal_issn,110,0035-9157 (Print) 0035-9157,1469-493X
journal_issn,111,0035-9157 (Print) 0035-9157,1432-0851
journal_issn,112,0035-9157 (Print) 0035-9157,2044-6055
journal_issn,113,0035-9157 (Print) 0035-9157,empty
journal_issn,114,0035-9157 (Print) 0035-9157,0143-991X
journal_issn,115,0035-9157 (Print) 0035-9157,0315-162X
journal_issn,116,0035-9157 (Print) 0035-9157,empty
journal_issn,117,0035-9157 (Print) 0035-9157,0021-8987
journal_issn,118,0035-9157 (Print) 0035-9157,empty
journal_issn,119,0035-9157 (Print) 0035-9157,2115-7863(Electronic);2115-8789(Print)
journal_issn,120,NUdLL,empty
journal_issn,132,empty,37-Feb
journal_issn,138,empty,1170-7690
journal_issn,150,empty,0363-6771
journal_issn,170,NULL***,empty
journal_issn,189,empty,2158-0979
journal_issn,248,empty,1982-4335
journal_issn,265,empty,1931-3543
journal_issn,267,f0003-990X,0003-990X
journal_issn,272,0042-9007***,0042-9007
journal_issn,289,19326-203,1932-6203
journal_issn,310,empty,1931-3543
journal_issn,332,179-1969,1179-1969
journal_issn,348,1463-1318,1462-8910
journal_issn,354,1417-2407,1471-2407
journal_issn,372,empty,1539-3704
journal_issn,378,19n32-6203,1932-6203
journal_issn,395,empty,1098-4275
journal_issn,424,empty,0735-1631
journal_issn,433,ULL,empty
journal_issn,450,empty,1170-7690
journal_issn,459,rNULL,empty
journal_issn,487,1873-14t65,1873-1465
journal_issn,490,empty,1098-4275
journal_issn,493,1433-7374,1433-7347
journal_issn,494,NxULL,empty
journal_issn,508,ov-53,53-Nov
journal_issn,516,2168-6k19X,2168-619X
journal_issn,532,10959203,1095-9203
journal_issn,538,0160-6k379,0160-6379
journal_issn,546,1462-0h324,1462-0324
journal_issn,575,143-0380,1423-0380
journal_issn,596,0949-2658 (Print) 0949-2i658,0949-2658 (Print) 0949-2658
journal_issn,611,0268960X,0268-960X
journal_issn,627,091r0-5050,0910-5050
journal_issn,643,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep
journal_issn,647,1469-8m96X,1469-896X
journal_issn,657,146h0-2385,1460-2385
journal_issn,659,1524-4628,0039-2499
journal_issn,664,1923-6203,1932-6203
journal_issn,673,empty,-9262
journal_issn,722,0021-7557***,0021-7557
journal_issn,770,1932-603,1932-6203
journal_issn,784,3103-6521,1303-6521
journal_issn,798,r0363-5023,0363-5023
journal_issn,801,1460l-2105,1460-2105
journal_issn,808,4167-1107,1467-1107
journal_issn,822,1930-739X,1930-7381
journal_issn,828,1532-5415,14-Feb
journal_issn,833,NULzL,empty
journal_issn,839,540-0514,1540-0514
journal_issn,855,1423-0356,0025-7931
journal_issn,859,empty,1098-4275
journal_issn,889,1932-623,1932-6203
journal_issn,892,036-5023,0363-5023
journal_issn,910,1097-014o2,1097-0142
journal_issn,913,empty,0361-6843 Print 1471-6402 Electronic
journal_issn,915,1099-1611,1057-9249
journal_issn,928,empty,1098-4275
journal_issn,941,empty,1462-2416
journal_issn,959,empty,1539-3704
journal_issn,984,Febq-65,65-Feb
journal_issn,985,empty,1083-8791
journal_issn,991,eb-65,65-Feb
journal_issn,993,1423-030,1423-0380
