Attribute,Index,Dirty Value,Clean Value
gender,5869,empty,F
gender,5870,***,F
gender,5871,***,F
gender,5872,empty,F
gender,5873,***,F
gender,5874,empty,F
gender,5875,***,F
gender,5876,***,F
gender,5877,empty,F
gender,5878,***,F
gender,5879,empty,F
gender,5881,empty,F
gender,5882,***,F
gender,5884,***,F
gender,5885,***,F
gender,5886,empty,F
gender,5888,***,F
gender,6097,***,F
gender,6098,***,F
gender,6099,empty,F
gender,6102,empty,F
gender,6103,***,F
gender,6104,empty,F
gender,6105,***,F
gender,6106,***,F
gender,6107,empty,F
gender,6108,empty,F
gender,6109,empty,F
gender,6111,empty,F
gender,6213,empty,F
gender,6214,***,F
gender,6215,empty,F
gender,6216,***,F
gender,6217,***,F
gender,6218,***,F
gender,6220,empty,F
gender,6221,empty,F
gender,6222,***,F
gender,6224,empty,F
gender,6225,***,F
gender,6226,***,F
gender,6307,***,F
gender,6308,empty,F
gender,6309,empty,F
gender,6310,***,F
gender,6311,***,F
gender,6313,***,F
gender,6315,***,F
gender,6316,empty,F
gender,6317,empty,F
gender,6318,***,F
gender,6319,empty,F
gender,6724,***,F
gender,6725,***,F
gender,6727,***,F
gender,6728,empty,F
gender,6729,***,F
gender,6731,empty,F
gender,6732,***,F
gender,6733,***,F
gender,6751,***,F
gender,6752,empty,F
gender,6754,***,F
gender,6755,empty,F
gender,6756,***,F
gender,6757,empty,F
gender,6758,***,F
gender,6759,empty,F
gender,6760,***,F
gender,6761,empty,F
gender,6762,***,F
gender,6764,empty,F
gender,6765,empty,F
gender,6766,***,F
gender,6767,***,F
gender,6939,empty,F
gender,6940,***,F
gender,6942,***,F
gender,6943,empty,F
gender,6945,***,F
gender,6946,***,F
gender,6947,empty,F
gender,6949,***,F
gender,6950,***,F
gender,6951,empty,F
gender,6952,***,F
gender,6953,***,F
gender,6955,***,F
gender,6994,empty,F
gender,6995,***,F
gender,6996,empty,F
gender,6997,***,F
gender,6998,***,F
gender,6999,empty,F
gender,7000,empty,F
gender,7001,empty,F
gender,7003,***,F
gender,7004,empty,F
gender,7005,empty,F
gender,7006,***,F
gender,7007,***,F
gender,7008,empty,F
gender,7009,empty,F
gender,7011,***,F
gender,7012,empty,F
gender,7013,***,F
gender,7014,empty,F
gender,7372,***,F
gender,7373,empty,F
gender,7374,***,F
gender,7376,empty,F
gender,7377,empty,F
gender,7379,empty,F
gender,7380,empty,F
gender,7381,***,F
gender,7382,empty,F
gender,7383,***,F
gender,7384,***,F
gender,7385,empty,F
gender,7387,***,F
city,243,SA NANTONIO,SAN ANTONIO
city,924,COLESe POINT,COLES POINT
city,5955,ARLIGNTON,ARLINGTON
city,7971,BRENTWhOOD,BRENTWOOD
city,8340,RUYB,RUBY
city,8901,empty,NORRISTOWN
city,9938,KNICKERBOCEKR,KNICKERBOCKER
city,10857,ASBUR PARK,ASBURY PARK
city,13172,RGOVEPORT,GROVEPORT
city,21918,PERRY***,PERRY
city,21944,CLApRION,CLARION
city,23341,empty,SAN DIEGO
city,25512,RCO,ARCO
city,28740,AREICBO,ARECIBO
city,29698,STILLWATR,STILLWATER
city,30338,BALLIGNER,BALLINGER
city,32338,ARMNTO,ARMINTO
city,34465,empty,MOORLAND
city,35392,SHOREtHAM,SHOREHAM
city,37119,HOLLIDYA,HOLLIDAY
city,38003,AARAT,ARARAT
city,38594,WESTERNVILEL,WESTERNVILLE
city,39448,AH,ASH
city,43448,ARCrOLA,ARCOLA
city,45345,empty,EASTCHESTER
city,45488,AGOS,ARGOS
city,47437,ALLNWOOD,ALLENWOOD
city,48729,ARIE,ARTIE
city,49084,empty,GRAHN
city,49535,ARCIE,ARCHIE
city,49729,RCO,ARCO
city,53325,LOSO SOS,LOS OSOS
city,55768,LOS GATS,LOS GATOS
city,55806,ARTUR,ARTHUR
city,60265,AREICBO,ARECIBO
city,61164,RCO,ARCO
city,62507,SCUTNEY,ASCUTNEY
city,62614,ALRINGTON,ARLINGTON
city,63193,ARCHOBLD,ARCHBOLD
city,66100,ARBI,ARABI
city,69189,ARECIOB,ARECIBO
city,71316,HARRISBURtG,HARRISBURG
city,72072,AREICBO,ARECIBO
city,75644,MAIMI,MIAMI
city,76053,ASEHR,ASHER
city,78064,empty,STUART
city,78423,RIGHTWOOD,WRIGHTWOOD
city,80076,STRONGSVzILLE,STRONGSVILLE
city,82217,ARECBO,ARECIBO
city,84568,AAD,ADA
city,85639,PEEBLES***,PEEBLES
city,85925,RAVADA,ARVADA
city,86374,ARfT,ART
city,88349,ARLIGNTON,ARLINGTON
city,88745,ACRHER,ARCHER
city,90009,empty,PITTSBURG
city,91081,ABON,ARBON
city,92139,ARMSTROGN,ARMSTRONG
city,94123,ALRINGTON,ARLINGTON
city,95471,empty,HOUSTON
city,97400,ARTUR,ARTHUR
city,97401,ARGUSVILE,ARGUSVILLE
city,97517,CLEBUgRNE,CLEBURNE
city,100433,ARGUSVILE,ARGUSVILLE
city,102486,WIND GPA,WIND GAP
city,103406,ARMSTROGN,ARMSTRONG
city,103576,SCUTNEY,ASCUTNEY
city,103578,empty,DAYTON
city,105377,HITTEMORE,WHITTEMORE
city,105918,RAPAHOE,ARAPAHOE
city,106371,ARYRD,ARBYRD
city,106681,OEDSSA,ODESSA
city,107322,ARCBALD,ARCHBALD
city,107702,ARCLA,ARCOLA
city,107753,ARMpADA,ARMADA
city,108103,ARANSASP ASS,ARANSAS PASS
city,108932,empty,WESTMINSTER
city,109121,AH,ASH
city,109492,TAWASC ITY,TAWAS CITY
city,111118,ARYGLE,ARGYLE
city,114431,CORUPS CHRISTI,CORPUS CHRISTI
city,116533,ARKABTLA,ARKABUTLA
city,119689,ARLINGON,ARLINGTON
city,120049,ACRHER,ARCHER
city,123081,ARLNGTON,ARLINGTON
city,123857,AP,ARP
city,123875,ARDORE,ARDMORE
city,125298,BEALyE AFB,BEALE AFB
city,125451,ELIZAIVLLE,ELIZAVILLE
city,127780,ACO,ARCO
city,128086,empty,ITHACA
city,129104,ADARA,ARDARA
city,129493,ARBI,ARABI
city,130368,ARLINGTN,ARLINGTON
city,130550,FOR THILL,FORT HILL
city,132062,RCO,ARCO
city,132806,ISERRA MADRE,SIERRA MADRE
city,132958,HRADIN,HARDIN
city,133043,ARKABTLA,ARKABUTLA
city,133299,RAY,ARY
city,135008,ARTEIA,ARTESIA
city,135788,empty,BLAIRSVILLE
city,136401,BRIGHWTATERS,BRIGHTWATERS
city,138688,HLILSBORO,HILLSBORO
city,139064,ARTUR,ARTHUR
city,140696,ARLNGTON,ARLINGTON
city,142226,ACATA,ARCATA
city,142236,AKR,ARK
city,144004,ARTEIA,ARTESIA
city,146689,empty,RANDALL
city,148162,ARNLD,ARNOLD
city,148605,AiRLINGTON,ARLINGTON
city,149426,ARBEAL,ARBELA
city,149438,ARCADA,ARCADIA
city,149586,RAPAHOE,ARAPAHOE
city,150071,PLAM BAY,PALM BAY
city,150470,FREEBUGR,FREEBURG
city,151660,ARECIOB,ARECIBO
city,151831,ARBEAL,ARBELA
city,152548,RALINGTON,ARLINGTON
city,155200,SCUTNEY,ASCUTNEY
city,157879,RONOKE,ROANOKE
city,157969,ARMNTO,ARMINTO
city,159076,ARADA,ARVADA
city,159203,ASUBRY,ASBURY
city,160455,ARCaADIA,ARCADIA
city,161064,ARECBO,ARECIBO
city,161883,empty,HUME
city,162372,ABON,ARBON
city,162977,RAIMO,ARIMO
city,164555,ARLINTON,ARLINGTON
city,167690,empty,SUMNER
city,169002,AhLBANY,ALBANY
city,170610,NEW SUMEMRFIELD,NEW SUMMERFIELD
city,171111,SAUGERITES,SAUGERTIES
city,171731,MADERsA,MADERA
city,171832,AHS GROVE,ASH GROVE
city,173553,ARENDTSVIuLLE,ARENDTSVILLE
city,174426,ARLINTGON,ARLINGTON
city,175065,RAVADA,ARVADA
city,175950,RAY,ARY
city,176635,ARRYO,ARROYO
city,177250,ATLNATA,ATLANTA
city,179455,ARLINGqTON,ARLINGTON
city,180721,ARLINzGTON,ARLINGTON
city,181558,ARTUR,ARTHUR
city,181707,PITTSjBURGH,PITTSBURGH
city,184035,RAIMO,ARIMO
city,186714,empty,BEACON
city,187135,RCO,ARCO
city,187756,ARCHOBLD,ARCHBOLD
city,187875,ARMNTO,ARMINTO
city,188125,BROwOKLINE,BROOKLINE
city,188988,AGOS,ARGOS
city,189948,AKR,ARK
city,190551,ARCDE,ARCADE
city,191478,ARYGLE,ARGYLE
city,192020,AARAT,ARARAT
city,195302,ARCDE,ARCADE
city,195344,ARRYO,ARROYO
city,196486,empty,JAMAICA
city,196925,AHS GROVE,ASH GROVE
city,197031,empty,CARVER
city,197650,ARTHUR CIpTY,ARTHUR CITY
city,199348,ARLIGTON,ARLINGTON
city,199609,SUNC ITY,SUN CITY
state,2220,JN,NJ
state,7394,JN,NJ
state,8154,JN,NJ
state,10366,JN,NJ
state,10415,JN,NJ
state,10613,JN,NJ
state,13260,JN,NJ
state,17803,JN,NJ
state,18139,JN,NJ
state,18964,JN,NJ
state,20295,JN,NJ
state,21183,JN,NJ
state,21268,JN,NJ
state,23090,JN,NJ
state,24710,JN,NJ
state,25863,JN,NJ
state,27455,JN,NJ
state,28726,JN,NJ
state,29229,JN,NJ
state,29928,JN,NJ
state,30182,JN,NJ
state,33533,JN,NJ
state,34727,JN,NJ
state,35359,JN,NJ
state,36371,JN,NJ
state,37902,JN,NJ
state,38230,JN,NJ
state,39268,JN,NJ
state,39973,JN,NJ
state,40151,JN,NJ
state,41500,JN,NJ
state,44523,JN,NJ
state,44757,JN,NJ
state,44818,JN,NJ
state,46830,JN,NJ
state,50534,JN,NJ
state,54833,JN,NJ
state,55654,JN,NJ
state,58616,JN,NJ
state,58914,JN,NJ
state,61592,JN,NJ
state,62817,JN,NJ
state,63594,JN,NJ
state,64930,JN,NJ
state,66894,JN,NJ
state,68035,JN,NJ
state,68691,JN,NJ
state,71630,JN,NJ
state,72800,JN,NJ
state,76077,JN,NJ
state,76090,JN,NJ
state,77656,JN,NJ
state,77759,JN,NJ
state,79819,JN,NJ
state,80670,JN,NJ
state,81443,JN,NJ
state,81606,JN,NJ
state,82024,JN,NJ
state,82252,JN,NJ
state,82477,JN,NJ
state,84007,JN,NJ
state,85146,JN,NJ
state,86227,JN,NJ
state,86333,JN,NJ
state,87347,JN,NJ
state,87496,JN,NJ
state,87640,JN,NJ
state,88525,JN,NJ
state,92833,JN,NJ
state,93583,JN,NJ
state,93981,JN,NJ
state,95229,JN,NJ
state,95688,JN,NJ
state,97847,JN,NJ
state,98948,JN,NJ
state,100246,JN,NJ
state,109995,JN,NJ
state,112595,JN,NJ
state,112761,JN,NJ
state,113816,JN,NJ
state,114500,JN,NJ
state,115524,JN,NJ
state,115814,JN,NJ
state,116961,JN,NJ
state,117169,JN,NJ
state,118694,JN,NJ
state,119642,JN,NJ
state,121391,JN,NJ
state,121401,JN,NJ
state,124671,JN,NJ
state,125775,JN,NJ
state,126246,JN,NJ
state,126414,JN,NJ
state,126425,JN,NJ
state,128153,JN,NJ
state,129798,JN,NJ
state,131708,JN,NJ
state,132778,JN,NJ
state,134163,JN,NJ
state,134855,JN,NJ
state,135989,JN,NJ
state,136868,JN,NJ
state,137137,JN,NJ
state,137693,JN,NJ
state,140835,JN,NJ
state,141565,JN,NJ
state,142697,JN,NJ
state,143192,JN,NJ
state,147269,JN,NJ
state,149405,JN,NJ
state,149495,JN,NJ
state,153827,JN,NJ
state,155879,JN,NJ
state,157536,JN,NJ
state,159777,JN,NJ
state,159816,JN,NJ
state,160377,JN,NJ
state,161372,JN,NJ
state,162031,JN,NJ
state,163017,JN,NJ
state,163291,JN,NJ
state,163571,JN,NJ
state,164522,JN,NJ
state,167928,JN,NJ
state,168406,JN,NJ
state,168552,JN,NJ
state,169821,JN,NJ
state,169973,JN,NJ
state,170121,JN,NJ
state,170204,JN,NJ
state,170744,JN,NJ
state,171237,JN,NJ
state,173202,JN,NJ
state,173457,JN,NJ
state,174642,JN,NJ
state,174925,JN,NJ
state,175393,JN,NJ
state,176613,JN,NJ
state,179222,JN,NJ
state,180171,JN,NJ
state,182445,JN,NJ
state,183125,JN,NJ
state,184293,JN,NJ
state,184530,JN,NJ
state,184574,JN,NJ
state,184655,JN,NJ
state,184703,JN,NJ
state,184981,JN,NJ
state,185873,JN,NJ
state,188989,JN,NJ
state,192636,JN,NJ
state,193099,JN,NJ
state,193830,JN,NJ
state,195508,JN,NJ
state,195540,JN,NJ
state,198668,JN,NJ
singleexemp,680,empty,0
singleexemp,838,empty,0
singleexemp,969,empty,700
singleexemp,1160,***,0
singleexemp,1379,empty,3100
singleexemp,2551,***,0
singleexemp,3811,***,0
singleexemp,4092,b0,0
singleexemp,4415,l0,0
singleexemp,4944,u0,0
singleexemp,5921,r0,0
singleexemp,6566,empty,0
singleexemp,7390,***,0
singleexemp,8792,u2000,2000
singleexemp,9132,***,0
singleexemp,9217,1l000,1000
singleexemp,10166,***,0
singleexemp,10350,***,0
singleexemp,10530,e0,0
singleexemp,11218,u0,0
singleexemp,12203,empty,700
singleexemp,12245,***,0
singleexemp,12512,***,0
singleexemp,12889,p3100,3100
singleexemp,13198,1000***,1000
singleexemp,14167,b0,0
singleexemp,14196,***,0
singleexemp,14204,empty,0
singleexemp,14305,empty,1500
singleexemp,15320,empty,900
singleexemp,16478,1000***,1000
singleexemp,16752,empty,0
singleexemp,17423,v1000,1000
singleexemp,17788,***,0
singleexemp,18287,***,0
singleexemp,18339,***,0
singleexemp,19156,empty,0
singleexemp,19275,***,0
singleexemp,19580,***,0
singleexemp,19879,***,0
singleexemp,20671,***,0
singleexemp,20730,empty,0
singleexemp,21402,empty,0
singleexemp,21474,***,0
singleexemp,21490,***,0
singleexemp,21656,empty,87
singleexemp,21758,empty,0
singleexemp,22281,***,0
singleexemp,22727,empty,87
singleexemp,23397,empty,0
singleexemp,23828,empty,0
singleexemp,23940,0,1000
singleexemp,24768,***,0
singleexemp,25054,***,0
singleexemp,25211,***,0
singleexemp,25545,empty,87
singleexemp,25565,4j0,40
singleexemp,25590,d0,0
singleexemp,26412,***,0
singleexemp,26494,***,0
singleexemp,26999,***,0
singleexemp,27340,empty,2100
singleexemp,27805,n0,0
singleexemp,28433,n0,0
singleexemp,29104,***,0
singleexemp,29450,empty,0
singleexemp,29641,27f00,2700
singleexemp,29992,j0,0
singleexemp,30411,***,0
singleexemp,31075,empty,0
singleexemp,31179,7,87
singleexemp,31311,***,0
singleexemp,31559,***,0
singleexemp,32213,empty,0
singleexemp,32264,***,0
singleexemp,33141,***,0
singleexemp,33224,empty,0
singleexemp,33536,***,0
singleexemp,34466,***,0
singleexemp,34507,empty,0
singleexemp,35177,***,0
singleexemp,35736,empty,0
singleexemp,35789,330,3300
singleexemp,35912,***,0
singleexemp,35941,10d00,1000
singleexemp,36283,1000***,1000
singleexemp,36384,f0,0
singleexemp,36850,***,0
singleexemp,36873,***,0
singleexemp,38508,n0,0
singleexemp,38603,***,0
singleexemp,38676,***,0
singleexemp,38990,***,0
singleexemp,39160,e0,0
singleexemp,39933,empty,0
singleexemp,40188,***,0
singleexemp,40646,***,0
singleexemp,40818,***,0
singleexemp,40871,***,0
singleexemp,40899,330,3300
singleexemp,41060,empty,3100
singleexemp,41571,empty,0
singleexemp,41668,***,0
singleexemp,42060,700***,700
singleexemp,42350,***,0
singleexemp,43249,a0,0
singleexemp,43785,195,159
singleexemp,44112,***,0
singleexemp,44231,***,0
singleexemp,45141,***,0
singleexemp,45152,d0,0
singleexemp,45242,***,0
singleexemp,45387,15b00,1500
singleexemp,45667,***,0
singleexemp,46210,***,0
singleexemp,46628,***,0
singleexemp,47250,a0,0
singleexemp,47607,w0,0
singleexemp,48789,empty,0
singleexemp,48910,***,0
singleexemp,48965,***,0
singleexemp,49559,***,0
singleexemp,49632,d0,0
singleexemp,49756,***,0
singleexemp,50378,***,0
singleexemp,50772,empty,3300
singleexemp,51000,***,0
singleexemp,51459,***,0
singleexemp,51799,***,0
singleexemp,52200,empty,0
singleexemp,52434,***,0
singleexemp,52571,empty,0
singleexemp,53316,p0,0
singleexemp,53615,***,0
singleexemp,53989,l0,0
singleexemp,54085,***,0
singleexemp,54496,m0,0
singleexemp,55001,***,0
singleexemp,55325,130,1300
singleexemp,55614,q2000,2000
singleexemp,56070,1300***,1300
singleexemp,56186,d0,0
singleexemp,57638,r0,0
singleexemp,57719,q0,0
singleexemp,58573,***,0
singleexemp,58928,***,0
singleexemp,59172,200h0,2000
singleexemp,59596,***,0
singleexemp,59846,empty,0
singleexemp,60073,y0,0
singleexemp,60114,d0,0
singleexemp,60192,empty,2100
singleexemp,60686,u20,20
singleexemp,60815,empty,0
singleexemp,61272,***,0
singleexemp,61612,empty,0
singleexemp,64005,***,0
singleexemp,64674,empty,0
singleexemp,65192,***,0
singleexemp,66282,***,0
singleexemp,66779,empty,0
singleexemp,66982,***,0
singleexemp,67183,***,0
singleexemp,67272,***,0
singleexemp,67448,***,0
singleexemp,67798,empty,1000
singleexemp,68142,***,0
singleexemp,68284,***,0
singleexemp,70550,7,87
singleexemp,70853,empty,0
singleexemp,71411,900***,900
singleexemp,71547,***,0
singleexemp,72861,***,0
singleexemp,73007,***,0
singleexemp,73258,***,0
singleexemp,74163,***,0
singleexemp,74222,***,0
singleexemp,74436,y3300,3300
singleexemp,74996,empty,0
singleexemp,75285,***,0
singleexemp,75668,***,0
singleexemp,76114,***,0
singleexemp,76633,100,1000
singleexemp,76681,***,0
singleexemp,77122,***,0
singleexemp,77449,***,0
singleexemp,78153,***,0
singleexemp,78537,13r00,1300
singleexemp,78570,***,0
singleexemp,78844,***,0
singleexemp,79056,empty,0
singleexemp,79786,***,0
singleexemp,80164,empty,87
singleexemp,80768,empty,2000
singleexemp,81000,x0,0
singleexemp,81252,empty,0
singleexemp,82541,u0,0
singleexemp,83422,e0,0
singleexemp,83445,***,0
singleexemp,83460,***,0
singleexemp,83877,j0,0
singleexemp,84098,***,0
singleexemp,84591,x0,0
