Attribute,Index,Clean Value,Cleaned Value
HospitalName,170,marshall medical center north,callahan eye foundation hospital
HospitalName,171,marshall medical center north,callahan eye foundation hospital
HospitalName,172,marshall medical center north,callahan eye foundation hospital
HospitalName,173,marshall medical center north,callahan eye foundation hospital
HospitalName,174,marshall medical center north,callahan eye foundation hospital
HospitalName,175,marshall medical center north,callahan eye foundation hospital
HospitalName,176,marshall medical center north,callahan eye foundation hospital
HospitalName,177,marshall medical center north,callahan eye foundation hospital
HospitalName,178,marshall medical center north,callahan eye foundation hospital
HospitalName,179,marshall medical center north,callahan eye foundation hospital
HospitalName,180,marshall medical center north,callahan eye foundation hospital
HospitalName,181,marshall medical center north,callahan eye foundation hospital
HospitalName,182,marshall medical center north,callahan eye foundation hospital
HospitalName,183,marshall medical center north,callahan eye foundation hospital
HospitalName,184,marshall medical center north,callahan eye foundation hospital
HospitalName,185,marshall medical center north,callahan eye foundation hospital
HospitalName,186,marshall medical center north,callahan eye foundation hospital
HospitalName,187,marshall medical center north,callahan eye foundation hospital
HospitalName,188,marshall medical center north,callahan eye foundation hospital
HospitalName,189,marshall medical center north,callahan eye foundation hospital
HospitalName,190,marshall medical center north,callahan eye foundation hospital
HospitalName,191,marshall medical center north,callahan eye foundation hospital
HospitalName,192,marshall medical center north,callahan eye foundation hospital
HospitalName,193,marshall medical center north,callahan eye foundation hospital
HospitalName,194,marshall medical center north,callahan eye foundation hospital
Address1,1,1720 university blvd,8000 alabama highway 69
Address1,2,1720 university blvd,8000 alabama highway 69
Address1,3,1720 university blvd,8000 alabama highway 69
Address1,4,1720 university blvd,8000 alabama highway 69
Address1,5,1720 university blvd,8000 alabama highway 69
Address1,6,1720 university blvd,8000 alabama highway 69
Address1,7,1720 university blvd,8000 alabama highway 69
Address1,8,1720 university blvd,8000 alabama highway 69
Address1,295,1720 university blvd,8000 alabama highway 69
Address1,296,1720 university blvd,8000 alabama highway 69
Address1,297,1720 university blvd,8000 alabama highway 69
Address1,298,1720 university blvd,8000 alabama highway 69
Address1,299,1720 university blvd,8000 alabama highway 69
Address1,300,1720 university blvd,8000 alabama highway 69
Address1,301,1720 university blvd,8000 alabama highway 69
Address1,302,1720 university blvd,8000 alabama highway 69
Address1,303,1720 university blvd,8000 alabama highway 69
Address1,304,1720 university blvd,8000 alabama highway 69
Address1,305,1720 university blvd,8000 alabama highway 69
Address1,306,1720 university blvd,8000 alabama highway 69
Address1,307,1720 university blvd,8000 alabama highway 69
Address1,308,1720 university blvd,8000 alabama highway 69
Address1,309,1720 university blvd,8000 alabama highway 69
Address1,310,1720 university blvd,8000 alabama highway 69
Address1,311,1720 university blvd,8000 alabama highway 69
Address1,451,po box 287,o box 287
Address1,452,po box 287,o box 287
City,1,birmingham,guntersville
City,2,birmingham,guntersville
City,3,birmingham,guntersville
City,4,birmingham,guntersville
City,5,birmingham,guntersville
City,6,birmingham,guntersville
City,7,birmingham,guntersville
City,8,birmingham,guntersville
City,295,birmingham,guntersville
City,296,birmingham,guntersville
City,297,birmingham,guntersville
City,298,birmingham,guntersville
City,299,birmingham,guntersville
City,300,birmingham,guntersville
City,301,birmingham,guntersville
City,302,birmingham,guntersville
City,303,birmingham,guntersville
City,304,birmingham,guntersville
City,305,birmingham,guntersville
City,306,birmingham,guntersville
City,307,birmingham,guntersville
City,308,birmingham,guntersville
City,309,birmingham,guntersville
City,310,birmingham,guntersville
City,311,birmingham,guntersville
ZipCode,1,35233,35976
ZipCode,2,35233,35976
ZipCode,3,35233,35976
ZipCode,4,35233,35976
ZipCode,5,35233,35976
ZipCode,6,35233,35976
ZipCode,7,35233,35976
ZipCode,8,35233,35976
ZipCode,295,35233,35976
ZipCode,296,35233,35976
ZipCode,297,35233,35976
ZipCode,298,35233,35976
ZipCode,299,35233,35976
ZipCode,300,35233,35976
ZipCode,301,35233,35976
ZipCode,302,35233,35976
ZipCode,303,35233,35976
ZipCode,304,35233,35976
ZipCode,305,35233,35976
ZipCode,306,35233,35976
ZipCode,307,35233,35976
ZipCode,308,35233,35976
ZipCode,309,35233,35976
ZipCode,310,35233,35976
ZipCode,311,35233,35976
CountyName,170,marshall,jefferson
CountyName,171,marshall,jefferson
CountyName,172,marshall,jefferson
CountyName,173,marshall,jefferson
CountyName,174,marshall,jefferson
CountyName,175,marshall,jefferson
CountyName,176,marshall,jefferson
CountyName,177,marshall,jefferson
CountyName,178,marshall,jefferson
CountyName,179,marshall,jefferson
CountyName,180,marshall,jefferson
CountyName,181,marshall,jefferson
CountyName,182,marshall,jefferson
CountyName,183,marshall,jefferson
CountyName,184,marshall,jefferson
CountyName,185,marshall,jefferson
CountyName,186,marshall,jefferson
CountyName,187,marshall,jefferson
CountyName,188,marshall,jefferson
CountyName,189,marshall,jefferson
CountyName,190,marshall,jefferson
CountyName,191,marshall,jefferson
CountyName,192,marshall,jefferson
CountyName,193,marshall,jefferson
CountyName,194,marshall,jefferson
PhoneNumber,170,2565718000,2053258100
PhoneNumber,171,2565718000,2053258100
PhoneNumber,172,2565718000,2053258100
PhoneNumber,173,2565718000,2053258100
PhoneNumber,174,2565718000,2053258100
PhoneNumber,175,2565718000,2053258100
PhoneNumber,176,2565718000,2053258100
PhoneNumber,177,2565718000,2053258100
PhoneNumber,178,2565718000,2053258100
PhoneNumber,179,2565718000,2053258100
PhoneNumber,180,2565718000,2053258100
PhoneNumber,181,2565718000,2053258100
PhoneNumber,182,2565718000,2053258100
PhoneNumber,183,2565718000,2053258100
PhoneNumber,184,2565718000,2053258100
PhoneNumber,185,2565718000,2053258100
PhoneNumber,186,2565718000,2053258100
PhoneNumber,187,2565718000,2053258100
PhoneNumber,188,2565718000,2053258100
PhoneNumber,189,2565718000,2053258100
PhoneNumber,190,2565718000,2053258100
PhoneNumber,191,2565718000,2053258100
PhoneNumber,192,2565718000,2053258100
PhoneNumber,193,2565718000,2053258100
PhoneNumber,194,2565718000,2053258100
HospitalOwner,1,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,2,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,3,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,4,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,5,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,6,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,7,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,8,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,295,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,296,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,297,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,298,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,299,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,300,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,301,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,302,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,303,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,304,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,305,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,306,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,307,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,308,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,309,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,310,voluntary non-profit - private,government - hospital district or authority
HospitalOwner,311,voluntary non-profit - private,government - hospital district or authority
Stateavg,433,ak_hf-1,al_hf-1
Stateavg,434,ak_hf-2,al_hf-2
Stateavg,435,ak_hf-3,al_hf-3
Stateavg,436,ak_hf-4,al_hf-4
Stateavg,437,ak_pn-2,al_pn-2
Stateavg,438,ak_pn-3b,al_pn-3b
Stateavg,439,ak_pn-4,al_pn-4
Stateavg,440,ak_pn-5c,al_pn-5c
Stateavg,441,ak_pn-6,al_pn-6
Stateavg,442,ak_pn-7,al_pn-7
Stateavg,443,ak_scip-card-2,al_scip-card-2
