Attribute,Index,Dirty Value,Cleaned Value,Clean Value
HospitalName,20,southeast alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,21,empty,callahan eye foundation hospital,southeast alabama medical center
HospitalName,25,southeast alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,29,southeast alaama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,30,southeast alabama medzical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,31,southeats alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,32,southeast alabama edical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,33,southeasvt alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,34,southeasat alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,35,southast alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,36,southeast alabama medical cneter,callahan eye foundation hospital,southeast alabama medical center
HospitalName,37,southeast alabama emdical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,38,southeast alabama medicalb center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,39,sooutheast alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,40,souteast alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,41,southeast alabama medical cetner,callahan eye foundation hospital,southeast alabama medical center
HospitalName,42,southeast alabama smedical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,43,southeats alabama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,44,southeast alaama medical center,callahan eye foundation hospital,southeast alabama medical center
HospitalName,58,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,59,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,60,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,61,marshall medical cnter south,callahan eye foundation hospital,marshall medical center south
HospitalName,62,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,63,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,64,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,65,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,66,marshall medical center south,callahan eye foundation hospital,marshall medical center south
HospitalName,67,marshall medical center south,callahan eye foundation hospital,marshall medical center south
