Attribute,Index,Dirty Value,Cleaned Value
sched_dep_time,117,06:5b9 AM,06:59 AM
sched_dep_time,145,10:j40 AM,10:40 AM
sched_dep_time,215,06:5 AM,06:59 AM
sched_dep_time,306,06:5 9AM,06:59 AM
sched_dep_time,404,06:59 AnM,06:59 AM
sched_dep_time,440,empty,06:40 AM
sched_dep_time,502,06:59AM,06:59 AM
sched_dep_time,576,1:040 AM,10:40 AM
sched_dep_time,603,06:e59 AM,06:59 AM
sched_dep_time,633,empty,08:00 AM
sched_dep_time,694,06:59A M,06:59 AM
sched_dep_time,704,08:2 PM,08:20 PM
sched_dep_time,775,0659 AM,06:59 AM
sched_dep_time,794,0659 AM,06:59 AM
sched_dep_time,876,065:9 AM,06:59 AM
sched_dep_time,907,empty,06:45 AM
sched_dep_time,972,07:0 AM,07:10 AM
sched_dep_time,1030,07:1 AM,07:10 AM
sched_dep_time,1040,06:5 AM,06:59 AM
sched_dep_time,1094,02:55 MP,02:55 PM
sched_dep_time,1121,04:5 PM,04:55 PM
sched_dep_time,1194,empty,01:55 PM
sched_dep_time,1280,empty,10:25 AM
sched_dep_time,1476,empty,07:10 AM
sched_dep_time,1525,empty,05:25 PM
sched_dep_time,1866,empty,06:30 PM
sched_dep_time,1904,empty,07:15 PM
sched_dep_time,2033,empty,07:55 AM
sched_dep_time,2130,02:p55 PM,02:55 PM
sched_dep_time,2220,06:59 M,06:59 AM
sched_dep_time,2280,empty,05:25 PM
act_dep_time,198,empty,09:14 AM
act_dep_time,308,0m2:26 PM,02:26 PM
act_dep_time,350,empty,12:41 AM
act_dep_time,730,empty,07:16 AM
act_dep_time,765,05:08 MP,05:08 PM
act_dep_time,862,05:08PM,05:08 PM
act_dep_time,914,08:42 M,08:42 AM
act_dep_time,917,empty,12:41 AM
act_dep_time,1048,11:15 AM***,11:15 AM
act_dep_time,1121,05:8 PM,05:08 PM
act_dep_time,1275,0c5:08 PM,05:08 PM
act_dep_time,1308,08:0 AM,08:04 AM
act_dep_time,1320,03:58 M,03:58 PM
act_dep_time,1374,5:08 PM,05:08 PM
act_dep_time,1389,08:1 AM,08:51 AM
act_dep_time,1429,1:56 AM,11:56 AM
act_dep_time,1522,1213 PM,12:13 PM
act_dep_time,1529,empty,03:36 PM
act_dep_time,1539,05:08 PvM,05:08 PM
act_dep_time,1580,empty,03:31 PM
act_dep_time,1585,06:10A M,06:10 AM
act_dep_time,1613,050:8 PM,05:08 PM
act_dep_time,1700,50:08 PM,05:08 PM
act_dep_time,1809,05:08 uPM,05:08 PM
act_dep_time,1860,empty,07:14 PM
act_dep_time,1909,05:08h PM,05:08 PM
act_dep_time,1955,empty,08:42 AM
act_dep_time,2141,11:x52 AM,11:52 AM
act_dep_time,2152,empty,11:56 AM
act_dep_time,2168,12:4 AM,12:41 AM
act_dep_time,2267,empty,12:12 PM
act_dep_time,2294,05:08f PM,05:08 PM
act_dep_time,2375,empty,06:10 AM
sched_arr_time,176,01h:17 PM,01:17 PM
sched_arr_time,363,01:17b PM,01:17 PM
sched_arr_time,463,0117 PM,01:17 PM
sched_arr_time,561,01:17k PM,01:17 PM
sched_arr_time,599,empty,12:29 AM
sched_arr_time,601,empty,11:50 PM
sched_arr_time,632,empty,09:25 AM
sched_arr_time,655,10:17 PM,01:17 PM
sched_arr_time,761,empty,03:15 PM
sched_arr_time,1086,empty,01:16 PM
sched_arr_time,1153,empty,11:05 AM
sched_arr_time,1194,empty,07:53 PM
sched_arr_time,1268,09:1u0 PM,09:10 PM
sched_arr_time,1416,empty,06:17 PM
sched_arr_time,1462,12:15 AwM,12:15 AM
sched_arr_time,1536,empty,12:18 PM
sched_arr_time,1567,11:4 5AM,11:45 AM
sched_arr_time,1597,01:16 M,01:16 PM
sched_arr_time,1604,empty,08:00 AM
sched_arr_time,1774,01:16 oPM,01:16 PM
sched_arr_time,1864,10:q30 PM,10:30 PM
sched_arr_time,1874,01:1 6PM,01:16 PM
sched_arr_time,1895,80:56 PM,08:56 PM
sched_arr_time,1966,01:61 PM,01:16 PM
sched_arr_time,2066,01:16 sPM,01:16 PM
sched_arr_time,2132,0215 PM,02:15 PM
sched_arr_time,2141,empty,02:25 PM
sched_arr_time,2171,d01:16 PM,01:16 PM
sched_arr_time,2192,0u1:45 PM,01:45 PM
sched_arr_time,2239,1:53 AM,11:53 AM
sched_arr_time,2314,0:30 PM,06:30 PM
sched_arr_time,2367,02:15 MP,02:15 PM
act_arr_time,94,07:2q5 PM,07:25 PM
act_arr_time,174,04:47x PM,04:47 PM
act_arr_time,201,0:755 PM,07:55 PM
act_arr_time,209,empty,02:50 PM
act_arr_time,229,0m3:43 PM,03:43 PM
act_arr_time,334,06:36 MP,06:36 PM
act_arr_time,350,05:6 AM,05:26 AM
act_arr_time,462,04:09PM,04:09 PM
act_arr_time,701,empty,06:40 PM
act_arr_time,871,empty,04:17 PM
act_arr_time,938,empty,06:34 PM
act_arr_time,978,03:13 PiM,03:13 PM
act_arr_time,1098,050:5 PM,05:05 PM
act_arr_time,1121,07:55P M,07:55 PM
act_arr_time,1275,07:55P M,07:55 PM
act_arr_time,1320,06:36P M,06:36 PM
