Attribute,Index,Clean Value,Dirty Value
beer_name,92,Kentucky K?lsch,Kentucky Kölsch
beer_name,104,"the Kimmie, the Yink and the Holy Gose",the Kimmie the Yink and the Holy Gose
beer_name,142,Aslan K?lsch,Aslan Kölsch
beer_name,315,K?lsch 151,Kölsch 151
beer_name,378,Post Time K?lsch,Post Time Kölsch
beer_name,383,"You're My Boy, Blue",You're My Boy Blue
beer_name,496,32°/50° K?lsch,32°/50° Kölsch
beer_name,649,Heiner Brau K?lsch,Heiner Brau Kölsch
beer_name,667,Mj?llnir,Mjöllnir
beer_name,780,Laimas K?lsch Style Ale,Laimas Kölsch Style Ale
beer_name,853,Sunbru K?lsch,Sunbru Kölsch
beer_name,859,Sunbru K?lsch,Sunbru Kölsch
beer_name,900,Cabrillo K?lsch,Cabrillo Kölsch
beer_name,994,Screamin??Pumpkin,Screamin�?Pumpkin
beer_name,1052,The 12th Can??American Pale Ale (APA),The 12th Can�?American Pale Ale (APA)
beer_name,1191,Lancaster German Style K?lsch,Lancaster German Style Kölsch
beer_name,1521,Occidental K?lsch,Occidental Kölsch
beer_name,1555,The CROWLER??,The CROWLER�?
beer_name,1619,Side Kick K?lsch,Side Kick Kölsch
beer_name,1660,GreyBeard??IPA,GreyBeard�?IPA
beer_name,1992,Colorado K?lsch,Colorado Kölsch
beer_name,2117,K?ld Lager (2010),Köld Lager (2010)
beer_name,2124,Loafin Br?u,Loafin Bräu
style,56,K?lsch,Kölsch
style,92,K?lsch,Kölsch
style,139,K?lsch,Kölsch
style,142,K?lsch,Kölsch
style,169,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,185,K?lsch,Kölsch
style,315,K?lsch,Kölsch
style,339,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,362,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,378,K?lsch,Kölsch
style,496,K?lsch,Kölsch
style,548,K?lsch,Kölsch
style,584,K?lsch,Kölsch
style,586,K?lsch,Kölsch
style,591,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,603,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,636,K?lsch,Kölsch
style,649,K?lsch,Kölsch
style,674,K?lsch,Kölsch
style,680,K?lsch,Kölsch
style,780,K?lsch,Kölsch
style,794,K?lsch,Kölsch
style,840,K?lsch,Kölsch
style,853,K?lsch,Kölsch
style,859,K?lsch,Kölsch
style,882,K?lsch,Kölsch
style,900,K?lsch,Kölsch
style,936,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,975,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,983,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,985,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1022,K?lsch,Kölsch
style,1025,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1027,K?lsch,Kölsch
style,1029,K?lsch,Kölsch
style,1042,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1099,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1148,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1149,K?lsch,Kölsch
style,1191,K?lsch,Kölsch
style,1202,K?lsch,Kölsch
style,1248,K?lsch,Kölsch
style,1261,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1341,K?lsch,Kölsch
style,1401,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1430,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1521,K?lsch,Kölsch
style,1611,K?lsch,Kölsch
style,1619,K?lsch,Kölsch
style,1725,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1733,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1745,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1777,K?lsch,Kölsch
style,1786,K?lsch,Kölsch
style,1790,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1814,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1906,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1922,K?lsch,Kölsch
style,1926,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1942,K?lsch,Kölsch
style,1989,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1992,K?lsch,Kölsch
style,2005,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2010,K?lsch,Kölsch
style,2011,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2022,K?lsch,Kölsch
style,2059,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2066,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2158,K?lsch,Kölsch
style,2241,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2343,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2398,K?lsch,Kölsch
brewery_id,41,267,67
brewery_name,5,18th Street Brewery,18th Street Brnewery
brewery_name,38,21st Amendment Brewery,empty
brewery_name,61,7 Seas Brewing Company,7 Seas Brewing Compuany
brewery_name,62,7venth Sun,empty
brewery_name,97,Anchor Brewing Company,Anchor qBrewing Company
brewery_name,115,Anderson Valley Brewing Company,Andersokn Valley Brewing Company
brewery_name,168,Aviator Brewing Company,empty
brewery_name,177,Back East Brewing Company,Back East Bewing Company
brewery_name,179,Back Forty Beer Company,empty
brewery_name,190,Banner Beer Company,empty
brewery_name,192,Bare Hands Brewery,Bare Hands sBrewery
brewery_name,205,Baxter Brewing Company,empty
brewery_name,208,Baxter Brewing Company,empty
brewery_name,212,Baxter Brewing Company,Baxter Brewing Comany
brewery_name,250,Big Muddy Brewing,empty
brewery_name,251,Big River Brewing Company,empty
brewery_name,299,Blue Blood Brewing Company,Blue Blood Brwing Company
brewery_name,300,Blue Blood Brewing Company,empty
brewery_name,303,Blue Blood Brewing Company,Blue Blood Brewng Company
brewery_name,327,Bohemian Brewery,Bohemian Breewry
brewery_name,341,Bonfire Brewing Company,Bonfire Bewing Company
brewery_name,345,Bonfire Brewing Company,empty
brewery_name,346,Bonfire Brewing Company,empty
brewery_name,374,Bozeman Brewing Company,empty
brewery_name,377,Branchline Brewing Company,Branclhine Brewing Company
brewery_name,387,Brew Link Brewing,empty
brewery_name,393,Brewery Vivant,Brweery Vivant
brewery_name,394,Brewery Vivant,Bdrewery Vivant
brewery_name,395,Brewery Vivant,Brewery Vivatn
brewery_name,396,Brewery Vivant,Birewery Vivant
brewery_name,397,Brewery Vivant,Brewery Vivat
brewery_name,398,Brewery Vivant,Brewemry Vivant
brewery_name,399,Brewery Vivant,Brewery Viavnt
brewery_name,400,Brewery Vivant,Bkrewery Vivant
brewery_name,401,Brewery Vivant,Brewry Vivant
brewery_name,402,Brewery Vivant,Bewery Vivant
brewery_name,403,Brewery Vivant,Brewey Vivant
brewery_name,404,Brewery Vivant,Brewery Vivannt
brewery_name,405,Brewery Vivant,Brwery Vivant
brewery_name,406,Brewery Vivant,BreweryV ivant
brewery_name,407,Brewery Vivant,Brewery cVivant
brewery_name,408,Brewery Vivant,Brewery iVvant
brewery_name,409,Brewery Vivant,Brewery Vviant
brewery_name,410,Brewery Vivant,BreweryVivant
brewery_name,411,Brewery Vivant,Brewery Vivnat
brewery_name,412,Brewery Vivant,Breweryp Vivant
brewery_name,413,Brewery Vivant,Brewrey Vivant
brewery_name,414,Brewery Vivant,rewery Vivant
brewery_name,415,Brewery Vivant,Breweyr Vivant
brewery_name,416,Brewery Vivant,Brewrey Vivant
brewery_name,417,Brewery Vivant,Brewery Vivnat
brewery_name,418,Brewery Vivant,aBrewery Vivant
brewery_name,419,Brewery Vivant,Brewery iVvant
brewery_name,420,Brewery Vivant,Brewery iVvant
brewery_name,421,Brewery Vivant,Brewery Vviant
brewery_name,422,Brewery Vivant,Brewery jVivant
brewery_name,423,Brewery Vivant,Breweroy Vivant
brewery_name,424,Brewery Vivant,Brewey Vivant
brewery_name,425,Brewery Vivant,Brfewery Vivant
brewery_name,426,Brewery Vivant,Breweryh Vivant
brewery_name,427,Brewery Vivant,Brewery tVivant
brewery_name,428,Brewery Vivant,Brewepry Vivant
brewery_name,429,Brewery Vivant,Brewer Vivant
brewery_name,430,Brewery Vivant,Brewery Viavnt
brewery_name,431,Brewery Vivant,Brewerry Vivant
brewery_name,442,Brewery Vivant,rewery Vivant
brewery_name,443,Brewery Vivant,Brewebry Vivant
brewery_name,444,Brewery Vivant,Brgewery Vivant
brewery_name,445,Brewery Vivant,Brewer Vivant
brewery_name,446,Brewery Vivant,Breweryf Vivant
brewery_name,447,Brewery Vivant,Brewery Vivnat
brewery_name,448,Brewery Vivant,Brewery Vkivant
brewery_name,449,Brewery Vivant,Breweyr Vivant
brewery_name,450,Brewery Vivant,Brewery Vivatn
brewery_name,483,Burn 'Em Brewing,empty
brewery_name,504,COOP Ale Works,COOP Alie Works
brewery_name,509,Caldera Brewing Company,Caldera Brewing Cmpany
brewery_name,533,Capital Brewery,empty
brewery_name,536,Capital Brewery,Capital iBrewery
brewery_name,549,Carton Brewing Company,Carton Brewing ompany
brewery_name,559,Catawba Brewing Company,empty
brewery_name,563,Catawba Island Brewing,empty
brewery_name,575,Center of the Universe Brewing C...,Cenetr of the Universe Brewing C...
brewery_name,633,Coalition Brewing Company,empty
brewery_name,670,Crow Peak Brewing Company,empty
brewery_name,713,Deschutes Brewery,Despchutes Brewery
brewery_name,748,Eddyline Brewery & Restaurant,Eddyline Brewery & estaurant
brewery_name,762,Evil Czech Brewery,Evil Czech Brewemry
brewery_name,776,Fat Head's Brewery,Fat wHead''s Brewery
brewery_name,900,Golden Road Brewing,Golden Road rBewing
brewery_name,903,Golden Road Brewing,Golden Road Brewnig
brewery_name,917,Goose Island Brewing Company,empty
brewery_name,930,Great Crescent Brewery,Grevat Crescent Brewery
brewery_name,989,Grey Sail Brewing of Rhode Island,Grey Sail rewing of Rhode Island
brewery_name,997,Griffin Claw Brewing Company,Grifin Claw Brewing Company
brewery_name,1037,Hawai'i Nui Brewing Co.,empty
brewery_name,1042,Heavy Seas Beer,Heavy Seas Ber
brewery_name,1046,Hess Brewing Company,empty
brewery_name,1132,Jailbreak Brewing Company,Jailbreak Brewing hCompany
brewery_name,1137,James Page Brewing Company,empty
brewery_name,1194,Latitude 42 Brewing Company,empty
brewery_name,1249,Madtree Brewing Company,Madtoree Brewing Company
brewery_name,1329,Miami Brewing Company,empty
brewery_name,1337,Mike Hess Brewing Company,empty
brewery_name,1371,Minhas Craft Brewery,Minhas Craft Breewry
brewery_name,1411,Mudshark Brewing Company,empty
brewery_name,1413,Mudshark Brewing Company,Mudshrk Brewing Company
brewery_name,1432,Natian Brewery,NatianB rewery
brewery_name,1455,New Belgium Brewing Company,New Belgium Brewin Company
brewery_name,1477,New Orleans Lager & Ale Brewing ...,New Orqleans Lager & Ale Brewing ...
brewery_name,1494,NorthGate Brewing,empty
brewery_name,1649,Pine Street Brewery,Pine Street Brewpery
brewery_name,1659,Pipeworks Brewing Company,empty
brewery_name,1674,Pug Ryan's Brewery,empty
brewery_name,1682,Rahr & Sons Brewing Company,Rahr & Sons Brewing Cmopany
brewery_name,1726,Revolution Brewing Company,Revolution Brewing Covmpany
brewery_name,1727,Revolution Brewing Company,Revolution Brewing Compayn
brewery_name,1783,Saint Archer Brewery,SaintA rcher Brewery
brewery_name,1788,SanTan Brewing Company,SanTan Brewing Copmany
brewery_name,1837,Seventh Son Brewing Company,SeventhS on Brewing Company
brewery_name,1889,Ska Brewing Company,ka Brewing Company
brewery_name,1890,Ska Brewing Company,empty
brewery_name,1891,Ska Brewing Company,empty
brewery_name,1913,Smartmouth Brewing Company,Smartmouth Brewng Company
brewery_name,1933,Sockeye Brewing Company,Sockeye Brwing Company
brewery_name,1940,South Austin Brewery,empty
brewery_name,1952,Southern Prohibition Brewing Com...,empty
