Attribute,Index,Clean Value,Dirty Value
article_title,134,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,103,empty,NULL***
journal_title,134,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,289,PLoS One,LoS One
journal_title,439,Respirology,empty
journal_title,487,Physiotherapy,Physioherapy
journal_title,493,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Knee surgery sports traumatology arthroscopy : official journal o the ESSKA
journal_title,590,Rinsho Byori,Rinshyo Byori
journal_title,718,Microsurgery,empty
journal_issn,8,1535-4970,empty
journal_issn,19,68-Jan,Jan-68
journal_issn,86,9788480000000,9790000000000
journal_issn,132,37-Feb,Feb-37
journal_issn,138,1170-7690,empty
journal_issn,149,0017-5749,0035-9157 (Print) 0035-9157
journal_issn,210,1097-4598,0197-4598
journal_issn,236,47-Jan,Jan-47
journal_issn,248,1982-4335,empty
journal_issn,265,1931-3543,empty
journal_issn,278,0016-5085,016-5085
journal_issn,310,1931-3543,empty
journal_issn,348,1462-8910,1463-1318
journal_issn,392,62-Feb,Feb-62
journal_issn,395,1098-4275,empty
journal_issn,404,empty,UNLL
journal_issn,435,65-Feb,Feb-65
journal_issn,450,1170-7690,empty
journal_issn,490,1098-4275,empty
journal_issn,508,53-Nov,Nov-53
journal_issn,643,0737-1209,1525-1446
journal_issn,644,22-Sep,1524-4539
journal_issn,645,55-Jan,Jan-55
journal_issn,659,0039-2499,1524-4628
journal_issn,691,60-Sep,Sep-60
journal_issn,747,67-May,Mar-67
journal_issn,822,1930-7381,1930-739X
journal_issn,828,14-Feb,1532-5415
journal_issn,849,67-May,Mar-67
journal_issn,850,empty,NUjLL
journal_issn,855,0025-7931,1423-0356
journal_issn,858,22-Sep,22z-Sep
journal_issn,859,1098-4275,empty
journal_issn,892,0363-5023,03635-023
journal_issn,894,0903-1936,1399-3003
journal_issn,915,1057-9249,1099-1611
journal_issn,928,1098-4275,empty
journal_issn,941,1462-2416,empty
journal_issn,984,65-Feb,Feb-65
journal_issn,991,65-Feb,Feb-65
