Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,24,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,Journal of clinical oncology : official journa lof the American Society of Clinical Oncology
journal_title,106,Psycho-oncology,Psycho-oncoolgy
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,149,Gut,ut
journal_title,178,Obesity (Silver Spring Md.),Obesity (Silver Sdpring Md.)
journal_title,205,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association,Nephrology dialysis transplantation : offcial publication of the European Dialysis and Transplant Association - European Renal Association
journal_title,372,Annals of internal medicine,nnals of internal medicine
journal_title,487,Pysiotherapy,Physiotherapy
journal_title,705,BioMed research interntaional,BioMed research international
journal_title,747,Ann Rheum Dis,Ann RheumD is
journal_title,801,Journaul of the National Cancer Institute,Journal of the National Cancer Institute
journal_title,808,ardiology in the young,Cardiology in the young
journal_title,868,empty,Cancer chemotherapy and pharmacology
journal_title,889,PLo One,PLoS One
journal_title,984,Am J Cli nNutr,Am J Clin Nutr
journal_title,991,Am J lin Nutr,Am J Clin Nutr
journal_title,993,Tumour bioloy : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_issn,19,Jan-68,68-Jan
journal_issn,132,Feb-37,37-Feb
journal_issn,205,1460-2385,14t60-2385
journal_issn,236,Jan-47,47-Jan
journal_issn,296,1423-0380,142-0380
journal_issn,320,1467-1o107,1467-1107
journal_issn,348,1463-1318,1462-8910
journal_issn,392,Feb-62,62-Feb
journal_issn,435,Feb-65,65-Feb
journal_issn,508,Nov-53,53-Nov
journal_issn,575,1423-0380,142-0380
journal_issn,643,1525-1446,0737-1209
journal_issn,645,Jan-55,55-Jan
journal_issn,691,Sep-60,60-Sep
journal_issn,741,Apr-74,74-Apr
journal_issn,747,Mar-67,67-Mar
journal_issn,849,Mar-67,67-Mar
journal_issn,888,122-726X,1522-726X
journal_issn,894,1399-3003,0903-1936
journal_issn,991,Feb-65,65-Feb
