Attribute,Index,Clean Value,Cleaned Value
journal_title,60,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Knee surgery sports traumatology arthroscopy : official juornal of the ESSKA
journal_title,144,J Hand Surg Br,empty
journal_title,149,Gut,Gtu
journal_title,227,Endocrinology,Endocrijnology
journal_title,283,Journal of the American Veterinary Medical Association,Journal of the American Veterinary Mecdical Association
journal_title,294,Chin. Med,Chin. Mde
journal_title,309,Gut,Gtu
journal_title,316,Radiology,empty
journal_title,353,empty,NLUL
journal_title,382,Bulletin of mathematical biology,empty
journal_title,397,Minerva cardioangiologica,Minerva cardioangiowlogica
journal_title,403,Supply Chain Management,Supply Chain aMnagement
journal_title,424,Am J Perinatol,m J Perinatol
journal_title,480,Scandinavian cardiovascular journal : SCJ,empty
journal_title,493,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA,Knee surgery sports traumatology arthroscopy : official juornal of the ESSKA
journal_title,506,Scandinavian journal of rheumatology,Scandinavian journal o frheumatology
journal_title,507,Administration and policy in mental health,Administration and policy in menta lhealth
journal_title,512,Journal of Korean Neurosurgical Society,Journal of Korean Neurosurfgical Society
journal_title,609,Zeitschrift fr Erkrankungen der Atmungsorgane mit Folia bronchologica,Zeitschrift fr Erkrankungen der Atmungsorgane mit olia bronchologica
journal_title,682,Basic and Clinical Pharmacology and Toxicology,empty
journal_title,698,Energy Policy,empty
journal_title,710,J Hand Surg Am,J Hand Srg Am
journal_title,729,Bioelectromagnetics,Bioelectromagetics
journal_title,752,Diabetes forecast,empty
journal_title,785,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.,Patologie asbeesto correlate in congiunti di lavoratori del settore cemento-amianto.
journal_title,798,J Hand Surg Am,J Hand Srg Am
journal_title,873,The Behavioral and brain sciences,empty
journal_title,880,Academic Medicine: Journal Of The Association Of American Medical Colleges,Academic Medicine: Journal Of Tshe Association Of American Medical Colleges
journal_title,892,J Hand Surg Am,J Hand Srg Am
journal_title,916,Bioelectromagnetics,Bioelectromagetics
journal_title,926,Functional Neurology,Functiohnal Neurology
journal_title,978,The Journal of antimicrobial chemotherapy,The Journal of antmiicrobial chemotherapy
journal_title,980,Endocrinology,Endocrijnology
journal_issn,8,1535-4970,empty
journal_issn,59,0-8077-4913-3,empty
journal_issn,86,9788480000000,9790000000000
journal_issn,138,1170-7690,empty
journal_issn,265,1931-3543,empty
journal_issn,273,0007-1250 1472-1465,0035-9157 (Print) 0035-9157
journal_issn,274,0091-0562,0035-9157 (Print) 0035-9157
journal_issn,275,-8906,0035-9157 (Print) 0035-9157
journal_issn,276,empty,0035-9157 (Print) 0035-9157
journal_issn,277,empty,0035-9157 (Print) 0035-9157
journal_issn,278,0016-5085,0035-9157 (Print) 0035-9157
journal_issn,310,1931-3543,ULL
journal_issn,320,1467-1107,146-71107
journal_issn,348,1462-8910,1463-1318
journal_issn,353,empty,NUkLL
journal_issn,395,1098-4275,empty
journal_issn,412,1051-1970 1051-1970,0151-1970 1051-1970
journal_issn,435,65-Feb,Fb-65
journal_issn,448,1557-170X,empty
journal_issn,450,1170-7690,empty
journal_issn,468,1356-7500,empty
journal_issn,490,1098-4275,empty
journal_issn,518,1941-2703,empty
journal_issn,532,1095-9203,1095-r9203
journal_issn,546,1462-0324,1642-0324
journal_issn,547,empty,NLL
journal_issn,550,1464-5165,0
journal_issn,552,0899-8256,08998-256
journal_issn,561,1017-7833,1017-8733
journal_issn,581,1715-5258,empty
journal_issn,643,0737-1209,1525-1446
journal_issn,644,22-Sep,1524-4539
journal_issn,654,0039-2499,1524-4628
journal_issn,659,0039-2499,1524-4628
journal_issn,720,1470-0328 (Print) 1470-0328,1470-0328 (Print) 1407-0328
journal_issn,731,empty,UNLL
journal_issn,741,Apr-74,74-Apr
journal_issn,746,22-Sep,1524-4539
journal_issn,747,67-May,67-Mar
journal_issn,813,empty,NUL
journal_issn,824,2168-6114,21y68-6114
journal_issn,828,14-Feb,1532-5415
journal_issn,849,67-May,67-Mar
journal_issn,853,22-Sep,1524-4539
journal_issn,855,0025-7931,1423-0356
journal_issn,858,22-Sep,1524-4539
journal_issn,859,1098-4275,empty
journal_issn,879,1469-8978,empty
journal_issn,889,1932-6203,l1932-6203
journal_issn,891,0305-1862,empty
journal_issn,894,0903-1936,1399-3003
journal_issn,907,978-1-2673-2110-7,empty
journal_issn,915,1057-9249,1099-1611
journal_issn,916,1521-186X,i1521-186X
journal_issn,928,1098-4275,empty
journal_issn,932,1527-7755,1527g-7755
journal_issn,941,1462-2416,empty
journal_issn,954,1476-5497,14l76-5497
journal_issn,973,1175-3277,1f175-3277
journal_issn,977,empty,UNLL
journal_issn,982,0009-9201 (Print) 0009-9201,0009-9201 (fPrint) 0009-9201
journal_issn,984,65-Feb,Fb-65
journal_issn,991,65-Feb,Fb-65
journal_issn,993,1423-0380,1f423-0380
