Attribute,Index,Clean Value,Dirty Value
surname,190,Kubicar,empty
surname,224,Aigrain,Agirain
surname,226,Aigrain,Aigraain
surname,243,Aigrain,iAgrain
surname,267,Aigrain,Awigrain
surname,362,Aigrain,igrain
surname,413,Wolin,empty
surname,446,Aigrain,Aigrani
surname,632,Aigrain,iAgrain
surname,665,Aigrain,igrain
surname,814,Aigrain,Aigrani
surname,865,Kehrer,empty
surname,997,Aigrain,Aigrani
surname,1076,Roeseler,nRoeseler
surname,1088,Aigrain,Aigarin
surname,1125,Handschuh,Handshcuh
surname,1191,Aigrain,Aigrvain
surname,1308,Spehner,Sphener
surname,1316,Molzberger,Mlozberger
surname,1333,Aigrain,Aigrin
surname,1363,Aigrain,Aiglrain
surname,1468,Aigrain,Aigrani
surname,1502,Aigrain,Aigain
surname,1734,Aigrain,kAigrain
surname,1767,Gnutzmann,Gnutzann
surname,1798,Aigrain,igrain
surname,1865,Aigrain,Aigrani
surname,1953,Aigrain,Aigrainn
surname,2031,Aigrain,Airgain
surname,2064,Aigrain,Aigrsain
surname,2069,Gove,Gve
surname,2074,Strohmeir,empty
surname,2084,Aigrain,Aicgrain
surname,2231,Aigrain,yAigrain
surname,2380,Aigrain,Aigramin
surname,2388,Aigrain,Aigran
surname,2395,Lesperance,empty
surname,2410,Aigrain,Airgrain
surname,2500,Aigrain,mAigrain
surname,2515,Aigrain,Aigarin
surname,2529,Aigrain,Aigran
surname,2595,Aigrain,Airain
surname,2744,Aigrain,Aiqgrain
surname,2818,Specker,Spcker
surname,2824,Aigrain,Aigrarin
surname,2842,Aigrain,Agirain
surname,2862,Kakuta,empty
surname,3111,Aigrain,igrain
surname,3309,Aigrain,iAgrain
surname,3406,Aigrain,Aigain
surname,3427,Aigrain,Aigrainn
surname,3435,Aigrain,Airain
surname,3437,Llewellyn,empty
surname,3453,Aigrain,Aigrian
surname,3462,Aigrain,Aiugrain
surname,3464,Aigrain,igrain
surname,3499,Aigrain,Airgain
surname,3690,Dighe,empty
surname,3748,Buttyan,Buttyan***
surname,3821,Cun,Cnu
surname,3938,Aigrain,Airain
surname,3955,Aigrain,Agrain
surname,4053,Aigrain,yAigrain
surname,4123,Aigrain,iAgrain
surname,4158,Kraetzl,rKaetzl
