Attribute,Index,Dirty Value,Cleaned Value
surname,45,empty,Derby
surname,52,empty,Jungst
surname,224,Agirain,Aigrain
surname,226,Aigrgain,Aigrain
surname,243,Aigrani,Aigrain
surname,267,Agirain,Aigrain
surname,293,Beanini,Benaini
surname,362,iAgrain,Aigrain
surname,384,Rensnik,Rensink
surname,446,Agrain,Aigrain
surname,567,empty,Kavasseri
surname,579,Gdo,Godo
surname,632,Aigrin,Aigrain
surname,665,Aigain,Aigrain
surname,722,Devroeye,Devroye
surname,779,Beniani,Benaini
surname,814,Aigdrain,Aigrain
surname,868,Spehnker,Spehner
surname,997,Airgain,Aigrain
surname,1059,Gvoe,Gove
surname,1088,Amigrain,Aigrain
surname,1191,Aigrani,Aigrain
surname,1192,empty,Noltemeier
surname,1248,empty,Guyton
surname,1253,Kawsny,Kwasny
surname,1284,empty,Strevell
surname,1328,Musselmamn,Musselman
surname,1333,Agrain,Aigrain
surname,1363,Aigrian,Aigrain
surname,1403,empty,McCain
surname,1436,empty,Sezan
surname,1457,empty,Hudelmaier
surname,1468,igrain,Aigrain
surname,1502,iAgrain,Aigrain
surname,1734,Aigrian,Aigrain
surname,1751,Cgaman,Cagman
surname,1798,Agrain,Aigrain
surname,1841,Hofstettedr,Hofstetter
surname,1865,Agrain,Aigrain
surname,1923,Blxi,Blix
surname,1953,Aigain,Aigrain
surname,1978,Harlaoff,Harloff
surname,2014,empty,Ghezal
surname,2031,igrain,Aigrain
surname,2064,empty,Aigrain
surname,2084,Agirain,Aigrain
surname,2172,empty,Hudelmaier
surname,2192,empty,Sherratt
surname,2231,Aigarin,Aigrain
surname,2256,empty,Walrath
surname,2329,uMsselman,Musselman
surname,2380,Aigran,Aigrain
surname,2388,Aigrani,Aigrain
surname,2410,Aigran,Aigrain
surname,2500,Airgrain,Aigrain
surname,2504,Peirro,Pierro
surname,2515,Aigain,Aigrain
surname,2529,Agrain,Aigrain
surname,2595,Agrain,Aigrain
surname,2679,empty,Maxson
surname,2744,zAigrain,Aigrain
surname,2824,Aigrani,Aigrain
surname,2842,Aiigrain,Aigrain
surname,2964,empty,Lesperance
surname,2973,Vlette,Valette
surname,3111,Aigrin,Aigrain
surname,3213,Kvavadias,Kavvadias
surname,3309,Aigrlain,Aigrain
surname,3406,Aigraicn,Aigrain
surname,3427,Anigrain,Aigrain
surname,3435,Aigraixn,Aigrain
surname,3453,jAigrain,Aigrain
surname,3462,Aigrgain,Aigrain
surname,3464,igrain,Aigrain
surname,3499,Aiegrain,Aigrain
surname,3774,ewali,Gewali
surname,3784,empty,Sezan
surname,3816,Kolvki,Kolvik
surname,3840,empty,Dighe
surname,3938,Aigrin,Aigrain
surname,3955,Aigain,Aigrain
surname,4041,empty,Matyska
surname,4053,Aigraian,Aigrain
surname,4123,Aigraidn,Aigrain
surname,4315,empty,Devroye
surname,4317,empty,Scanlon
surname,4321,empty,Blaschek
surname,4417,Aigrani,Aigrain
surname,4438,Agrain,Aigrain
surname,4448,Airain,Aigrain
surname,4477,Aigwrain,Aigrain
surname,4573,empty,Rahmat
surname,4693,igrain,Aigrain
surname,4792,Stolovtch,Stolovitch
surname,4844,Aiqgrain,Aigrain
surname,4901,Airain,Aigrain
surname,4983,Agrain,Aigrain
surname,5026,Aigrani,Aigrain
surname,5054,empty,Rikino
surname,5204,Aigran,Aigrain
surname,5238,empty,Yannakoudakis
surname,5271,Aigrani,Aigrain
surname,5290,Agirain,Aigrain
surname,5382,Aigraein,Aigrain
surname,5424,Agigrain,Aigrain
surname,5485,Agirain,Aigrain
surname,5536,Aigrian,Aigrain
surname,5648,iAgrain,Aigrain
surname,5664,Mtayska,Matyska
surname,5732,Airain,Aigrain
surname,5817,Airain,Aigrain
surname,5845,Tcherynkh,Tchernykh
