Attribute,Index,Clean Value,Cleaned Value
birthyear,31,1982,982
birthyear,122,1982,982
birthyear,256,1982,982
birthyear,397,1982,982
birthyear,587,1982,982
birthyear,720,1982,982
birthyear,906,1982,982
birthyear,1137,1982,982
birthyear,1205,1982,982
birthyear,1287,1982,982
birthyear,1430,1982,982
birthyear,2326,1982,982
birthyear,2459,1982,982
birthyear,2535,1982,982
birthyear,2646,1982,982
birthyear,3167,1982,982
birthyear,3268,1982,982
birthyear,3737,1982,982
birthyear,3968,1982,982
birthyear,4044,1982,982
birthyear,4211,1982,982
birthyear,4359,1982,982
birthyear,4432,1982,982
birthyear,4577,1982,982
birthyear,4590,1982,982
birthyear,4802,1982,982
birthyear,4981,1982,982
birthyear,5188,1982,982
birthyear,5196,1982,982
birthyear,5384,1982,982
birthyear,5527,1982,982
birthyear,5620,1982,982
birthyear,5634,1982,982
birthyear,5715,1982,982
birthyear,6074,1982,982
birthyear,6222,1982,982
birthyear,6651,1982,982
birthyear,6660,1982,982
birthyear,6681,1982,982
birthyear,6706,1982,982
birthyear,6913,1982,982
birthyear,7168,1982,982
birthyear,7429,1982,982
birthyear,7932,1982,982
birthyear,7951,1982,982
birthyear,8129,1982,982
birthyear,8489,1982,982
birthyear,8595,1982,982
birthyear,8654,1982,982
birthyear,8851,1982,982
birthyear,8925,1982,982
birthyear,8988,1982,982
birthyear,9413,1982,982
birthyear,9624,1982,982
birthyear,9730,1982,982
birthyear,9893,1982,982
birthyear,10090,1982,982
birthyear,10365,1982,982
birthyear,10620,1982,982
birthyear,10678,1982,982
birthyear,10792,1982,982
birthyear,10911,1982,982
birthyear,11105,1982,982
birthyear,11130,1982,982
birthyear,11376,1982,982
birthyear,12121,1982,982
birthyear,12399,1982,982
birthyear,12688,1982,982
birthyear,12930,1982,982
birthyear,13098,1982,982
birthyear,13100,1982,982
birthyear,13102,1982,982
birthyear,13160,1982,982
birthyear,13163,1982,982
birthyear,13353,1982,982
birthyear,13575,1982,982
birthyear,13838,1982,982
birthyear,14212,1982,982
birthyear,14605,1982,982
