Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: name, MSE: nan, Jaccard: 0.0
Attribute: surname, MSE: nan, Jaccard: 0.017621145374449365
Attribute: birthyear, MSE: nan, Jaccard: 0.18849261031825815
Attribute: birthplace, MSE: nan, Jaccard: 0.050517034505493164
Attribute: position, MSE: nan, Jaccard: 0.34325059692376036
Attribute: team, MSE: nan, Jaccard: 0.03523712391636913
Attribute: city, MSE: nan, Jaccard: 0.0
Attribute: stadium, MSE: nan, Jaccard: 0.0
Attribute: season, MSE: nan, Jaccard: 0.0
Attribute: manager, MSE: nan, Jaccard: 0.0
加权混合距离: 0.02886902322901501
