index,id,article_title,article_language,journal_title,journal_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,64,12,1/1/71,1187-9,"{""A. G. Parks""""J. F. McPartlin""}"
2,498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,J. Infect. Dis.,1537-6613,0,-1,2/15/04,0,"{""Valentina A Volchkova""""Jaroslav Vorac""""Philip Lawrence""""Laurie Repiquet-Paire""""Viktor E Volchkov""}"
3,789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,0,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,54,4,1/6/12,283-4,"{""Jitendra Jethani""""Shashikant Shetty""""Sucheta Parija""""P Vijayalakshmi""}"
4,169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,empty,empty,empty,84,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,"{""G. Jakiel""""K. Gorzelnik""""J. G. Zimowski""""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski""""J. Bijok""}"
5,803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,Dermatol Clin,1558-0520,33,4,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
6,98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,0,empty,empty,empty,10,4,1/9/01,185-91,"{""C. L. Romano""""G. Mineo""""C. Bonora""""D. Romano""}"
7,823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,Br Med Bull,British medical bulletin,0007-1420,29,2,1/1/73,163-7,"{""B N Prichard""""J W Black""}"
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,empty,0,empty,164,1,1/1/07,43-49,"{""St_ber F""""Mutz N""""Wrigge H""""Putensen C""""Zinserling J""""Zech S""""Von Spiegel T""}"
9,396821,Awareness of deficits and on-road driving performance,empty,empty,J Cell Sci,empty,25,7,0,1158-78,"{""L. J. Rapport""""J. A. Griffen""""L. A. Bieliauskas""""C. Burt""""R. C. Bryer""}"
10,340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,English,empty,Circulation,empty,79,938,0,158-61,"{""K. Fleming""""K. Donato""""K. Leszczynski""}"
11,184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,0,empty,J Environ Monit,empty,14,5,0,317-325,"{""J. L. Li""""P. Newcomb""}"
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,0,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,8,6,1/15/01,10213-10224,"{""Yang M""""Li J""""Li Y""""Zhou M""""Yang H""""Shi X""""Li X""""Yuan H""}"
13,278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,0,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,0001-6349 (Print) 0001-6349,92,6,1/13/01,711-5,"{""T. S. Mikkola""""S. Vuorento""""O. Ylikorkala""""M. Vaisanen-Tommiska""""P. Rahkola-Soisalo""}"
14,965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,empty,empty,Klin.Psikofarmakol.Bul.,empty,8,5,0,S40,"{""C. Hamilton-Craig""""S. Bartoletti""""M. Casella""""F. Perna""""M. L. Narducci""""P. Santangeli""""F. Pintus""""A. Natale""""A. Dello Russo""""G. Pelargonio""""G. Bencardino""""J. D. Burkhardt""""F. Bellocci""""L. Di Biase""}"
15,53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,empty,empty,Journal of clinical microbiology,0,35,8,0,1245-50,"{""T. Topp""""C. Kuhne""""S. Ruchholtz""""U. Lewan""""A. Kruger""""T. Muller""""R. Zettl""}"
16,13601,Latex allergy in atopic children.,eng,empty,0,empty,140,5,5/1/99,919-21,"{""R S Lever""""S A Holme""}"
17,668310,A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,0,Clinical Interventions In Aging,PloS one,1178-1998,7,-1,1/12/01,185-90,"{""Andreas Kruse""""Manh Hung Nguyen""}"
18,282987,Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17,eng,empty,Pediatrics,empty,0,4,0,Cd004797,"{""J. H. Littell""""M. Popa""""B. Forsythe""}"
19,478292,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,English,empty,0,empty,139,3,1/1/97,257-8,"{""Y Takagi""""N Hashimoto""""Y Goto""}"
20,43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports and exercise,Med Sci Sports Exerc,0195-9131,39,6,1/7/06,991-5,"{""James C Martin""""Ian Mayhew""""Lee M Romer""""Thomas Korff""}"
21,82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,0,Cancer prevention research (Philadelphia Pa.),Ther Adv Respir Dis,1940-6215,6,12,1/13/12,1304-16,"{""Lynne M Ausman""""Martin S Obin""""Xiang-Dong Wang""""Chun Liu""""Blanche C Ip""""Donald E Smith""""Kang-Quan Hu""}"
22,163526,A performance improvement process to tackle tachysystole,empty,empty,Biomed Eng Online,0,-1,9,0,512-9 ST  - A performance improvement process to tackle tachysystole-,"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen""""A. M. Burkett""""J. Doyle""""T. H. Kenny""}"
23,514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,0,Cardiovascular and interventional radiology,Public Health Nutr,1432-86X,37,6,1/14/12,1530-9,"{""Luca Maria Sconfienza""""Ezio Lanza""""Gianpaolo Cornalba""""Dario Poretti""""Catherine Cyteval""""Pierre Viala""""Francesco Sardanelli""""Yann Thouvenin""}"
24,569841,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J. Clin. Oncol.,1527-7755,27,15,5/20/09,2496-502,"{""Ariela Noy""""Lawrence D Kaplan""""Yanxing Yu""""Alexandra M Levine""""Richard F Ambinder""""Susan E Krown""""Bruce J Dezube""""Lan Lin""""Jeannette Y Lee""""Gary S Hayward""}"
25,6207,Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,English,empty,Rheumatology,empty,47,7,0,785-794,"{""Kaija Leena Kolho""""Hanne Rintamaki""""Taina Tervahartiala""""Timo Sorsa""""Laura Makitalo""}"
26,21910,Examining waiting placement in hospital: utilization and the lived experience.,0,Global journal of health science,Chest,1916-9736,6,2,0,22-Dec,"{""Donna M Wilson""""Jessica A Hewitt""""Ralph Magnus""""Jill Vihos""""Karen Peterson""""Nancy Barnes""}"
