Attribute,Index,Dirty Value,Cleaned Value
HospitalName,1,callahan eye foundation hospital,crenshaw community hospital
HospitalName,3,callahan eye foundation hospital,crenshaw community hospital
HospitalName,4,callahan eye foundation hospital,crenshaw community hospital
HospitalName,7,callahan eye foundation hospital,crenshaw community hospital
HospitalName,9,empty,helen keller memorial hospital
HospitalName,10,empty,helen keller memorial hospital
HospitalName,81,empty,eliza coffee memorial hospital
HospitalName,120,callahan eye foundation hospital,crenshaw community hospital
HospitalName,121,callahan eye foundation hospital,crenshaw community hospital
HospitalName,122,callahan eye foundation hospital,crenshaw community hospital
HospitalName,123,callahan eye foundation hospital,crenshaw community hospital
HospitalName,124,callahan eye foundation hospital,crenshaw community hospital
HospitalName,125,callahan eye foundation hospital,crenshaw community hospital
HospitalName,135,callahan eye foundation hospital,crenshaw community hospital
HospitalName,136,callahan eye foundation hospital,crenshaw community hospital
HospitalName,137,callahan eye foundation hospital,crenshaw community hospital
HospitalName,138,callahan eye foundation hospital,crenshaw community hospital
HospitalName,139,callahan eye foundation hospital,crenshaw community hospital
HospitalName,140,callahan eye foundation hospital,crenshaw community hospital
HospitalName,216,callahan eye foundation hospital,crenshaw community hospital
HospitalName,217,callahan eye foundation hospital,crenshaw community hospital
HospitalName,218,callahan eye foundation hospital,crenshaw community hospital
HospitalName,219,callahan eye foundation hospital,crenshaw community hospital
HospitalName,220,callahan eye foundation hospital,crenshaw community hospital
HospitalName,221,callahan eye foundation hospital,crenshaw community hospital
HospitalName,222,callahan eye foundation hospital,crenshaw community hospital
HospitalName,223,callahan eye foundation hospital,crenshaw community hospital
HospitalName,224,callahan eye foundation hospital,crenshaw community hospital
HospitalName,225,callahan eye foundation hospital,crenshaw community hospital
HospitalName,226,callahan eye foundation hospital,crenshaw community hospital
HospitalName,227,callahan eye foundation hospital,crenshaw community hospital
HospitalName,237,callahan eye foundation hospital,crenshaw community hospital
HospitalName,238,callahan eye foundation hospital,crenshaw community hospital
HospitalName,239,callahan eye foundation hospital,crenshaw community hospital
HospitalName,240,empty,dekalb regional medical center
HospitalName,241,callahan eye foundation hospital,crenshaw community hospital
HospitalName,242,callahan eye foundation hospital,crenshaw community hospital
HospitalName,261,callahan eye foundation hospital,crenshaw community hospital
HospitalName,262,callahan eye foundation hospital,crenshaw community hospital
HospitalName,263,callahan eye foundation hospital,crenshaw community hospital
HospitalName,264,callahan eye foundation hospital,crenshaw community hospital
HospitalName,265,callahan eye foundation hospital,crenshaw community hospital
HospitalName,266,callahan eye foundation hospital,crenshaw community hospital
HospitalName,272,callahan eye foundation hospital,crenshaw community hospital
HospitalName,273,callahan eye foundation hospital,crenshaw community hospital
HospitalName,274,callahan eye foundation hospital,crenshaw community hospital
HospitalName,275,callahan eye foundation hospital,crenshaw community hospital
HospitalName,276,callahan eye foundation hospital,crenshaw community hospital
HospitalName,277,callahan eye foundation hospital,crenshaw community hospital
HospitalName,295,callahan eye foundation hospital,crenshaw community hospital
HospitalName,296,callahan eye foundation hospital,crenshaw community hospital
HospitalName,297,callahan eye foundation hospital,crenshaw community hospital
HospitalName,298,callahan eye foundation hospital,crenshaw community hospital
HospitalName,299,callahan eye foundation hospital,crenshaw community hospital
HospitalName,300,callahan eye foundation hospital,crenshaw community hospital
HospitalName,306,callahan eye foundation hospital,crenshaw community hospital
HospitalName,307,callahan eye foundation hospital,crenshaw community hospital
HospitalName,308,callahan eye foundation hospital,crenshaw community hospital
HospitalName,309,callahan eye foundation hospital,crenshaw community hospital
HospitalName,310,callahan eye foundation hospital,crenshaw community hospital
HospitalName,311,callahan eye foundation hospital,crenshaw community hospital
HospitalName,332,flowers hospital,southeast alabama medical center
HospitalName,333,flowers hospital,southeast alabama medical center
HospitalName,334,flowers hospital,southeast alabama medical center
HospitalName,335,flowers hospital,southeast alabama medical center
HospitalName,336,flowers hospital,southeast alabama medical center
HospitalName,337,flowers hospital,southeast alabama medical center
HospitalName,338,flowers hospital,southeast alabama medical center
HospitalName,339,flowers hospital,southeast alabama medical center
HospitalName,340,flowers hospital,southeast alabama medical center
