Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: beer_name, MSE: nan, Jaccard: 0.01721170395869187
Attribute: style, MSE: nan, Jaccard: 0.03883495145631066
Attribute: ounces, MSE: nan, Jaccard: 0.36085465087316904
Attribute: abv, MSE: 5.6758943781942084e-06, Jaccard: 0.080092261638817
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.0011904761904760752
Attribute: brewery_name, MSE: nan, Jaccard: 0.03905240251165554
Attribute: city, MSE: nan, Jaccard: 0.0384646828865578
Attribute: state, MSE: nan, Jaccard: 0.02432888540031386
加权混合距离: 0.02727434958228955
