Attribute,Index,Dirty Value,Cleaned Value
beer_name,1535,kentucky kölsch,kentucky ipa
beer_name,1408,kölsch 151,k?lsch 151
beer_name,1615,the 12th can�?american pale ale (apa),the 12th can??american pale ale (apa)
beer_name,195,lancaster german style kölsch,rumspringa golden bock
beer_name,1796,the crowler�?,the crowler??
style,2217,kölsch,k?lsch
style,1535,kölsch,k?lsch
style,550,kölsch,k?lsch
style,1640,kölsch,k?lsch
style,1401,kölsch,k?lsch
style,1408,kölsch,k?lsch
style,2204,kölsch,k?lsch
style,2654,kölsch,k?lsch
style,427,kölsch,k?lsch
style,2055,kölsch,k?lsch
style,2019,kölsch,k?lsch
style,2438,kölsch,k?lsch
style,129,kölsch,k?lsch
style,681,kölsch,k?lsch
style,1311,kölsch,k?lsch
style,1452,kölsch,k?lsch
style,1968,kölsch,k?lsch
style,2659,kölsch,k?lsch
style,2309,kölsch,k?lsch
style,178,kölsch,k?lsch
style,1300,kölsch,k?lsch
style,1034,kölsch,k?lsch
style,1380,kölsch,k?lsch
style,769,kölsch,k?lsch
style,192,kölsch,k?lsch
style,1235,kölsch,k?lsch
style,195,kölsch,k?lsch
style,475,kölsch,k?lsch
style,1816,kölsch,k?lsch
style,2662,kölsch,k?lsch
style,1081,kölsch,k?lsch
style,696,kölsch,k?lsch
style,1087,kölsch,k?lsch
style,1552,kölsch,k?lsch
style,1864,kölsch,k?lsch
style,1798,kölsch,k?lsch
style,1969,kölsch,k?lsch
style,92,kölsch,k?lsch
style,650,kölsch,k?lsch
style,1410,kölsch,k?lsch
style,2035,kölsch,k?lsch
style,1514,kölsch,k?lsch
ounces,2181,19.2,19
ounces,2179,19.2,19
ounces,2186,19.2,19
ounces,1883,19.2,19
ounces,1167,19.2,19
ounces,993,19.2,19
ounces,955,19.2,19
ounces,1166,19.2,19
ounces,2565,19.2,19
ounces,2564,19.2,19
ounces,2563,19.2,19
ounces,2562,19.2,19
ounces,2561,19.2,19
ounces,1853,19.2,19
ounces,1315,19.2,19
abv,2685,0.125,0.099
abv,2574,0.1,0
abv,2621,0.12,0.099
abv,2565,0.128,0.099
abv,2306,0.028,0.065
state,2040,ko,co
state,2039,k,co
state,979,ro,co
state,1898,ac,co
state,1897,ac,co
state,1896,ac,co
state,756,nwy,co
state,2145,sd,co
state,1804,sd,co
state,1602,sd,co
state,1301,sd,co
state,542,sd,co
state,272,sd,co
state,271,sd,co
state,2078,dc,co
state,1809,dc,co
state,1263,dc,co
state,1092,dc,co
state,851,dc,co
state,186,dc,co
state,185,dc,co
state,184,dc,co
state,1722,nd,co
state,1435,nd,co
state,1434,nd,co
state,1383,o,co
state,476,jaz,co
state,2314,wv,co
state,2313,wv,co
state,1904,thx,co
state,1880,pga,co
state,1388,bny,co
state,2386,oc,co
state,2365,iw,co
state,1432,tm,co
state,1171,tc,co
state,1376,im,co
