Attribute,Index,Dirty Value,Clean Value
beer_name,1535,kentucky kölsch,kentucky k?lsch
beer_name,1738,the kimmie the yink and the holy gose,"the kimmie, the yink and the holy gose"
beer_name,1640,aslan kölsch,aslan k?lsch
beer_name,1408,kölsch 151,k?lsch 151
beer_name,2204,post time kölsch,post time k?lsch
beer_name,1802,you're my boy blue,"you're my boy, blue"
beer_name,2654,32°/50° kölsch,32°/50° k?lsch
beer_name,129,heiner brau kölsch,heiner brau k?lsch
beer_name,1804,mjöllnir,mj?llnir
beer_name,1452,laimas kölsch style ale,laimas k?lsch style ale
beer_name,2309,sunbru kölsch,sunbru k?lsch
beer_name,178,sunbru kölsch,sunbru k?lsch
beer_name,1034,cabrillo kölsch,cabrillo k?lsch
beer_name,2142,screamin�?pumpkin,screamin??pumpkin
beer_name,195,lancaster german style kölsch,lancaster german style k?lsch
beer_name,1081,occidental kölsch,occidental k?lsch
beer_name,1796,the crowler�?,the crowler??
beer_name,1087,side kick kölsch,side kick k?lsch
beer_name,1760,greybeard�?ipa,greybeard??ipa
beer_name,92,colorado kölsch,colorado k?lsch
beer_name,105,köld lager (2010),k?ld lager (2010)
beer_name,936,loafin bräu,loafin br?u
style,2217,kölsch,k?lsch
style,1535,kölsch,k?lsch
style,550,kölsch,k?lsch
style,1640,kölsch,k?lsch
style,1579,märzen / oktoberfest,m?rzen / oktoberfest
style,1401,kölsch,k?lsch
style,1408,kölsch,k?lsch
style,1613,märzen / oktoberfest,m?rzen / oktoberfest
style,1281,märzen / oktoberfest,m?rzen / oktoberfest
style,2204,kölsch,k?lsch
style,2654,kölsch,k?lsch
style,427,kölsch,k?lsch
style,2055,kölsch,k?lsch
style,2019,kölsch,k?lsch
style,2079,märzen / oktoberfest,m?rzen / oktoberfest
style,2011,märzen / oktoberfest,m?rzen / oktoberfest
style,2438,kölsch,k?lsch
style,129,kölsch,k?lsch
style,681,kölsch,k?lsch
style,1311,kölsch,k?lsch
style,1452,kölsch,k?lsch
style,1968,kölsch,k?lsch
style,2659,kölsch,k?lsch
style,2309,kölsch,k?lsch
style,178,kölsch,k?lsch
style,1300,kölsch,k?lsch
style,1034,kölsch,k?lsch
style,930,märzen / oktoberfest,m?rzen / oktoberfest
style,539,märzen / oktoberfest,m?rzen / oktoberfest
style,2461,märzen / oktoberfest,m?rzen / oktoberfest
style,1567,märzen / oktoberfest,m?rzen / oktoberfest
style,1380,kölsch,k?lsch
style,1313,märzen / oktoberfest,m?rzen / oktoberfest
style,769,kölsch,k?lsch
style,192,kölsch,k?lsch
style,989,märzen / oktoberfest,m?rzen / oktoberfest
style,2383,märzen / oktoberfest,m?rzen / oktoberfest
style,1458,märzen / oktoberfest,m?rzen / oktoberfest
style,1235,kölsch,k?lsch
style,195,kölsch,k?lsch
style,475,kölsch,k?lsch
style,1816,kölsch,k?lsch
style,1626,märzen / oktoberfest,m?rzen / oktoberfest
style,2662,kölsch,k?lsch
style,1617,märzen / oktoberfest,m?rzen / oktoberfest
style,314,märzen / oktoberfest,m?rzen / oktoberfest
style,1081,kölsch,k?lsch
style,696,kölsch,k?lsch
style,1087,kölsch,k?lsch
style,417,märzen / oktoberfest,m?rzen / oktoberfest
style,1992,märzen / oktoberfest,m?rzen / oktoberfest
style,2373,märzen / oktoberfest,m?rzen / oktoberfest
style,1552,kölsch,k?lsch
style,1864,kölsch,k?lsch
style,1995,märzen / oktoberfest,m?rzen / oktoberfest
style,307,märzen / oktoberfest,m?rzen / oktoberfest
style,166,märzen / oktoberfest,m?rzen / oktoberfest
style,1798,kölsch,k?lsch
style,1482,märzen / oktoberfest,m?rzen / oktoberfest
style,1969,kölsch,k?lsch
style,369,märzen / oktoberfest,m?rzen / oktoberfest
style,92,kölsch,k?lsch
style,1357,märzen / oktoberfest,m?rzen / oktoberfest
style,650,kölsch,k?lsch
style,456,märzen / oktoberfest,m?rzen / oktoberfest
style,1410,kölsch,k?lsch
style,874,märzen / oktoberfest,m?rzen / oktoberfest
style,526,märzen / oktoberfest,m?rzen / oktoberfest
style,2035,kölsch,k?lsch
style,1042,märzen / oktoberfest,m?rzen / oktoberfest
style,1645,märzen / oktoberfest,m?rzen / oktoberfest
style,1514,kölsch,k?lsch
brewery_id,2518,67,267
brewery_name,2262,18th street brnewery,18th street brewery
brewery_name,10,empty,21st amendment brewery
brewery_name,47,7 seas brewing compuany,7 seas brewing company
brewery_name,1583,empty,7venth sun
brewery_name,2592,anchor qbrewing company,anchor brewing company
brewery_name,523,andersokn valley brewing company,anderson valley brewing company
brewery_name,1620,empty,aviator brewing company
brewery_name,1132,back east bewing company,back east brewing company
brewery_name,1876,empty,back forty beer company
brewery_name,1644,empty,banner beer company
brewery_name,2618,bare hands sbrewery,bare hands brewery
brewery_name,1778,empty,baxter brewing company
brewery_name,910,empty,baxter brewing company
brewery_name,182,baxter brewing comany,baxter brewing company
brewery_name,2585,empty,big muddy brewing
brewery_name,643,empty,big river brewing company
brewery_name,1303,blue blood brwing company,blue blood brewing company
brewery_name,1025,empty,blue blood brewing company
brewery_name,937,blue blood brewng company,blue blood brewing company
brewery_name,89,bohemian breewry,bohemian brewery
