Attribute,Index,Dirty Value,Clean Value
article_title,134, mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,british journal of dermatology. ,british journal of dermatology.
journal_title,103,null***,empty
journal_title,134, bmj 2006 333:939,bmj 2006 333:939
journal_title,289,los one,plos one
journal_title,439,empty,respirology
journal_title,487,physioherapy,physiotherapy
journal_title,493,knee surgery sports traumatology arthroscopy : official journal o the esska,knee surgery sports traumatology arthroscopy : official journal of the esska
journal_title,590,rinshyo byori,rinsho byori
journal_title,718,empty,microsurgery
journal_issn,8,empty,1535-4970
journal_issn,19,jan-68,68-jan
journal_issn,86,9790000000000,9788480000000
journal_issn,132,feb-37,37-feb
journal_issn,138,empty,1170-7690
journal_issn,149,0035-9157 (print) 0035-9157,0017-5749
journal_issn,210,0197-4598,1097-4598
journal_issn,236,jan-47,47-jan
journal_issn,248,empty,1982-4335
journal_issn,265,empty,1931-3543
journal_issn,278,016-5085,0016-5085
journal_issn,310,empty,1931-3543
journal_issn,348,1463-1318,1462-8910
journal_issn,392,feb-62,62-feb
journal_issn,395,empty,1098-4275
journal_issn,404,unll,empty
journal_issn,435,feb-65,65-feb
journal_issn,450,empty,1170-7690
journal_issn,490,empty,1098-4275
journal_issn,508,nov-53,53-nov
journal_issn,643,1525-1446,0737-1209
journal_issn,645,jan-55,55-jan
journal_issn,659,1524-4628,0039-2499
journal_issn,691,sep-60,60-sep
journal_issn,747,mar-67,67-may
journal_issn,822,1930-739x,1930-7381
journal_issn,828,1532-5415,14-feb
journal_issn,849,mar-67,67-may
journal_issn,850,nujll,empty
journal_issn,855,1423-0356,0025-7931
journal_issn,858,22z-sep,22-sep
journal_issn,859,empty,1098-4275
journal_issn,892,03635-023,0363-5023
journal_issn,928,empty,1098-4275
journal_issn,941,empty,1462-2416
journal_issn,984,feb-65,65-feb
journal_issn,991,feb-65,65-feb
