Attribute,Index,Dirty Value,Cleaned Value,Clean Value
journal_title,213,ugeskr laeger,american journal of respiratory and critical care medicine,ugeskr laeger
journal_title,429,the lancet,empty,the lancet
journal_title,644,circulation,pediatrics,circulation
journal_issn,18,1469-493x,empty,1469-493x
journal_issn,71,0008-543x,1873-5126,0008-543x
journal_issn,93,1462-2203,empty,1462-2203
journal_issn,114,0035-9157 (print) 0035-9157,empty,0143-991x
journal_issn,119,0035-9157 (print) 0035-9157,empty,2115-7863(electronic);2115-8789(print)
journal_issn,121,22-mar,empty,22-mar
journal_issn,204,empty,1945-7170,empty
journal_issn,250,1088-0224,empty,1088-0224
journal_issn,258,0143-005x,empty,0143-005x
journal_issn,264,0091-7435,empty,0091-7435
journal_issn,441,14-feb,empty,14-feb
journal_issn,450,empty,1522-9645,1170-7690
journal_issn,481,1462-0324,1462-0h324,1462-0324
journal_issn,573,empty,1573-2959,empty
journal_issn,592,0143-005x,empty,0143-005x
journal_issn,628,0022-0345,0017-5749,0022-0345
journal_issn,634,1462-0324,empty,1462-0324
journal_issn,703,1469-493x,empty,1469-493x
journal_issn,729,1521-186x,empty,1521-186x
journal_issn,746,22-sep,0034-9887,22-sep
journal_issn,747,mar-67,empty,67-may
journal_issn,827,empty,1522-9645,empty
journal_issn,832,0008-543x,empty,0008-543x
journal_issn,849,mar-67,1555-7162,67-may
journal_issn,853,22-sep,0366-6999,22-sep
journal_issn,858,22-sep,empty,22-sep
journal_issn,912,empty,2005-3711,empty
journal_issn,981,empty,1556-5653,empty
journal_issn,986,0007-0912,empty,0007-0912
