Attribute,Index,Clean Value,Cleaned Value
surname,190,kubicar,empty
surname,224,aigrain,agirain
surname,226,aigrain,aigraain
surname,243,aigrain,iagrain
surname,267,aigrain,awigrain
surname,362,aigrain,igrain
surname,413,wolin,empty
surname,446,aigrain,aigrani
surname,632,aigrain,iagrain
surname,665,aigrain,igrain
surname,814,aigrain,aigrani
surname,865,kehrer,empty
surname,997,aigrain,aigrani
surname,1076,roeseler,nroeseler
surname,1088,aigrain,aigarin
surname,1125,handschuh,handshcuh
surname,1191,aigrain,aigrvain
surname,1308,spehner,sphener
surname,1316,molzberger,mlozberger
surname,1333,aigrain,aigrin
surname,1363,aigrain,aiglrain
surname,1468,aigrain,aigrani
surname,1502,aigrain,aigain
surname,1734,aigrain,kaigrain
surname,1767,gnutzmann,gnutzann
surname,1798,aigrain,igrain
surname,1865,aigrain,aigrani
surname,1953,aigrain,aigrainn
surname,2031,aigrain,airgain
surname,2064,aigrain,aigrsain
surname,2069,gove,gve
surname,2074,strohmeir,empty
surname,2084,aigrain,aicgrain
surname,2231,aigrain,yaigrain
surname,2380,aigrain,aigramin
surname,2388,aigrain,aigran
surname,2395,lesperance,empty
surname,2410,aigrain,airgrain
surname,2500,aigrain,maigrain
surname,2515,aigrain,aigarin
surname,2529,aigrain,aigran
surname,2595,aigrain,airain
surname,2744,aigrain,aiqgrain
surname,2818,specker,spcker
surname,2824,aigrain,aigrarin
surname,2842,aigrain,agirain
surname,2862,kakuta,empty
surname,3111,aigrain,igrain
surname,3309,aigrain,iagrain
surname,3406,aigrain,aigain
surname,3427,aigrain,aigrainn
surname,3435,aigrain,airain
surname,3437,llewellyn,empty
surname,3453,aigrain,aigrian
surname,3462,aigrain,aiugrain
surname,3464,aigrain,igrain
surname,3499,aigrain,airgain
surname,3690,dighe,empty
surname,3748,buttyan,buttyan***
surname,3821,cun,cnu
surname,3938,aigrain,airain
surname,3955,aigrain,agrain
surname,4053,aigrain,yaigrain
surname,4123,aigrain,iagrain
surname,4158,kraetzl,rkaetzl
surname,4400,favre,empty
surname,4417,aigrain,aigain
surname,4438,aigrain,xaigrain
surname,4448,aigrain,aigraifn
surname,4477,aigrain,aigran
surname,4691,valette,empty
surname,4693,aigrain,aigraikn
surname,4706,godo,empty
