Attribute,Index,Dirty Value,Clean Value
surname,47,crvi,corvi
surname,144,weatherhtead,weatherhead
surname,224,aigirain,aigrain
surname,226,gaigrain,aigrain
surname,243,aiqgrain,aigrain
surname,267,agrain,aigrain
surname,362,ahigrain,aigrain
surname,375,matysak,matyska
surname,446,aigroain,aigrain
surname,543,dexrby,derby
surname,632,agirain,aigrain
surname,665,igrain,aigrain
surname,689,musseloman,musselman
surname,814,aigain,aigrain
surname,997,aigorain,aigrain
surname,1088,aigrlain,aigrain
surname,1191,aigrani,aigrain
surname,1210,kavvdaias,kavvadias
surname,1333,aigrin,aigrain
surname,1363,aigrin,aigrain
surname,1468,aigrani,aigrain
surname,1502,igrain,aigrain
surname,1645,felcinao,felciano
surname,1700,dingele,dingle
surname,1734,agirain,aigrain
surname,1774,ddanneberg,danneberg
surname,1798,aigrian,aigrain
surname,1865,agrain,aigrain
surname,1953,aigran,aigrain
surname,2031,aigain,aigrain
surname,2064,aigrtain,aigrain
surname,2084,zaigrain,aigrain
surname,2181,handchuh,handschuh
surname,2183,otllio,otillio
surname,2231,aigrkain,aigrain
surname,2372,diyghe,dighe
surname,2377,hinebusch,hinnebusch
surname,2380,aigran,aigrain
surname,2388,aigraijn,aigrain
surname,2410,aigrani,aigrain
surname,2500,aigrani,aigrain
surname,2515,jaigrain,aigrain
surname,2521,vfaaie,vafaie
surname,2529,aigrani,aigrain
surname,2540,gqull,gull
surname,2593,kavavdias,kavvadias
surname,2595,agrain,aigrain
surname,2744,aigrian,aigrain
surname,2779,spemcker,specker
surname,2810,zallcco,zallocco
surname,2824,airgain,aigrain
surname,2842,aigqrain,aigrain
surname,2878,peirro,pierro
surname,2910,alpuenet,alpuente
surname,2914,dedoxod,dedood
surname,3048,goqni,goni
surname,3111,aigain,aigrain
surname,3309,aigain,aigrain
surname,3333,kappenr,kappner
surname,3406,agirain,aigrain
surname,3410,anaratone,annaratone
surname,3427,aigrin,aigrain
surname,3435,airgain,aigrain
surname,3446,kappnner,kappner
surname,3453,aigratin,aigrain
surname,3462,aigarin,aigrain
surname,3464,aigran,aigrain
surname,3499,aigramin,aigrain
surname,3529,kwaakami,kawakami
surname,3752,fbrizio,fabrizio
surname,3795,llewelilyn,llewellyn
surname,3938,airgain,aigrain
surname,3955,igrain,aigrain
surname,4053,aigrakin,aigrain
surname,4088,yochmu,yochum
surname,4123,aigrkain,aigrain
surname,4307,sentaor,senator
surname,4348,vinya,vinay
surname,4417,airgain,aigrain
surname,4438,aigrian,aigrain
surname,4448,iagrain,aigrain
surname,4454,sokwolin,sokolin
surname,4477,aigain,aigrain
surname,4597,fabrizoi,fabrizio
surname,4653,guyon,guyton
surname,4689,gewlai,gewali
surname,4693,airain,aigrain
surname,4752,czagman,cagman
surname,4844,aigraixn,aigrain
surname,4901,aigrin,aigrain
surname,4983,agirain,aigrain
surname,5009,diingle,dingle
surname,5026,aigrian,aigrain
surname,5204,maigrain,aigrain
surname,5208,balobni,balboni
surname,5271,aigran,aigrain
surname,5290,aigrani,aigrain
surname,5313,timkosvky,timkovsky
surname,5382,naigrain,aigrain
surname,5424,oaigrain,aigrain
surname,5485,agirain,aigrain
surname,5531,pascul,pascual
surname,5536,igrain,aigrain
surname,5604,borgerlt,borgelt
surname,5648,airgain,aigrain
surname,5692,berrebi***,berrebi
surname,5732,aigrin,aigrain
surname,5802,krehrer,kehrer
surname,5817,aigran,aigrain
surname,5857,aihgrain,aigrain
surname,5861,gabala,gabalda
surname,5874,agigrain,aigrain
surname,5972,hieserman,heiserman
surname,6017,msselman,musselman
surname,6047,aigrsain,aigrain
surname,6090,agirain,aigrain
surname,6220,aigrian,aigrain
surname,6340,cagan,cagman
surname,6349,aigrahin,aigrain
surname,6475,wack,waack
surname,6512,crovi,corvi
surname,6632,notemeier,noltemeier
surname,6752,igrain,aigrain
surname,6761,leeifker,leifker
surname,6826,aigrian,aigrain
surname,6846,rosinki,rosinski
surname,6853,henrikson,henriksson
surname,6986,wwolin,wolin
surname,7036,igrain,aigrain
surname,7050,szezan,sezan
surname,7087,aingrain,aigrain
surname,7154,agrain,aigrain
surname,7197,aigraiyn,aigrain
surname,7207,sneator,senator
surname,7329,airgain,aigrain
surname,7373,agrain,aigrain
surname,7409,tomi,tomii
surname,7430,axigrain,aigrain
surname,7434,agrain,aigrain
surname,7449,aigrmain,aigrain
surname,7450,wavack,waack
surname,7515,aigarin,aigrain
surname,7549,aigirain,aigrain
surname,7666,obermxaier,obermaier
surname,7704,buttylan,buttyan
surname,7738,afigrain,aigrain
surname,7746,aigraain,aigrain
surname,7780,tobgni,togni
surname,7818,yocoz,yoccoz
surname,7823,kherer,kehrer
surname,7831,aigain,aigrain
surname,8022,longobardvi,longobardi
surname,8034,aigdrain,aigrain
surname,8183,blschek,blaschek
surname,8245,ebbinghauws,ebbinghaus
surname,8341,aigrani,aigrain
surname,8343,aigrani,aigrain
surname,8482,airain,aigrain
surname,8574,aigrani,aigrain
surname,8575,tullye,tulley
surname,8664,aigraoin,aigrain
surname,8667,aipgrain,aigrain
surname,8698,vaaie,vafaie
surname,8786,aigraain,aigrain
surname,8825,igrain,aigrain
surname,8846,aigrin,aigrain
surname,8974,aigrani,aigrain
surname,9017,mikelsnons,mikelsons
surname,9026,aigrin,aigrain
surname,9216,agirain,aigrain
surname,9354,szan,sezan
surname,9420,vinsay,vinay
surname,9421,aigran,aigrain
surname,9506,pernel,prenel
surname,9519,aigrani,aigrain
surname,9535,logobardi,longobardi
surname,9667,iagrain,aigrain
surname,9728,aigraipn,aigrain
surname,9799,iagrain,aigrain
birthyear,236,1957,1975
birthyear,636,9178,1978
birthyear,1258,1918,1981
birthyear,1589,1987,1978
birthyear,1604,1798,1978
birthyear,1879,1987,1978
birthyear,1942,1987,1978
birthyear,1955,9176,1976
birthyear,2112,1967,1976
birthyear,2282,1987,1978
birthyear,2422,1896,1986
birthyear,3035,1928,1982
birthyear,3248,9178,1978
birthyear,3525,9176,1976
birthyear,3673,1958,1985
birthyear,3694,9178,1978
birthyear,3796,1918,1981
birthyear,3942,1797,1977
birthyear,4296,9181,1981
birthyear,4633,9180,1980
birthyear,4793,1959,1995
birthyear,5025,1987,1978
birthyear,5196,9182,1982
birthyear,5308,9178,1978
birthyear,5343,198,1978
birthyear,5473,9197,1997
birthyear,5620,1892,1982
birthyear,6059,9178,1978
birthyear,6328,1987,1978
birthyear,6333,1987,1978
birthyear,6651,9182,1982
birthyear,6912,1938,1983
birthyear,6913,1928,1982
