Attribute,Index,Clean Value,Cleaned Value
flight,6,AA-204-LAX-MCO,0
flight,84,UA-382-IAD-LAX,0
flight,144,UA-3099-PHX-PHL,0
flight,220,UA-6273-YYC-SFO,0
flight,237,AA-85-JFK-SFO,0
flight,436,AA-59-JFK-SFO,0
flight,486,AA-3842-MSP-ORD,0
flight,508,UA-828-SFO-ORD,0
flight,548,AA-204-LAX-MCO,0
flight,593,CO-16-LAX-EWR,0
flight,605,UA-257-JFK-SFO,0
flight,630,AA-3859-IAH-ORD,0
flight,640,AA-204-LAX-MCO,0
flight,655,CO-1023-IAH-DEN,0
flight,684,CO-16-LAX-EWR,0
flight,694,AA-1165-JFK-MIA,0
flight,730,AA-3859-IAH-ORD,0
flight,771,UA-37-EWR-MCO,0
flight,775,AA-1165-JFK-MIA,0
flight,785,UA-6273-YYC-SFO,0
flight,794,AA-1165-JFK-MIA,0
flight,810,AA-1434-DFW-MCO,0
flight,817,AA-1733-ORD-PHX,0
flight,830,AA-3468-CVG-MIA,0
flight,862,AA-1007-MIA-PHX,0
flight,876,AA-1165-JFK-MIA,0
flight,1021,AA-271-MIA-LAX,0
flight,1034,AA-400-DFW-JFK,0
flight,1037,UA-233-LAX-JFK,0
flight,1040,AA-1165-JFK-MIA,0
flight,1058,AA-789-ORD-DEN,0
flight,1063,CO-50-CLE-EWR,0
flight,1109,CO-47-IAH-LAX,0
flight,1115,AA-4307-ORD-DTW,0
flight,1121,AA-1007-MIA-PHX,0
flight,1158,AA-3979-CVG-ORD,0
flight,1275,AA-1007-MIA-PHX,0
flight,1374,AA-1007-MIA-PHX,0
flight,1443,CO-45-EWR-MIA,0
flight,1454,AA-789-ORD-DEN,0
flight,1486,UA-257-JFK-SFO,0
flight,1487,UA-414-LAX-SFO,0
flight,1527,AA-2050-ORD-MIA,0
flight,1539,AA-1007-MIA-PHX,0
flight,1543,AA-1221-MCO-ORD,0
flight,1613,AA-1007-MIA-PHX,0
flight,1628,AA-1917-JFK-MCO,0
flight,1660,AA-4330-CVG-ORD,0
flight,1700,AA-1007-MIA-PHX,0
flight,1779,AA-1886-BOS-MIA,0
flight,1793,AA-4344-ORD-DTW,0
flight,1801,AA-1434-DFW-MCO,0
flight,1809,AA-1007-MIA-PHX,0
flight,1846,AA-3979-CVG-ORD,0
flight,1871,CO-1614-LAX-IAH,0
flight,1895,CO-47-IAH-LAX,0
flight,1909,AA-1007-MIA-PHX,0
flight,1913,AA-1221-MCO-ORD,0
flight,1951,AA-3859-IAH-ORD,0
flight,2024,UA-2704-DTW-PHX,0
flight,2066,CO-1090-BOS-IAH,0
flight,2076,CO-1023-IAH-DEN,0
flight,2109,AA-3756-ORD-SLC,0
flight,2129,AA-3804-PHL-ORD,0
flight,2145,AA-4198-ORD-CLE,0
flight,2152,CO-1023-IAH-DEN,0
flight,2181,CO-1023-IAH-DEN,0
flight,2193,CO-63-EWR-IAH,0
flight,2244,AA-1544-SAN-ORD,0
flight,2268,CO-1023-IAH-DEN,0
flight,2294,AA-1007-MIA-PHX,0
flight,2376,AA-59-JFK-SFO,0
sched_arr_time,5,02:45 PM,0
sched_arr_time,15,02:35 PM,0
sched_arr_time,37,03:50 PM,0
sched_arr_time,73,11:35 AM,0
sched_arr_time,82,02:35 PM,0
sched_arr_time,111,02:45 PM,0
sched_arr_time,120,03:50 PM,0
sched_arr_time,124,06:40 PM,0
sched_arr_time,173,11:35 AM,0
sched_arr_time,182,02:35 PM,0
sched_arr_time,209,02:45 PM,0
sched_arr_time,218,03:50 PM,0
sched_arr_time,222,06:40 PM,0
sched_arr_time,263,02:45 PM,0
sched_arr_time,278,02:35 PM,0
sched_arr_time,287,11:35 AM,0
sched_arr_time,310,03:50 PM,0
sched_arr_time,360,11:35 AM,0
sched_arr_time,369,02:35 PM,0
sched_arr_time,398,02:45 PM,0
sched_arr_time,407,03:50 PM,0
sched_arr_time,411,06:40 PM,0
sched_arr_time,460,11:35 AM,0
sched_arr_time,469,02:35 PM,0
sched_arr_time,496,02:45 PM,0
sched_arr_time,505,03:50 PM,0
sched_arr_time,509,06:40 PM,0
sched_arr_time,548,06:55 AM,0
sched_arr_time,569,02:35 PM,0
sched_arr_time,571,02:45 PM,0
sched_arr_time,580,11:35 AM,0
sched_arr_time,609,06:40 PM,0
sched_arr_time,630,09:40 AM,0
sched_arr_time,652,11:35 AM,0
sched_arr_time,661,02:35 PM,0
sched_arr_time,688,02:45 PM,0
sched_arr_time,697,03:50 PM,0
sched_arr_time,701,06:40 PM,0
sched_arr_time,741,02:45 PM,0
sched_arr_time,751,02:35 PM,0
sched_arr_time,771,04:17 PM,0
sched_arr_time,778,03:50 PM,0
sched_arr_time,780,06:40 PM,0
sched_arr_time,781,11:35 AM,0
sched_arr_time,785,09:43 AM,0
sched_arr_time,799,02:35 PM,0
sched_arr_time,834,11:35 AM,0
sched_arr_time,843,02:35 PM,0
sched_arr_time,870,02:45 PM,0
sched_arr_time,879,03:50 PM,0
sched_arr_time,883,06:40 PM,0
sched_arr_time,924,02:35 PM,0
sched_arr_time,949,06:40 PM,0
sched_arr_time,954,11:35 AM,0
sched_arr_time,1001,02:45 PM,0
sched_arr_time,1016,02:35 PM,0
