Attribute,Index,Clean Value,Dirty Value
sched_dep_time,117,06:59 AM,06:5b9 AM
sched_dep_time,145,10:40 AM,10:j40 AM
sched_dep_time,215,06:59 AM,06:5 AM
sched_dep_time,306,06:59 AM,06:5 9AM
sched_dep_time,404,06:59 AM,06:59 AnM
sched_dep_time,440,06:40 AM,empty
sched_dep_time,502,06:59 AM,06:59AM
sched_dep_time,576,10:40 AM,1:040 AM
sched_dep_time,603,06:59 AM,06:e59 AM
sched_dep_time,633,08:00 AM,empty
sched_dep_time,694,06:59 AM,06:59A M
sched_dep_time,704,08:20 PM,08:2 PM
sched_dep_time,775,06:59 AM,0659 AM
sched_dep_time,794,06:59 AM,0659 AM
sched_dep_time,876,06:59 AM,065:9 AM
sched_dep_time,907,06:45 AM,empty
sched_dep_time,972,07:10 AM,07:0 AM
sched_dep_time,1030,07:10 AM,07:1 AM
sched_dep_time,1040,06:59 AM,06:5 AM
sched_dep_time,1094,02:55 PM,02:55 MP
sched_dep_time,1121,04:55 PM,04:5 PM
sched_dep_time,1194,01:55 PM,empty
sched_dep_time,1280,10:25 AM,empty
sched_dep_time,1476,07:10 AM,empty
sched_dep_time,1525,05:25 PM,empty
sched_dep_time,1866,06:30 PM,empty
sched_dep_time,1904,07:15 PM,empty
sched_dep_time,2033,07:55 AM,empty
sched_dep_time,2130,02:55 PM,02:p55 PM
sched_dep_time,2220,06:59 AM,06:59 M
sched_dep_time,2280,05:25 PM,empty
act_dep_time,198,09:14 AM,empty
act_dep_time,308,02:26 PM,0m2:26 PM
act_dep_time,350,12:41 AM,empty
act_dep_time,730,07:16 AM,empty
act_dep_time,765,05:08 PM,05:08 MP
act_dep_time,862,05:08 PM,05:08PM
act_dep_time,914,08:42 AM,08:42 M
act_dep_time,917,12:41 AM,empty
act_dep_time,1048,11:15 AM,11:15 AM***
act_dep_time,1121,05:08 PM,05:8 PM
act_dep_time,1275,05:08 PM,0c5:08 PM
act_dep_time,1308,08:04 AM,08:0 AM
act_dep_time,1320,03:58 PM,03:58 M
act_dep_time,1374,05:08 PM,5:08 PM
act_dep_time,1389,08:51 AM,08:1 AM
act_dep_time,1429,11:56 AM,1:56 AM
act_dep_time,1522,12:13 PM,1213 PM
act_dep_time,1529,03:36 PM,empty
act_dep_time,1539,05:08 PM,05:08 PvM
act_dep_time,1580,03:31 PM,empty
act_dep_time,1585,06:10 AM,06:10A M
act_dep_time,1613,05:08 PM,050:8 PM
act_dep_time,1700,05:08 PM,50:08 PM
act_dep_time,1809,05:08 PM,05:08 uPM
act_dep_time,1860,07:14 PM,empty
act_dep_time,1909,05:08 PM,05:08h PM
act_dep_time,1955,08:42 AM,empty
act_dep_time,2141,11:52 AM,11:x52 AM
act_dep_time,2152,11:56 AM,empty
act_dep_time,2168,12:41 AM,12:4 AM
act_dep_time,2267,12:12 PM,empty
act_dep_time,2294,05:08 PM,05:08f PM
act_dep_time,2375,06:10 AM,empty
sched_arr_time,176,01:17 PM,01h:17 PM
sched_arr_time,363,01:17 PM,01:17b PM
sched_arr_time,463,01:17 PM,0117 PM
sched_arr_time,561,01:17 PM,01:17k PM
sched_arr_time,599,12:29 AM,empty
sched_arr_time,601,11:50 PM,empty
sched_arr_time,632,09:25 AM,empty
sched_arr_time,655,01:17 PM,10:17 PM
sched_arr_time,761,03:15 PM,empty
sched_arr_time,1086,01:16 PM,empty
sched_arr_time,1153,11:05 AM,empty
sched_arr_time,1194,07:53 PM,empty
sched_arr_time,1268,09:10 PM,09:1u0 PM
sched_arr_time,1416,06:17 PM,empty
sched_arr_time,1462,12:15 AM,12:15 AwM
