Attribute,Index,Dirty Value,Cleaned Value
flight,6,AA-204-LAX-MCO,0
flight,8,AA-484-DFW-MIA,0
flight,12,AA-2957-DFW-CVG,0
flight,23,AA-1434-DFW-MCO,0
flight,35,AA-1165-JFK-MIA,0
flight,36,AA-431-MIA-SFO,0
flight,57,UA-2830-MCO-CLT,0
flight,80,CO-1088-CLE-IAH,0
flight,99,CO-1193-EWR-MCO,0
flight,106,AA-1221-MCO-ORD,0
flight,109,AA-400-DFW-JFK,0
flight,117,AA-1165-JFK-MIA,0
flight,125,UA-858-PVG-SFO,0
flight,150,AA-222-LAX-BOS,0
flight,168,UA-3515-IAD-MSP,0
flight,169,AA-3468-CVG-MIA,0
flight,174,UA-2314-ATL-PHL,0
flight,176,CO-1023-IAH-DEN,0
flight,178,UA-3050-PHX-CLT,0
flight,181,AA-1664-MIA-ATL,0
flight,204,AA-1221-MCO-ORD,0
flight,208,UA-664-ORD-PHL,0
flight,215,AA-1165-JFK-MIA,0
flight,221,UA-828-SFO-ORD,0
flight,227,UA-62-IAH-EWR,0
flight,228,UA-1500-IAH-GUA,0
flight,230,AA-1917-JFK-MCO,0
flight,265,CO-1090-BOS-IAH,0
flight,297,AA-1221-MCO-ORD,0
flight,306,AA-1165-JFK-MIA,0
flight,311,CO-1250-MIA-IAH,0
flight,316,UA-2708-EWR-CLT,0
flight,321,UA-2314-ATL-PHL,0
flight,334,CO-45-EWR-MIA,0
flight,336,AA-59-JFK-SFO,0
flight,354,AA-616-DFW-DTW,0
flight,363,CO-1023-IAH-DEN,0
flight,376,CO-47-IAH-LAX,0
flight,378,UA-248-PHX-ORD,0
flight,391,UA-2906-PHL-MCO,0
flight,393,AA-1221-MCO-ORD,0
flight,401,UA-233-LAX-JFK,0
flight,402,AA-3823-LAX-DEN,0
flight,404,AA-1165-JFK-MIA,0
flight,419,AA-1917-JFK-MCO,0
flight,422,AA-2957-DFW-CVG,0
flight,463,CO-1023-IAH-DEN,0
flight,477,AA-2050-ORD-MIA,0
flight,490,UA-938-DEN-ORD,0
flight,501,AA-2312-DFW-DTW,0
flight,502,AA-1165-JFK-MIA,0
flight,529,AA-2525-DFW-MIA,0
flight,557,AA-616-DFW-DTW,0
flight,561,CO-1023-IAH-DEN,0
flight,563,UA-3050-PHX-CLT,0
flight,565,CO-1088-CLE-IAH,0
flight,583,CO-1694-LAX-IAH,0
flight,599,UA-233-LAX-JFK,0
flight,603,AA-1165-JFK-MIA,0
flight,610,UA-2704-DTW-PHX,0
flight,639,UA-5487-SFO-MRY,0
flight,655,CO-1023-IAH-DEN,0
flight,687,UA-664-ORD-PHL,0
flight,694,AA-1165-JFK-MIA,0
flight,700,UA-828-SFO-ORD,0
flight,746,CO-1023-IAH-DEN,0
flight,775,AA-1165-JFK-MIA,0
flight,794,AA-1165-JFK-MIA,0
flight,795,AA-484-DFW-MIA,0
flight,824,CO-1614-LAX-IAH,0
flight,826,CO-52-IAH-LAX,0
flight,837,CO-1023-IAH-DEN,0
flight,850,CO-47-IAH-LAX,0
flight,862,AA-1007-MIA-PHX,0
flight,864,UA-938-DEN-ORD,0
flight,875,AA-2312-DFW-DTW,0
flight,876,AA-1165-JFK-MIA,0
flight,880,CO-1250-MIA-IAH,0
flight,891,AA-1917-JFK-MCO,0
flight,892,AA-2268-PHX-ORD,0
flight,905,UA-3099-PHX-PHL,0
flight,910,AA-59-JFK-SFO,0
flight,917,CO-1614-LAX-IAH,0
flight,927,CO-50-CLE-EWR,0
flight,934,CO-1193-EWR-MCO,0
flight,952,AA-3063-SLC-LAX,0
flight,995,AA-1640-MIA-MCO,0
flight,1011,CO-1088-CLE-IAH,0
flight,1015,AA-3979-CVG-ORD,0
flight,1027,UA-843-LAX-ORD,0
flight,1040,AA-1165-JFK-MIA,0
flight,1067,AA-404-MIA-MCO,0
flight,1069,AA-3809-PHX-LAX,0
flight,1096,CO-1023-IAH-DEN,0
flight,1098,UA-3050-PHX-CLT,0
flight,1121,AA-1007-MIA-PHX,0
flight,1127,AA-400-DFW-JFK,0
flight,1132,UA-233-LAX-JFK,0
flight,1135,AA-1165-JFK-MIA,0
flight,1211,AA-2268-PHX-ORD,0
flight,1220,AA-1544-SAN-ORD,0
flight,1224,AA-3859-IAH-ORD,0
flight,1233,UA-5487-SFO-MRY,0
flight,1240,AA-616-DFW-DTW,0
flight,1249,CO-1023-IAH-DEN,0
flight,1255,AA-1279-DFW-PHX,0
flight,1275,AA-1007-MIA-PHX,0
flight,1290,AA-1165-JFK-MIA,0
flight,1313,AA-3979-CVG-ORD,0
flight,1316,CO-50-CLE-EWR,0
flight,1323,AA-222-LAX-BOS,0
flight,1339,CO-1090-BOS-IAH,0
flight,1344,AA-1886-BOS-MIA,0
flight,1349,CO-1023-IAH-DEN,0
flight,1366,AA-1434-DFW-MCO,0
flight,1374,AA-1007-MIA-PHX,0
flight,1385,UA-233-LAX-JFK,0
flight,1386,AA-3823-LAX-DEN,0
flight,1388,AA-1165-JFK-MIA,0
flight,1392,UA-6273-YYC-SFO,0
flight,1404,AA-4277-CVG-JFK,0
flight,1413,AA-271-MIA-LAX,0
flight,1425,AA-3804-PHL-ORD,0
flight,1427,CO-1586-IAH-MCO,0
flight,1429,CO-1023-IAH-DEN,0
flight,1439,CO-1090-BOS-IAH,0
flight,1444,CO-63-EWR-IAH,0
flight,1448,CO-1090-BOS-IAH,0
flight,1453,UA-3925-IAD-ORF,0
