Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.05403782971798321
Attribute: brewery_name, MSE: nan, Jaccard: 0.023778179681578693
Attribute: beer_name, MSE: nan, Jaccard: 0.0017346053772766545
Attribute: style, MSE: nan, Jaccard: 0.0
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: 0.0, Jaccard: 0.0
Attribute: ibu, MSE: 0.0, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.0031088082901553626
Attribute: state, MSE: nan, Jaccard: 0.15600709376244548
加权混合距离: 0.01193332584147197
