Attribute,Index,Clean Value,Dirty Value
brewery_id,2518,267,67
brewery_name,515,Abita Brewing Company,Abitda Brewing Company
brewery_name,2680,Against the Grain Brewery,Against the Grain Brewevry
brewery_name,1294,Angry Orchard Cider Company,empty
brewery_name,1579,Aviator Brewing Company,empty
brewery_name,2423,Beer Works Brewery,empty
brewery_name,1002,Big Elm Brewing,empty
brewery_name,986,Big Wood Brewery,Big Wood Breery
brewery_name,1012,Blue Blood Brewing Company,Bue Blood Brewing Company
brewery_name,1890,Bolero Snort Brewery,empty
brewery_name,2548,Brewery Vivant,rewery Vivant
brewery_name,2542,Brewery Vivant,Breiwery Vivant
brewery_name,2541,Brewery Vivant,Brewer Vivant
brewery_name,2504,Brewery Vivant,Brewery Vivsant
brewery_name,2500,Brewery Vivant,Brewoery Vivant
brewery_name,2499,Brewery Vivant,rewery Vivant
brewery_name,2498,Brewery Vivant,Bewery Vivant
brewery_name,2481,Brewery Vivant,Brewery Vivqant
brewery_name,2476,Brewery Vivant,Breweyr Vivant
brewery_name,2467,Brewery Vivant,Berwery Vivant
brewery_name,2466,Brewery Vivant,Brewoery Vivant
brewery_name,1352,Brewery Vivant,Brewery Viavant
brewery_name,1267,Brewery Vivant,Brewery pVivant
brewery_name,1266,Brewery Vivant,Brewery iVvant
brewery_name,1178,Brewery Vivant,empty
brewery_name,1136,Brewery Vivant,Brewery Vivatn
brewery_name,1044,Brewery Vivant,lBrewery Vivant
brewery_name,1033,Brewery Vivant,Brewery Vivatn
brewery_name,1031,Brewery Vivant,Breery Vivant
brewery_name,909,Brewery Vivant,Brewery iVvant
brewery_name,873,Brewery Vivant,Brewery Vivnt
brewery_name,860,Brewery Vivant,Breweryy Vivant
brewery_name,677,Brewery Vivant,Brewery Vivat
brewery_name,671,Brewery Vivant,Brewey Vivant
brewery_name,670,Brewery Vivant,rewery Vivant
brewery_name,669,Brewery Vivant,Brewer Vivant
brewery_name,627,Brewery Vivant,Brwewery Vivant
brewery_name,387,Brewery Vivant,Bzrewery Vivant
brewery_name,385,Brewery Vivant,Brewery Viant
brewery_name,384,Brewery Vivant,Berwery Vivant
brewery_name,538,Buckbean Brewing Company,empty
brewery_name,2252,COOP Ale Works,empty
brewery_name,1649,Central Coast Brewing Company,empty
brewery_name,1725,Cigar City Brewing Company,empty
brewery_name,1887,Destihl Brewery,Destihl Brwery
brewery_name,2430,Evil Czech Brewery,Evil Czech Brweery
brewery_name,858,Fremont Brewing Company,Frsemont Brewing Company
brewery_name,2649,Great Divide Brewing Company,Greaat Divide Brewing Company
brewery_name,189,Great River Brewery,Gerat River Brewery
brewery_name,2181,Hawai'i Nui Brewing Co.,Hawai''i Ni Brewing Co.
brewery_name,989,Heavy Seas Beer,empty
brewery_name,988,Heavy Seas Beer,empty
brewery_name,2408,Jailbreak Brewing Company,empty
brewery_name,1254,James Page Brewing Company,James Pag Brewing Company
brewery_name,574,Long Trail Brewing Company,Long Trail Berwing Company
brewery_name,2582,Lost Nation Brewing,Lost Nation Berwing
brewery_name,962,MacTarnahans Brewing Company,empty
brewery_name,713,Maui Brewing Company,MauiBrewing Company
brewery_name,1047,Mavericks Beer Company,empty
brewery_name,2361,Minhas Craft Brewery,empty
brewery_name,1952,Mountain Town Brewing Company,empty
brewery_name,602,Okoboji Brewing Company,empty
brewery_name,803,Oskar Blues Brewery,empty
