Attribute,Index,Clean Value,Dirty Value
journal_title,49,The Journal of clinical psychiatry,The Journal o clinical psychiatry
journal_title,102,Cognitive Processing,empty
journal_title,296,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biolosgy : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,422,Journal of dental research,Journal yof dental research
journal_title,431,Nederlands Tijdschrift Voor Fysiotherapie,empty
journal_title,479,The International journal of developmental biology,The Intrenational journal of developmental biology
journal_title,523,Cochrane Database Syst. Rev.,Cochrae Database Syst. Rev.
journal_title,633,Onkologie,empty
journal_title,654,Stroke; a journal of cerebral circulation,rStroke; a journal of cerebral circulation
journal_title,682,Basic and Clinical Pharmacology and Toxicology,Basic and Clinical hParmacology and Toxicology
journal_title,705,BioMed research international,BioMed research internaional
journal_title,849,Ann Rheum Dis,Ann Reum Dis
journal_title,900,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,empty
journal_title,910,Cancer,aCncer
journal_title,916,Bioelectromagnetics,Bioelectroamgnetics
journal_title,959,Annals of internal medicine,Annals of iynternal medicine
journal_title,990,Acta radiologica (Stockholm Sweden : 1987),empty
journal_issn,23,1432-086X,1432-86X
journal_issn,128,1840-0132 1840-2445 (electronic),empty
journal_issn,129,1051-0443,0035-9157 (Print) 0035-9157
journal_issn,130,-7518,0035-9157 (Print) 0035-9157
journal_issn,234,0002-9378 (Print) 0002-9378,0002-9378 (Print)x 0002-9378
journal_issn,298,0300-8878,empty
journal_issn,315,empty,NUuLL
journal_issn,465,1178-7090,11j78-7090
journal_issn,527,0962-7480,0962-480
journal_issn,567,1474-547X,empty
journal_issn,625,empty,nNULL
journal_issn,684,0019-9567,empty
journal_issn,798,0363-5023,0363-503
journal_issn,808,1467-1107,1467-1j107
journal_issn,868,1432-0843,1432z-0843
journal_issn,889,1932-6203,1932-6230
journal_issn,970,empty,NhULL
journal_issn,991,Feb-65,eFb-65
