Attribute,Index,Clean Value,Cleaned Value
article_language,6,eng,0
article_language,9,English,0
article_language,11,empty,0
article_language,15,eng,empty
article_language,17,eng,0
article_language,18,eng,empty
article_language,22,English,empty
article_language,23,eng,0
article_language,29,eng,0
article_language,30,English,0
article_language,48,eng,0
article_language,50,empty,0
article_language,51,English,eng
article_language,55,empty,eng
article_language,58,eng,0
article_language,67,empty,eng
article_language,76,eng,pol
article_language,77,empty,French
article_language,88,eng,empty
article_language,90,empty,0
article_language,94,English,0
article_language,95,eng,0
article_language,97,empty,0
article_language,102,English,empty
article_language,103,English,German
article_language,107,empty,English
article_language,108,eng,English
article_language,112,English,0
article_language,113,eng,empty
article_language,118,empty,English
article_language,123,eng,0
article_language,125,eng,0
article_language,128,empty,0
article_language,131,empty,0
article_language,135,empty,eng
article_language,138,empty,eng
article_language,140,eng,English
article_language,141,eng,empty
article_language,142,eng,0
article_language,148,eng,0
article_language,154,eng,0
article_language,166,empty,eng
article_language,178,empty,0
article_language,180,eng,0
article_language,181,English,empty
article_language,185,empty,English
article_language,186,English,0
article_language,189,empty,0
article_language,191,empty,0
article_language,192,eng,0
article_language,196,eng,0
article_language,204,English,0
article_language,205,eng,0
article_language,216,eng,empty
article_language,219,empty,0
article_language,220,empty,0
article_language,223,empty,0
article_language,229,empty,0
article_language,234,eng,0
article_language,235,eng,0
article_language,239,eng,empty
article_language,244,empty,0
article_language,246,empty,pol
article_language,252,empty,0
article_language,257,eng,0
article_language,262,English,0
article_language,264,eng,0
article_language,265,English,empty
article_language,268,empty,0
article_language,286,empty,0
article_language,288,empty,0
article_language,299,English,empty
article_language,301,empty,0
article_language,304,empty,0
article_language,305,empty,0
article_language,315,eng,empty
article_language,322,eng,0
article_language,325,empty,English
article_language,331,empty,0
article_language,333,empty,English     Italian
article_language,338,empty,0
article_language,340,empty,0
article_language,350,eng,0
article_language,359,eng,empty
article_language,365,empty,0
article_language,367,empty,0
article_language,370,English,empty
article_language,373,empty,0
article_language,374,English,empty
article_language,375,empty,eng
article_language,377,English,Eng
article_language,378,eng,0
article_language,380,empty,eng
article_language,384,empty,English
article_language,387,empty,chi
article_language,404,empty,0
article_language,409,empty,0
article_language,411,eng,English
article_language,425,empty,0
article_language,426,empty,0
article_language,431,empty,0
article_language,433,empty,0
article_language,434,English,0
article_language,436,eng,0
article_language,439,empty,0
article_language,442,eng,0
article_language,447,eng,0
article_language,448,English,0
article_language,453,eng,0
article_language,456,pol,empty
article_language,457,eng,0
article_language,459,empty,0
article_language,460,empty,0
article_language,462,eng,0
article_language,470,empty,0
article_language,490,empty,0
article_language,496,eng,0
article_language,497,empty,English
article_language,498,empty,eng
article_language,499,empty,eng
article_language,509,English,pol
article_language,510,empty,0
article_language,511,empty,0
article_language,528,empty,English
article_language,531,English,empty
article_language,540,eng,empty
article_language,544,empty,0
article_language,552,empty,0
article_language,559,eng,English
article_language,561,empty,0
article_language,563,empty,eng
article_language,569,empty,English
article_language,573,heb,English
article_language,574,eng,0
article_language,576,empty,0
article_language,581,eng,0
article_language,583,empty,0
article_language,584,English,French
article_language,591,eng,0
article_language,594,eng,empty
article_language,598,empty,0
article_language,602,English,empty
article_language,606,eng,0
article_language,614,empty,0
article_language,618,empty,0
article_language,620,English,empty
article_language,623,eng,empty
article_language,624,empty,0
article_language,631,English,empty
article_language,632,empty,0
article_language,633,empty,0
article_language,638,empty,0
article_language,640,English,0
article_language,664,eng,0
article_language,677,eng,0
article_language,679,empty,0
article_language,682,empty,eng
article_language,685,empty,English
article_language,692,empty,0
article_language,693,English,empty
article_language,698,empty,0
article_language,699,eng,empty
article_language,701,empty,eng
article_language,714,eng,0
article_language,721,empty,0
article_language,734,eng,empty
article_language,741,empty,English
article_language,743,empty,eng
article_language,746,empty,0
article_language,751,eng,0
article_language,761,eng,0
article_language,764,empty,0
article_language,772,eng,empty
article_language,773,eng,0
article_language,778,empty,English
article_language,786,empty,0
article_language,787,English,empty
article_language,794,empty,0
article_language,797,pt,empty
article_language,803,eng,0
article_language,804,English,0
article_language,811,empty,English
article_language,815,English,empty
article_language,816,eng,empty
article_language,817,English,0
article_language,819,eng,empty
article_language,823,empty,0
