Attribute,Index,Dirty Value,Clean Value
gender,1105,empty,f
gender,1191,nm,m
gender,1809,empty,f
gender,3034,***,f
gender,4516,empty,m
gender,4595,empty,m
gender,6374,empty,m
gender,6959,empty,f
gender,7429,empty,m
gender,8369,empty,f
gender,8521,empty,m
gender,9744,ff,f
gender,15535,empty,f
gender,18300,empty,m
gender,18771,empty,m
gender,18894,***,f
gender,19350,empty,m
gender,19712,***,f
city,692,empty,searsmont
city,1022,empty,albion
city,1307,cayye,cayey
city,1929,empty,sebago lake
city,4114,orham,gorham
city,4411,swampsctt,swampscott
city,4854,empty,mill river
city,5204,groon,groton
city,7673,hampston,hampton
city,7922,harmnoy,harmony
city,7966,guaynaabo,guaynabo
city,8396,gujanica,guanica
city,8405,guanyabo,guaynabo
city,8436,hanoer,hanover
city,8445,gayama,guayama
city,8870,thallowell,hallowell
city,9535,lowell***,lowell
city,9820,ugaynabo,guaynabo
city,11314,halnifax,halifax
city,11705,guayenabo,guaynabo
city,12106,guidl,guild
city,12752,gumild,guild
city,15493,hllowell,hallowell
city,16606,uaynabo,guaynabo
city,16704,guajynabo,guaynabo
city,16834,gvuaynabo,guaynabo
city,17148,empty,boston
city,17239,hancocck,hancock
city,17894,groveladn,groveland
city,18639,bayvamon,bayamon
city,18982,guayaam,guayama
city,19028,grabo,gurabo
city,19266,gilmanton ironn works,gilmanton iron works
city,19698,harmxony,harmony
city,19712,gurbo,gurabo
city,19918,hampon,hampton
rate,518,6.9580293,6.9580293000000015
rate,873,6.9580293,6.9580293000000015
rate,1813,6.9580293,6.9580293000000015
rate,1950,6.9580293,6.9580293000000015
rate,4578,6.9580293,6.9580293000000015
rate,5284,6.9580293,6.9580293000000015
rate,5327,6.0472026,6.047202599999999
rate,5756,6.9580293,6.9580293000000015
rate,7453,6.9580293,6.9580293000000015
rate,7813,4.4972854,4.497285400000001
rate,8529,6.9580293,6.9580293000000015
rate,10078,6.9580293,6.9580293000000015
rate,10577,6.9580293,6.9580293000000015
rate,10865,6.9580293,6.9580293000000015
rate,12252,6.9580293,6.9580293000000015
rate,14002,6.9580293,6.9580293000000015
rate,15396,4.4972854,4.497285400000001
rate,17289,6.9580293,6.9580293000000015
rate,17757,6.9580293,6.9580293000000015
rate,18596,6.9580293,6.9580293000000015
rate,19756,6.9580293,6.9580293000000015
singleexemp,2589,empty,0
singleexemp,5997,empty,0
singleexemp,7170,j0,0
singleexemp,7193,5375,3575
singleexemp,12367,empty,0
singleexemp,12887,empty,0
singleexemp,12939,empty,3575
singleexemp,14264,empty,0
singleexemp,14721,empty,3575
singleexemp,17475,empty,0
singleexemp,18650,3755,3575
singleexemp,19192,empty,2850
marriedexemp,3820,150,7150
marriedexemp,4876,empty,0
marriedexemp,5204,empty,6600
marriedexemp,5867,empty,0
marriedexemp,6145,empty,0
marriedexemp,6974,71j50,7150
marriedexemp,7462,empty,0
marriedexemp,9830,715w0,7150
marriedexemp,10118,s0,0
marriedexemp,11244,150,7150
marriedexemp,13524,7510,7150
marriedexemp,14324,***,0
marriedexemp,14497,p0,0
marriedexemp,14684,7105,7150
marriedexemp,15367,empty,0
marriedexemp,15442,empty,0
marriedexemp,15551,***,0
marriedexemp,18637,empty,0
marriedexemp,18990,empty,0
childexemp,2725,empty,0
childexemp,4208,empty,0
childexemp,5482,empty,2850
childexemp,6297,empty,3300
childexemp,11165,empty,0
childexemp,11216,***,0
childexemp,11423,empty,1000
childexemp,13059,empty,0
childexemp,19923,empty,0
