Attribute,Index,Dirty Value,Cleaned Value
<<<<<<< HEAD
fname,18218,moss,0
gender,923,f,xf
gender,4102,f,***
gender,4400,f,af
gender,5650,empty,m
gender,6038,***,m
gender,8258,f,empty
gender,10410,m,empty
gender,15556,f,bf
gender,15800,hf,f
gender,16782,m,***
gender,18218,empty,m
areacode,71,603,0
areacode,430,939,0
areacode,1312,207,0
areacode,2390,339,0
areacode,2932,401,0
areacode,3017,207,0
areacode,3021,781,0
=======
fname,728,annette,0
fname,792,alselm,0
fname,923,alfredo,0
fname,2020,behnaam,0
fname,2110,ammar,0
fname,2505,xuan,0
fname,3078,halina,0
fname,3123,annabelle,0
fname,3146,tong,0
fname,3662,berardina,0
fname,4102,anish,0
fname,4400,arno,0
fname,4623,keizo,0
fname,5262,alun,0
fname,5263,eduardus,0
fname,5650,eunsam,0
fname,5756,francky,0
fname,5971,frances,0
fname,6038,kazuhito,0
fname,6331,chander,0
fname,7364,arlaana,0
fname,7436,jerrell,0
fname,8258,benard,0
fname,8642,amilcar,0
fname,9362,roel,0
fname,10410,terje,0
fname,10989,angel,0
fname,11810,katsumi,0
fname,12456,anupam,0
fname,14223,shigeo,0
fname,15556,arco,0
fname,15800,changming,0
fname,18218,moss,0
fname,19566,mohsen,0
gender,10989,***,empty
gender,18218,empty,m
gender,19566,***,m
areacode,60,203,0
areacode,71,603,0
areacode,430,939,0
areacode,1312,207,0
areacode,2316,508,0
areacode,2390,339,0
areacode,2427,802,0
areacode,2932,401,0
areacode,3017,207,0
areacode,3021,781,0
areacode,3593,848,0
>>>>>>> 7bf0206f7ddcf282baf2ab902c08e6483a4ce7cb
areacode,3759,787,0
areacode,3771,978,0
areacode,3863,603,0
areacode,3935,774,0
areacode,4330,207,0
areacode,4502,413,0
areacode,4578,207,0
areacode,5055,603,0
areacode,5121,401,0
areacode,5149,207,0
areacode,5587,603,0
areacode,5717,939,0
areacode,6145,774,0
areacode,6364,603,0
areacode,6390,351,0
<<<<<<< HEAD
areacode,6566,207,0
=======
areacode,6457,802,0
areacode,6492,802,0
areacode,6566,207,0
areacode,6967,860,0
areacode,7354,203,0
areacode,8264,802,0
areacode,8267,802,0
>>>>>>> 7bf0206f7ddcf282baf2ab902c08e6483a4ce7cb
areacode,8369,781,0
areacode,8447,401,0
areacode,8869,603,0
areacode,8870,207,0
areacode,9462,207,0
<<<<<<< HEAD
areacode,10218,603,0
areacode,10451,401,0
areacode,10730,787,0
areacode,11709,781,0
areacode,12638,207,0
areacode,12752,603,0
areacode,13332,787,0
areacode,13502,401,0
=======
areacode,9530,802,0
areacode,10218,603,0
areacode,10451,401,0
areacode,10522,860,0
areacode,10730,787,0
areacode,10858,802,0
areacode,11709,781,0
areacode,12456,732,0
areacode,12638,207,0
areacode,12723,802,0
areacode,12752,603,0
areacode,13332,787,0
areacode,13502,401,0
areacode,13573,862,0
>>>>>>> 7bf0206f7ddcf282baf2ab902c08e6483a4ce7cb
areacode,13700,207,0
areacode,13733,401,0
areacode,13813,774,0
areacode,14070,401,0
areacode,14240,603,0
areacode,14416,207,0
areacode,14548,207,0
<<<<<<< HEAD
areacode,15136,978,0
areacode,15627,401,0
areacode,16081,857,0
areacode,16584,401,0
areacode,18430,401,0
areacode,19013,603,0
areacode,19048,787,0
areacode,19235,857,0
areacode,19389,603,0
city,114,lquillo,luquillo
city,191,empty,north stratford
city,279,cumberland,cumbreland
city,549,coto laurel,coto laruel
city,1468,dennysville,dennyysville
city,1782,octo laurel,coto laruel
city,2209,cornish,cornisph
city,2575,empty,tiverton
city,2725,devens,deevns
city,2808,empty,adamsville
city,3986,cranston,crnaston
city,4162,cranston,acranston
city,4444,silver lake,silverl ake
city,5281,deerfield,deerfeld
city,5544,cumberand,cumberalnd
city,5650,maryaguez,mayaguez
city,5756,dennyysville,ydennysville
city,6658,portmsouth,portsmouth
city,6923,empty,patillas
city,7046,empty,hope
city,7335,cornish,cormnish
city,7343,empty,bennington
city,7819,coopers mills,cioopers mills
city,7851,cumbreland,cumberalnd
city,8140,dixmont,dixmoqnt
city,8329,cranstn,crnaston
city,8583,deerfield,derefield
city,9238,cranton,crnaston
city,9593,culebra,culembra
city,9744,empty,new london
city,10247,cotuit,cotuti
city,10823,crannston,acranston
city,11207,millville,empty
city,11719,orth bridgton,north bridgton
