Attribute,Index,Clean Value,Cleaned Value
fname,12941,parto,0
gender,153,m,empty
gender,359,f,empty
gender,439,f,empty
gender,1504,f,empty
gender,1929,m,empty
gender,2172,f,***
gender,2195,m,empty
gender,2420,m,empty
gender,2880,f,empty
gender,2899,f,wf
gender,3034,f,kf
gender,3166,f,***
gender,3186,m,empty
gender,3331,m,empty
gender,3391,f,empty
gender,3738,f,empty
gender,3905,m,empty
gender,4114,f,empty
gender,4165,f,empty
gender,4349,f,empty
gender,4961,f,***
gender,5323,m,empty
gender,5328,m,empty
gender,5354,f,***
gender,5501,f,***
gender,5653,m,***
gender,5670,f,empty
gender,5756,f,empty
gender,5772,m,empty
gender,5794,m,tm
gender,5855,f,empty
gender,5867,f,empty
gender,5971,f,mf
gender,6054,f,empty
gender,6399,m,***
gender,6658,f,empty
gender,6960,m,em
gender,7047,f,empty
gender,7056,f,empty
gender,7486,f,uf
gender,7836,m,empty
gender,8047,m,empty
gender,8130,f,empty
gender,8193,f,empty
gender,8754,m,empty
gender,9023,f,empty
gender,9038,f,empty
gender,9519,f,empty
gender,9605,m,empty
gender,9717,f,empty
gender,10169,f,empty
gender,10474,m,empty
gender,10746,f,***
gender,10853,f,***
gender,11119,m,empty
gender,11429,f,empty
gender,11494,f,***
gender,11501,m,empty
gender,12013,m,***
gender,12188,f,***
gender,12941,m,empty
gender,13510,f,wf
gender,13542,f,***
gender,13750,f,empty
gender,14539,f,empty
gender,14684,m,um
gender,14798,f,tf
gender,14938,m,empty
gender,15055,m,empty
gender,15066,m,***
gender,15296,f,zf
gender,15491,f,of
gender,15643,f,***
gender,15803,m,***
gender,15969,m,empty
gender,16173,f,***
gender,16922,f,empty
gender,16938,m,empty
gender,17140,f,lf
gender,17248,m,empty
gender,18058,f,empty
gender,18108,f,empty
gender,18267,f,ef
gender,18420,m,empty
gender,18969,f,empty
gender,19349,f,***
gender,19368,f,empty
gender,19658,f,***
gender,19697,m,empty
gender,19712,f,kf
gender,19728,f,***
gender,19733,f,qf
gender,19868,f,uf
gender,19952,f,***
areacode,71,603,0
areacode,502,774,0
areacode,624,603,0
areacode,625,939,0
areacode,827,939,0
areacode,854,603,0
areacode,1022,401,0
areacode,1255,401,0
areacode,1308,401,0
areacode,1402,774,0
areacode,1528,603,0
areacode,1740,207,0
areacode,1994,617,0
areacode,2088,603,0
areacode,2587,939,0
areacode,2808,401,0
areacode,2815,603,0
areacode,2825,774,0
areacode,3017,207,0
areacode,3021,781,0
areacode,3104,207,0
areacode,4658,603,0
areacode,4859,207,0
areacode,4960,603,0
areacode,5209,207,0
areacode,5406,857,0
areacode,5563,401,0
areacode,5688,207,0
areacode,5794,939,0
areacode,5971,401,0
areacode,7044,603,0
areacode,7362,413,0
areacode,7386,207,0
areacode,8334,401,0
areacode,9038,939,0
areacode,9902,787,0
areacode,10530,939,0
areacode,10667,207,0
areacode,10776,351,0
areacode,11259,401,0
areacode,11345,207,0
areacode,11611,787,0
areacode,12088,207,0
areacode,12113,207,0
areacode,12524,787,0
areacode,12693,781,0
areacode,12726,603,0
areacode,13863,781,0
areacode,13931,401,0
areacode,15123,207,0
areacode,16297,339,0
areacode,16777,787,0
areacode,17310,207,0
areacode,17322,787,0
areacode,17330,603,0
areacode,17418,939,0
areacode,18251,603,0
areacode,18267,603,0
areacode,18280,401,0
areacode,18379,939,0
areacode,18451,939,0
areacode,18564,774,0
areacode,18635,207,0
areacode,18969,207,0
areacode,19028,939,0
areacode,19128,339,0
areacode,19425,413,0
city,116,manchester,empty
city,296,clayville,calyville
city,430,canovanas,anovanas
city,692,searsmont,seazrsmont
city,1235,carolina,acrolina
city,1307,cayey,caeyy
city,1333,charlestown,chrlestown
city,1353,coamo,caomo
city,1438,portsmouth,empty
city,1573,center strafford,center straford
city,1740,north waterford,empty
city,2105,carolina,craolina
city,2191,catano,cataon
city,2240,sutton,sutrton
city,2577,carolina,acrolina
city,2670,campton,camptoen
city,2835,guayanilla,guayaniglla
city,3081,hatillo,atillo
city,3083,south mountain,boylston
city,3084,brohard,boylston
city,3107,catano,caatno
city,3225,chesterfield,chesterifeld
city,3354,centerville,centervillpe
city,3582,cidra,ccidra
city,3695,center tuftonboro,center tuftonbworo
city,3828,charlestown,charelstown
city,4008,springfield,empty
city,4121,carolina,carloina
city,4254,carolina,carolia
city,4283,farmington,empty
city,4499,chester,chseter
city,4865,clayville,calyville
city,5154,centerville,centervillpe
city,5322,joliet,boylston
city,5323,landisville,boylston
city,5324,des moines,boylston
city,5349,carolina,carolinga
city,5376,keene,keee
city,5392,carolina,carolia
city,5568,carolina,carolinga
city,5571,ceiba,ceiab
city,5794,ciales,cials
city,6051,carolina,carloina
city,6356,clayton lake,claytonlake
city,6494,charlestown,chrlestown
city,6703,jaffrey,jaffrye
city,6945,carolina,acrolina
city,7085,groton,gproton
city,7134,castaner,casaner
city,7210,chicopee,chicoepe
city,7503,catano,cataon
city,7567,charlestown,charelstown
city,7764,clayville,calyville
city,7949,cayey,caeyy
city,8097,catano,cataon
city,8551,lewiston,empty
city,8814,chichester,chhichester
city,8839,clayton lake,claytonlake
city,8866,catano,cavtano
city,9013,central falls,central alls
city,9169,deer isle,empty
city,9420,chelsea,chlsea
city,9516,catano,catanno
city,9838,clayville,calyville
city,10002,center strafford,center straford
city,10505,carolina,vcarolina
city,10610,campton,camlpton
city,10976,carolina,carloina
city,11192,clayville,calyville
city,11199,catano,cavtano
city,11216,chatham,chatfham
city,11332,chatham,chatfham
city,11593,chelsea,helsea
city,11645,carolina,vcarolina
city,11796,chelsea,helsea
city,11825,canovanas,anovanas
city,11866,chicopee,chicoepe
city,12094,carolina,acrolina
city,12142,clayville,calyville
city,12143,clayville,calyville
city,12358,bedford,empty
city,12466,chichester,chhichester
city,12803,goshen,gohen
city,13158,center tuftonboro,center tuftonbworo
city,13299,west ossipee,est ossipee
city,13332,carolina,caorlina
city,13348,farmington,empty
city,13457,seabrook,esabrook
city,13697,jaffrey,jaffrye
city,14350,cayey,cayye
city,14393,clayville,calyville
city,14430,hatillo,empty
city,14762,carolina,acrolina
city,14813,carolina,cbarolina
city,14861,charlestown,charelstown
city,15419,coamo,caomo
city,15618,castaner,casaner
city,15934,charlestown,charelstown
city,15982,ceiba,ceiab
city,16135,chesterfield,cehesterfield
city,16241,catano,cataon
city,16261,chatham,chatfham
city,16474,charlestown,charelstown
city,16589,campton,camlpton
city,16777,carolina,carolia
city,16888,canaan,cnaaan
city,16989,cayey,cayye
city,17019,charlestown,charelstown
city,17108,cidra,ccidra
city,17168,castaner,casaner
city,17239,hancock,yhancock
city,17352,carolina,cbarolina
city,17418,cayey,cayye
city,17491,ciales,cials
city,17501,ashland,empty
city,17628,bayamon,empty
city,17643,central falls,central alls
city,17818,carolina,cbarolina
city,17951,carolina,carolinga
city,18159,worcester,empty
city,18280,central falls,central fazlls
city,18288,sunset,siunset
city,18451,cayey,cayye
city,18557,belfast,belfst
city,18583,ciales,cials
city,18763,charlestown,chrlestown
city,18772,carolina,vcarolina
city,18778,stockton springs,empty
city,18954,center strafford,center straford
city,18981,carolina,acrolina
city,18985,ciales,cials
city,18993,sunset,siunset
city,19166,seabrook,esabrook
city,19401,chester,chseter
city,19658,central falls,central alls
city,19733,carolina,carolna
state,71,nj,nh
state,1736,nh,lnh
state,2808,ri,rzi
state,3017,ar,me
state,3021,ar,ma
state,3081,pr,ma
state,3082,ct,ma
state,3086,sd,ma
state,5323,nj,ma
state,5328,tx,empty
state,5563,ri,rzi
state,5971,ri,rzi
state,6640,me,empty
state,8334,ri,rzi
state,9184,pr,pzr
zip,0,1907,0
zip,71,3741,0
zip,296,2815,0
zip,308,1001,0
zip,583,2801,0
zip,624,3305,0
zip,625,601,0
zip,778,4548,0
zip,854,3896,0
zip,1235,2812,0
zip,1255,2873,0
zip,1333,3603,0
zip,1482,2284,0
zip,1573,3815,0
zip,1594,4939,0
zip,1695,2842,0
zip,1723,773,0
zip,1740,4267,0
zip,2088,3756,0
zip,2105,987,0
zip,2191,963,0
zip,2371,3854,0
zip,2485,2892,0
zip,2587,717,0
zip,2670,3223,0
zip,2808,2801,0
zip,3080,1907,0
zip,3081,1907,0
zip,3082,1907,0
zip,3083,1907,0
zip,3084,1907,0
zip,3085,1907,0
zip,3086,1907,0
zip,3759,647,0
zip,3828,2813,0
zip,4008,1133,0
zip,4411,1907,0
zip,4865,2815,0
zip,5031,2808,0
zip,5155,2808,0
zip,5190,1133,0
zip,5322,1907,0
zip,5323,1907,0
zip,5324,1907,0
zip,5325,1907,0
zip,5326,1907,0
zip,5327,1907,0
zip,5328,1907,0
zip,5349,979,0
zip,5367,962,0
zip,5563,2896,0
zip,5783,2905,0
zip,5794,638,0
zip,5971,2878,0
zip,6386,2871,0
zip,7134,631,0
zip,7425,3455,0
zip,7439,707,0
zip,7503,963,0
zip,7515,5071,0
zip,7567,2813,0
zip,7764,2815,0
zip,8329,2921,0
zip,8334,2893,0
zip,8866,962,0
zip,9013,2863,0
zip,9038,646,0
zip,9420,5038,0
zip,9459,2808,0
zip,9516,962,0
zip,9720,647,0
zip,9791,4267,0
zip,9838,2815,0
zip,9885,2881,0
zip,10392,2880,0
zip,10432,3060,0
zip,10505,987,0
zip,10976,2812,0
zip,11192,2815,0
zip,11216,2633,0
zip,11259,2822,0
zip,11648,3890,0
zip,12106,3754,0
zip,12142,2815,0
zip,12524,772,0
zip,12726,3890,0
zip,12983,3854,0
zip,13299,3890,0
zip,13332,987,0
zip,13484,717,0
zip,13502,2905,0
zip,14146,4640,0
zip,14762,2812,0
zip,14813,981,0
zip,14861,2813,0
zip,15934,2813,0
zip,16596,2865,0
zip,16777,984,0
