Attribute,Index,Clean Value,Cleaned Value
fname,9394,vijayshankar,0
<<<<<<< HEAD
gender,1080,f,empty
gender,1105,f,empty
gender,1191,m,nm
gender,1392,f,empty
gender,1809,f,empty
gender,3034,f,***
gender,4516,m,empty
gender,4595,m,empty
gender,6374,m,empty
gender,6959,f,empty
gender,7308,f,ff
gender,7429,m,empty
gender,8369,f,empty
gender,8521,m,empty
gender,9744,f,ff
gender,10386,f,***
gender,15535,f,empty
=======
fname,10162,emeka,0
gender,1080,f,empty
gender,1105,f,empty
gender,1392,f,empty
gender,1809,f,empty
gender,2646,m,empty
gender,3034,f,***
gender,3959,f,***
gender,4083,m,***
gender,4444,f,empty
gender,4516,m,empty
gender,4595,m,empty
gender,5866,f,empty
gender,6012,f,***
gender,6374,m,empty
gender,6850,f,***
gender,6959,f,empty
gender,7251,f,of
gender,7308,f,ff
gender,7377,m,empty
gender,7429,m,empty
gender,8369,f,empty
gender,8521,m,empty
gender,9577,m,***
gender,9744,f,ff
gender,10237,f,***
gender,10386,f,***
gender,10906,f,empty
gender,11164,f,if
gender,12630,f,***
gender,14048,m,***
gender,15535,f,empty
gender,16167,m,***
gender,17205,f,empty
gender,17492,f,***
gender,17703,f,***
gender,18072,m,vm
>>>>>>> 7bf0206f7ddcf282baf2ab902c08e6483a4ce7cb
gender,18300,m,empty
gender,18771,m,empty
gender,18894,f,***
gender,19350,m,empty
gender,19712,f,***
<<<<<<< HEAD
areacode,71,603,0
areacode,672,781,0
areacode,3017,207,0
areacode,3021,781,0
areacode,3061,401,0
areacode,4755,603,0
areacode,4834,207,0
areacode,7574,603,0
areacode,7836,207,0
areacode,7896,207,0
areacode,9434,802,0
areacode,9838,401,0
areacode,10766,401,0
areacode,12560,401,0
areacode,12670,351,0
areacode,13089,603,0
areacode,15182,339,0
areacode,15600,603,0
areacode,15934,401,0
areacode,17035,787,0
areacode,17637,401,0
areacode,18316,207,0
areacode,18460,401,0
city,471,hampton,hampston
city,692,searsmont,empty
