Attribute,Index,Clean Value,Dirty Value
gender,116,m,empty
gender,1070,m,empty
gender,2108,f,xf
gender,2574,f,empty
gender,2877,m,empty
gender,3996,f,empty
gender,4279,f,empty
gender,4700,m,pm
gender,5650,m,empty
gender,5690,m,empty
gender,5890,m,bm
gender,5971,f,jf
gender,6038,m,***
gender,6276,f,***
gender,6331,f,empty
gender,6423,m,cm
gender,7275,m,empty
gender,7949,f,empty
gender,8107,f,empty
gender,8321,m,empty
gender,8529,f,empty
gender,8759,f,***
gender,8933,m,xm
gender,9184,f,empty
gender,9244,m,empty
gender,9307,f,***
gender,9362,m,***
gender,9425,f,***
gender,9830,f,***
gender,9885,f,***
gender,10169,f,gf
gender,10247,f,empty
gender,10499,f,df
gender,10989,f,***
gender,11199,f,cf
gender,11294,f,empty
gender,11324,f,empty
gender,11440,f,empty
gender,11755,f,empty
gender,11794,f,***
gender,12904,m,jm
gender,13566,f,empty
gender,14146,f,***
gender,14336,f,yf
gender,14552,f,empty
gender,15568,f,***
gender,15800,f,hf
gender,16081,f,af
gender,16239,f,***
gender,16241,f,***
gender,16606,f,***
gender,16751,m,empty
gender,16956,f,empty
gender,17005,f,empty
gender,17206,f,vf
gender,17440,m,km
gender,17472,m,empty
gender,17802,f,***
gender,17825,f,bf
gender,18218,m,empty
gender,18252,f,lf
gender,18402,f,qf
gender,18584,m,empty
gender,18731,m,empty
gender,18901,m,empty
gender,18948,m,empty
gender,19245,f,lf
gender,19336,f,empty
gender,19355,m,empty
gender,19566,m,***
gender,19592,m,um
gender,19740,f,empty
gender,19764,m,empty
city,114,luquillo,lquillo
city,191,north stratford,empty
city,373,holyoke,empty
city,672,boston,empty
city,1270,concord,concodr
city,1626,cherry valley,empty
city,1782,coto laurel,octo laurel
city,2575,tiverton,empty
city,2808,adamsville,empty
city,3361,ayer,empty
city,4319,lebanon,lebaonn
city,4755,north woodstock,empty
city,5328,san juan,empty
city,5544,cumberland,cumberand
city,5650,mayaguez,maryaguez
city,5688,mechanic falls,empty
city,5756,dennysville,dennyysville
city,5930,cranston,rcanston
city,6658,portsmouth,portmsouth
city,6923,patillas,empty
city,7046,hope,empty
city,7343,bennington,empty
city,7695,union,empty
city,7825,north dartmouth,empty
city,7851,cumberland,cumbreland
city,7932,swansea,empty
city,8329,cranston,cranstn
city,8447,coventry,cvoentry
city,8722,post mills,pos mills
city,9038,dorado,dordo
city,9238,cranston,cranton
city,9589,arroyo,empty
city,9744,new london,empty
city,10413,dixmont,dixmoqnt
city,10776,deerfield,deerfeld
city,10823,cranston,crannston
city,10921,warren,empty
city,11715,cornish,cormnish
city,11719,north bridgton,orth bridgton
city,12065,cranston,ecranston
city,12347,concord,copncord
city,12496,boston,empty
city,12527,south bristol,south bzristol
city,12814,devens,deevns
city,12841,coto laurel,coto laruel
city,12965,cranston,rcranston
city,12971,concord,concrod
city,13021,deerfield,derefield
city,13063,drury,empty
city,13121,dorado,doraod
city,13410,silver lake,silverl ake
city,13552,wood river junction,wood river ujnction
city,13955,rincon,incon
city,14043,raymond,raymod
city,14424,sullivan,empty
city,14539,cornish,cornsih
city,14798,coopers mills,cioopers mills
city,14944,aguadilla,aguadilal
city,15389,southfield,empty
city,16253,dennysville,ydennysville
city,16261,chatham,empty
city,16417,winn,empty
city,16452,warwick,warwck
city,16504,sunapee,snuapee
city,16630,hebron,hebon
city,16751,cranston,cranstuon
city,16782,cranston,crnaston
city,16833,exeter,empty
city,16876,danbury,empty
city,16971,oxbow,oxbwo
city,17005,millville,empty
city,17185,fiskeville,fskeville
city,17348,culebra,culembra
city,17360,cotuit,cotuti
city,17825,peace dale,empty
city,18677,coventry,ocventry
city,18771,coventry,coventrfy
city,18984,manville,manvlile
city,19088,cumberland,cumebrland
city,19164,cranston,crnaston
city,19418,cranston,cranstno
city,19566,cranston,acranston
city,19644,camuy,empty
city,19714,corozal,coozal
city,19740,cumberland,cugmberland
city,19756,cornish,cornisph
city,19843,cumberland,cumberalnd
state,430,pr,empty
state,1312,me,empty
state,2390,ma,empty
state,2932,ri,rei
state,3759,pr,r
state,3771,ma,mea
state,3863,nh,hn
state,3935,ma,empty
state,4330,me,empty
state,4502,ma,empty
state,4578,me,empty
state,5055,nh,empty
state,5121,ri,empty
state,5149,me,empty
state,5587,nh,empty
state,5717,pr,r
state,6145,ma,a
state,6364,nh,empty
state,6390,ma,am
state,6566,me,empty
state,8369,ma,mka
state,8447,ri,empty
state,8869,nh,h
state,8870,me,empty
state,9462,me,empty
state,10218,nh,empty
state,10451,ri,roi
state,10730,pr,empty
state,11709,ma,a
state,12638,me,empty
state,12752,nh,h
state,13332,pr,empty
state,13502,ri,ir
state,13700,me,e
state,13733,ri,gri
state,13813,ma,empty
state,14070,ri,ir
state,14240,nh,empty
state,14416,me,empty
state,14548,me,pme
state,15136,ma,mga
state,15627,ri,empty
state,16081,ma,am
state,16584,ri,rai
state,18430,ri,empty
state,19013,nh,empty
state,19048,pr,empty
state,19235,ma,mba
state,19389,nh,empty
rate,518,6.9580293000000015,6.9580293
rate,873,6.9580293000000015,6.9580293
rate,1813,6.9580293000000015,6.9580293
rate,1950,6.9580293000000015,6.9580293
rate,4578,6.9580293000000015,6.9580293
rate,5284,6.9580293000000015,6.9580293
rate,5327,6.047202599999999,6.0472026
rate,5756,6.9580293000000015,6.9580293
rate,7453,6.9580293000000015,6.9580293
rate,7813,4.497285400000001,4.4972854
