Attribute,Index,Dirty Value,Clean Value
gender,153,empty,m
gender,359,empty,f
gender,439,empty,f
gender,1504,empty,f
gender,2172,***,f
gender,2195,empty,m
gender,2880,empty,f
gender,2899,wf,f
gender,3166,***,f
gender,3186,empty,m
gender,3391,empty,f
gender,3738,empty,f
gender,3905,empty,m
gender,4114,empty,f
gender,4961,***,f
gender,5323,empty,m
gender,5328,empty,m
gender,5501,***,f
gender,5653,***,m
gender,5670,empty,f
gender,5756,empty,f
gender,5772,empty,m
gender,5794,tm,m
gender,5855,empty,f
gender,5867,empty,f
gender,5971,mf,f
gender,6054,empty,f
gender,6399,***,m
gender,6658,empty,f
gender,6960,em,m
gender,7047,empty,f
gender,7056,empty,f
gender,7836,empty,m
gender,8047,empty,m
gender,8130,empty,f
gender,8193,empty,f
gender,8754,empty,m
gender,9023,empty,f
gender,9038,empty,f
gender,9605,empty,m
gender,10169,empty,f
gender,10474,empty,m
gender,10746,***,f
gender,10853,***,f
gender,11119,empty,m
gender,11429,empty,f
gender,11494,***,f
gender,11501,empty,m
gender,12013,***,m
gender,12188,***,f
gender,13510,wf,f
gender,13542,***,f
gender,13750,empty,f
gender,14539,empty,f
gender,14684,um,m
gender,14798,tf,f
gender,14938,empty,m
gender,15055,empty,m
gender,15066,***,m
gender,15296,zf,f
gender,15491,of,f
gender,15643,***,f
gender,15803,***,m
gender,15969,empty,m
gender,16173,***,f
gender,16922,empty,f
gender,16938,empty,m
gender,17140,lf,f
gender,17248,empty,m
gender,18058,empty,f
gender,18108,empty,f
gender,18267,ef,f
gender,18420,empty,m
gender,18969,empty,f
gender,19349,***,f
gender,19368,empty,f
gender,19658,***,f
gender,19697,empty,m
gender,19712,kf,f
gender,19728,***,f
gender,19733,qf,f
gender,19868,uf,f
gender,19952,***,f
city,116,empty,manchester
city,692,seazrsmont,searsmont
city,1438,empty,portsmouth
city,1740,empty,north waterford
city,2240,sutrton,sutton
city,2835,guayaniglla,guayanilla
city,3081,atillo,hatillo
city,3225,chesterifeld,chesterfield
city,4008,empty,springfield
city,5154,centervillpe,centerville
city,5376,keee,keene
city,5392,carolia,carolina
city,6945,acrolina,carolina
city,7085,gproton,groton
city,7949,caeyy,cayey
city,8551,empty,lewiston
city,8839,claytonlake,clayton lake
city,9169,empty,deer isle
city,9516,catanno,catano
