Attribute,Index,Dirty Value,Cleaned Value,Clean Value
fname,90,dung,0,dung
fname,223,djamila,0,djamila
fname,923,alfredo,0,alfredo
fname,1054,cordelia,0,cordelia
fname,1392,corin,0,corin
fname,2791,yul,0,yul
fname,3034,conrado,0,conrado
fname,3354,ori,0,ori
fname,3724,kiyonori,0,kiyonori
fname,5709,douadi,0,douadi
fname,6822,iakovos,0,iakovos
fname,7308,cornelis,0,cornelis
fname,8129,russel,0,russel
fname,8258,benard,0,benard
fname,8714,geir,0,geir
fname,8839,dusko,0,dusko
fname,8866,hiromu,0,hiromu
fname,9519,ehsan,0,ehsan
fname,10162,emeka,0,emeka
fname,10374,yonghuai,0,yonghuai
fname,10386,cormac,0,cormac
fname,10410,terje,0,terje
fname,12288,kesavan,0,kesavan
fname,12525,golgen,0,golgen
fname,12609,iztok,0,iztok
fname,13158,bethina,0,bethina
fname,13219,renwei,0,renwei
areacode,0,508,0,508
areacode,45,603,0,603
areacode,71,603,0,603
areacode,138,207,0,207
areacode,243,939,0,939
areacode,430,939,0,939
areacode,583,401,0,401
areacode,806,802,0,802
areacode,1153,401,0,401
areacode,1512,401,0,401
areacode,1635,802,0,802
areacode,1776,774,0,774
areacode,1788,603,0,603
areacode,2071,603,0,603
areacode,2354,939,0,939
areacode,2485,401,0,401
areacode,2908,787,0,787
areacode,2923,603,0,603
areacode,3017,207,0,207
areacode,3021,781,0,781
areacode,3531,617,0,617
areacode,3535,401,0,401
areacode,3738,603,0,603
areacode,4279,401,0,401
areacode,4330,207,0,207
areacode,4502,413,0,413
areacode,4839,508,0,508
areacode,4993,207,0,207
areacode,5368,207,0,207
areacode,5496,787,0,787
areacode,5503,207,0,207
areacode,5548,207,0,207
areacode,5680,351,0,351
areacode,5874,787,0,787
areacode,6019,207,0,207
areacode,6700,401,0,401
areacode,7033,207,0,207
areacode,7825,978,0,978
areacode,8340,603,0,603
areacode,8367,413,0,413
areacode,8487,978,0,978
areacode,9009,617,0,617
areacode,9280,603,0,603
areacode,9554,603,0,603
areacode,9679,207,0,207
areacode,9895,207,0,207
areacode,10319,508,0,508
areacode,10573,603,0,603
areacode,10728,603,0,603
areacode,10865,207,0,207
areacode,10921,401,0,401
areacode,11222,207,0,207
areacode,11244,339,0,339
areacode,11351,413,0,413
areacode,11465,603,0,603
areacode,11561,781,0,781
areacode,11766,939,0,939
areacode,12854,207,0,207
areacode,13323,603,0,603
areacode,13327,857,0,857
areacode,13604,939,0,939
areacode,14422,787,0,787
areacode,15649,508,0,508
areacode,15681,207,0,207
areacode,16106,401,0,401
areacode,17307,603,0,603
areacode,17541,603,0,603
areacode,18218,939,0,939
areacode,18368,413,0,413
areacode,18901,401,0,401
areacode,19262,939,0,939
areacode,19266,603,0,603
areacode,19942,207,0,207
areacode,19986,939,0,939
