Attribute,Index,Clean Value,Dirty Value
surname,31,hoare,oare
surname,47,corvi,crvi
surname,101,timkovsky,ftimkovsky
surname,144,weatherhead,weatherhtead
surname,145,zajak,empty
surname,224,aigrain,aigirain
surname,226,aigrain,gaigrain
surname,243,aigrain,aiqgrain
surname,267,aigrain,agrain
surname,331,weener,empty
surname,362,aigrain,ahigrain
surname,375,matyska,matysak
surname,446,aigrain,aigroain
surname,451,specker,empty
surname,543,derby,dexrby
surname,567,kavasseri,avasseri
surname,632,aigrain,agirain
surname,665,aigrain,igrain
surname,689,musselman,musseloman
surname,712,schupeta,empty
surname,814,aigrain,aigain
surname,870,miles,empty
surname,953,harloff,empty
surname,997,aigrain,aigorain
surname,1043,clemm,aclemm
surname,1063,guyton,uyton
surname,1088,aigrain,aigrlain
surname,1141,rudstrom,empty
surname,1165,kameda,empty
surname,1191,aigrain,aigrani
surname,1210,kavvadias,kavvdaias
surname,1234,cun,empty
surname,1320,rudstrom,empty
surname,1333,aigrain,aigrin
surname,1363,aigrain,aigrin
surname,1403,mccain,cmcain
surname,1436,sezan,empty
surname,1468,aigrain,aigrani
surname,1502,aigrain,igrain
surname,1645,felciano,felcinao
surname,1700,dingle,dingele
surname,1734,aigrain,agirain
surname,1757,jungst,empty
surname,1774,danneberg,ddanneberg
surname,1798,aigrain,aigrian
surname,1865,aigrain,agrain
surname,1953,aigrain,aigran
birthyear,13,1980,empty
birthyear,33,1975,19h75
birthyear,37,1991,1991***
birthyear,70,1996,empty
birthyear,87,1985,195
birthyear,94,1991,empty
birthyear,234,1996,empty
birthyear,236,1975,1957
birthyear,281,1984,empty
birthyear,379,1978,978
birthyear,427,1992,192
birthyear,490,1978,197n8
birthyear,525,1975,empty
birthyear,593,1981,empty
birthyear,636,1978,9178
birthyear,731,1992,empty
birthyear,793,1975,175
birthyear,868,1978,empty
birthyear,870,1984,1948
birthyear,948,1988,empty
birthyear,1058,1984,empty
birthyear,1066,1992,empty
birthyear,1098,1978,978
birthyear,1136,1978,a1978
birthyear,1137,1982,empty
birthyear,1150,1975,empty
birthyear,1236,1978,empty
birthyear,1247,1981,empty
birthyear,1258,1981,1918
birthyear,1307,1988,19l88
birthyear,1343,1975,empty
birthyear,1344,1980,empty
birthyear,1381,1989,empty
birthyear,1444,1980,980
birthyear,1451,1977,empty
birthyear,1511,1984,l1984
birthyear,1520,1986,198v6
birthyear,1589,1978,1987
birthyear,1604,1978,1798
