Attribute,Index,Dirty Value,Clean Value
surname,203,alpeunte,alpuente
surname,224,igrain,aigrain
surname,267,igrain,aigrain
surname,632,aigrbain,aigrain
surname,675,alqpuente,alpuente
surname,842,ischendorf,tischendorf
surname,982,empty,bertsekas
surname,1108,empty,larab
surname,1218,lapuente,alpuente
surname,1272,lpuente,alpuente
surname,1417,lapuente,alpuente
surname,1745,ialpuente,alpuente
surname,1798,igrain,aigrain
surname,1987,empty,andraka
birthyear,466,991,1991
birthyear,842,197,1997
birthyear,874,199h7,1997
birthyear,1000,19p91,1991
birthyear,1098,1987,1978
birthyear,1108,190,1990
birthyear,1136,1987,1978
birthyear,1202,1919,1991
birthyear,1368,1990***,1990
birthyear,1604,19d78,1978
birthyear,1639,19x91,1991
birthyear,1774,empty,1993
birthyear,1861,9178,1978
birthyear,1879,1987,1978
birthyear,1881,997,1997
birthyear,1994,991,1991
birthplace,466,chicaog,chicago
birthplace,657,colocrado,colorado
birthplace,874,worcseter,worcester
birthplace,1000,chcago,chicago
birthplace,1098,l,el
birthplace,1136,l,el
birthplace,1202,hcicago,chicago
birthplace,1368,colorawdo,colorado
birthplace,1639,chiacgo,chicago
birthplace,1861,le,el
birthplace,1879,l,el
birthplace,1881,worcster,worcester
birthplace,1942,vel,el
birthplace,1994,hicago,chicago
position,72,empty,defender
position,107,empty,defender
position,144,empty,midfield
position,201,efender,defender
position,220,empty,forward
position,254,empty,midfield
position,271,empty,midfield
position,338,empty,midfield
position,378,empty,midfield
position,380,empty,defender
position,466,efender,defender
position,482,efender,defender
position,533,empty,midfield
position,551,midield,midfield
position,580,defendr,defender
position,603,empty,midfield
position,632,defendr,defender
position,644,defendre,defender
position,668,midfied,midfield
position,671,florward,forward
position,799,defendre,defender
position,961,empty,midfield
position,998,empty,defender
position,1000,efender,defender
position,1043,empty,midfield
position,1097,empty,forward
position,1117,defenedr,defender
position,1173,empty,defender
position,1194,defenbder,defender
position,1202,defendr,defender
position,1278,defeder,defender
position,1303,golakeeper,goalkeeper
position,1317,empty,midfield
position,1358,midifeld,midfield
position,1388,forwtard,forward
position,1421,edfender,defender
position,1475,forwadr,forward
position,1505,empty,midfield
position,1539,edfender,defender
position,1570,mdfield,midfield
position,1608,empty,midfield
position,1639,defeder,defender
position,1641,empty,midfield
position,1709,empty,goalkeeper
position,1759,empty,midfield
position,1808,empty,defender
position,1828,efender,defender
position,1858,empty,forward
position,1870,midhfield,midfield
position,1900,defenedr,defender
position,1942,defendmer,defender
position,1945,goalkeepher,goalkeeper
position,1982,foward,forward
position,1994,efender,defender
team,55,juventsu,juventus
team,171,juentus,juventus
team,176,juvents,juventus
team,277,juvents,juventus
team,772,uventus,juventus
team,1028,uventus,juventus
team,1227,juvenus,juventus
team,1317,juvents,juventus
team,1434,juvents,juventus
team,1437,juvents,juventus
team,1438,juvexntus,juventus
team,1717,juvents,juventus
team,1731,juventtus,juventus
team,1769,empty,fc_midtjylland
team,1776,juvoentus,juventus
stadium,49,empty,stadio_san_paolo
stadium,139,empty,allianz_arena_olympic_stadium_munich
stadium,185,empty,estadio_da_luz
stadium,238,empty,san_siro_stadium
stadium,253,allianz_arena_oympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,309,allianz_arean_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,360,empty,allianz_arena_olympic_stadium_munich
stadium,444,allian_arena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,445,llianz_arena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,622,allianz_arena_olympci_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,714,empty,allianz_arena_olympic_stadium_munich
stadium,755,allianz_arena_olympic_stadium_kmunich,allianz_arena_olympic_stadium_munich
stadium,857,sallianz_arena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,873,empty,estadio_da_luz
stadium,887,allianz_arna_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,897,allianz_oarena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,958,stadio_loimpico,stadio_olimpico
stadium,983,empty,stadio_san_paolo
stadium,987,empty,bmo_field
stadium,998,allianz_arena_olypic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,1064,allianz_arena_olympic_stadimu_munich,allianz_arena_olympic_stadium_munich
stadium,1184,allianz_arena_oympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,1232,empty,estadio_da_luz
stadium,1305,allianz_arena_olympic_stadhium_munich,allianz_arena_olympic_stadium_munich
stadium,1400,allianz_arenao_lympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,1475,allianz_arena_olympic_stadium_muinch,allianz_arena_olympic_stadium_munich
stadium,1514,san_siro_satdium,san_siro_stadium
stadium,1520,bmof_field,bmo_field
stadium,1591,empty,estadio_da_luz
stadium,1799,allianz_arna_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,1823,alliannz_arena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,1831,allianzv_arena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,1885,king_power_stadimu,king_power_stadium
stadium,1904,stade_evlodrome,stade_velodrome
stadium,1980,allianz_arena_olympic_satdium_munich,allianz_arena_olympic_stadium_munich
