Attribute,Index,Dirty Value,Cleaned Value
ProviderNumber,9,10019,10018
ProviderNumber,10,10019,10018
ProviderNumber,11,10019,10018
ProviderNumber,12,10019,10018
ProviderNumber,26,10001,0
ProviderNumber,46,10005,10018
ProviderNumber,47,10005,10018
ProviderNumber,59,10005,0
ProviderNumber,60,10005,10018
ProviderNumber,107,10007,0
ProviderNumber,187,10010,0
ProviderNumber,189,10010,0
ProviderNumber,212,10011,10018
ProviderNumber,213,10011,10018
ProviderNumber,214,10011,10018
ProviderNumber,215,10011,10018
ProviderNumber,216,10011,10018
ProviderNumber,257,10015,10018
ProviderNumber,258,10015,10018
ProviderNumber,295,10018,0
ProviderNumber,296,10018,0
ProviderNumber,297,10018,0
ProviderNumber,298,10018,0
ProviderNumber,299,10018,0
ProviderNumber,357,10086,0
ProviderNumber,482,10021,0
ProviderNumber,665,10032,0
ProviderNumber,799,10039,0
ProviderNumber,857,10044,0
ProviderNumber,890,10045,0
HospitalName,4,callahan eye foundation hospital,0
HospitalName,7,callahan eye foundation hospital,0
HospitalName,9,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,10,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,11,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,12,callahan eye foundation hospital,helen keller memorial hospital
HospitalName,16,helen keller memorial hospital,0
HospitalName,17,helen keller memorial hospital,0
HospitalName,26,southeast alabama emdical center,southeast alabama medical center
HospitalName,35,southeast alabama medical center,southeast alabama emdical center
HospitalName,39,southeast alabama medical center,0
HospitalName,46,callahan eye foundation hospital,marshall medical center south
HospitalName,47,callahan eye foundation hospital,marshall medical center south
HospitalName,59,empty,marshall medical center south
HospitalName,60,callahan eye foundation hospital,marshall medical center south
HospitalName,92,eliza coffee memorial hospital,0
HospitalName,95,mizell memorial hospital,0
HospitalName,96,mizell memorial hospital,0
HospitalName,107,mizell mmeorial hospital,mizell memorial hospital
HospitalName,132,crenshaw community hospital,0
HospitalName,152,hartselle medical center,0
HospitalName,169,hartselle medical center,0
HospitalName,184,marshall medical center north,marshall medical centernorth
HospitalName,185,marshall medical center north,0
HospitalName,187,marshall medical centernorth,marshall medical center north
HospitalName,189,empty,marshall medical center north
HospitalName,208,st vincents east,0
HospitalName,212,callahan eye foundation hospital,st vincents east
HospitalName,213,callahan eye foundation hospital,st vincents east
HospitalName,214,callahan eye foundation hospital,st vincents east
HospitalName,215,callahan eye foundation hospital,st vincents east
HospitalName,216,callahan eye foundation hospital,st vincents east
HospitalName,226,dekalb regional medical center,0
HospitalName,251,southwest alabama medical center,0
HospitalName,257,callahan eye foundation hospital,southwest alabama medical center
HospitalName,258,callahan eye foundation hospital,southwest alabama medical center
HospitalName,284,shelby baptist medical center,0
HospitalName,295,callahan eyhe foundation hospital,callahan eye foundation hospital
HospitalName,296,callahan eye founadtion hospital,callahan eye foundation hospital
HospitalName,297,callahan eye foutndation hospital,callahan eye foundation hospital
HospitalName,298,callaha eye foundation hospital,callahan eye foundation hospital
HospitalName,299,cllahan eye foundation hospital,callahan eye foundation hospital
HospitalName,302,callahan eye foundation hospital,0
HospitalName,303,callahan eye foundation hospital,0
HospitalName,304,callahan eye foundation hospital,0
HospitalName,305,callahan eye foundation hospital,0
HospitalName,306,callahan eye foundation hospital,0
HospitalName,307,callahan eye foundation hospital,0
HospitalName,308,callahan eye foundation hospital,0
HospitalName,309,callahan eye foundation hospital,0
HospitalName,337,flowers hospital,0
HospitalName,339,flowers hospital,0
HospitalName,347,flowers hospital,0
HospitalName,350,st vincents hospital,0
HospitalName,357,nothwest medical center,northwest medical center
HospitalName,368,northwest medical center,0
HospitalName,384,univ of south alabama medical center,0
HospitalName,392,univ of south alabama medical center,0
HospitalName,399,prattville baptist hospital,0
HospitalName,408,prattville baptist hospital,0
HospitalName,426,coosa valley medical center,0
HospitalName,440,alaska regional hospital,0
HospitalName,465,helen keller memorial hospital,0
HospitalName,466,helen keller memorial hospital,0
HospitalName,482,empty,dale medical center
HospitalName,485,dale medical center,0
HospitalName,488,dale medical center,0
HospitalName,493,cherokee medical center,0
HospitalName,502,cherokee medical center,0
HospitalName,526,baptist medical center south,0
HospitalName,536,baptist medical center south,0
HospitalName,557,jackson hospital & clinic inc,0
HospitalName,559,jackson hospital & clinic inc,0
HospitalName,569,g h lanier memorial hospital,0
HospitalName,587,g h lanier memorial hospital,0
HospitalName,597,elba general hospital,0
HospitalName,609,elba general hospital,0
HospitalName,626,east alabama medical center and snf,0
HospitalName,665,empty,wedowee hospital
HospitalName,680,university of alabama hospital,0
HospitalName,693,community hospital inc,0
HospitalName,737,cullman regional medical center,0
HospitalName,754,andalusia regional hospital,0
HospitalName,762,andalusia regional hospital,0
HospitalName,765,andalusia regional hospital,0
HospitalName,772,stringfellow memorial hospital,0
HospitalName,774,stringfellow memorial hospital,0
HospitalName,799,xhuntsville hospital,huntsville hospital
HospitalName,803,gadsden regional medical center,0
HospitalName,819,gadsden regional medical center,0
HospitalName,857,marion regional medical centre,marion regional medical center
HospitalName,871,marion regional medical center,0
HospitalName,890,empty,fayette medical center
HospitalName,900,fayette medical center,0
HospitalName,909,riverview regional medical center,0
HospitalName,942,georgiana hospital,0
HospitalName,954,georgiana hospital,0
HospitalName,958,medical center enterprise,0
HospitalName,977,medical center enterprise,0
HospitalName,981,st vincents blount,0
HospitalName,985,st vincents blount,0
Address1,9,1300 south montgomery avenue,1720 university blvd
Address1,10,1300 south montgomery avenue,1720 university blvd
Address1,11,1300 south montgomery avenue,1720 university blvd
Address1,12,1300 south montgomery avenue,1720 university blvd
Address1,46,2505 u s highway 431 north,1720 university blvd
Address1,47,2505 u s highway 431 north,1720 university blvd
Address1,60,2505 u s highway 431 north,1720 university blvd
Address1,180,empty,8000 alabama highway 69
Address1,212,50 medical park east drive,1720 university blvd
Address1,213,50 medical park east drive,1720 university blvd
Address1,214,50 medical park east drive,1720 university blvd
Address1,215,50 medical park east drive,1720 university blvd
Address1,216,50 medical park east drive,1720 university blvd
Address1,251,33m700 highway 43,33700 highway 43
Address1,257,33700 highway 43,1720 university blvd
Address1,258,33700 highway 43,1720 university blvd
Address1,300,1720 universityj blvd,1720 university blvd
Address1,301,720 university blvd,1720 university blvd
Address1,368,1530k u s highway 43,1530 u s highway 43
Address1,399,124 s memoprial dr,124 s memorial dr
Address1,408,124 sh memorial dr,124 s memorial dr
Address1,440,2081 debarr road,2801 debarr road
Address1,502,empty,400 northwood dr
Address1,526,empty,2105 east south boulevard
Address1,765,849 south three notch treet,849 south three notch street
Address1,774,301 east1 8th st,301 east 18th st
Address1,778,empty,101 sivley rd
Address1,819,empty,1007 goodyear avenue
Address1,981,150 gilbreathd rive,150 gilbreath drive
City,9,sheffield,birmingham
City,10,sheffield,birmingham
City,11,sheffield,birmingham
City,12,sheffield,birmingham
City,35,dyothan,dothan
City,46,boaz,birmingham
City,47,boaz,birmingham
City,60,boaz,birmingham
City,70,florence,0
City,169,empty,hartselle
City,185,birmingham,guntersville
City,187,birmingham,0
City,197,birmingham,empty
City,208,empty,birmingham
City,257,thomasville,birmingham
City,258,thomasville,birmingham
City,273,alabaster,0
City,276,alabaster,0
City,292,alabaster,0
City,355,winfield,0
City,426,sylaacuga,sylacauga
City,465,shefftield,sheffield
City,466,shefield,sheffield
City,474,ozark,0
City,484,ozark,0
City,488,empty,ozark
City,556,montgomery,0
City,558,montgomery,0
City,693,empty,tallassee
City,727,cullman,0
City,958,empty,enterprise
State,132,empty,al
State,152,l,al
State,284,empty,al
State,310,l,al
State,350,la,al
State,384,l,al
State,559,la,al
State,569,empty,al
State,587,empty,al
State,737,la,al
State,762,l,al
State,772,empty,al
ZipCode,9,35660,35233
ZipCode,10,35660,35233
ZipCode,11,35660,35233
ZipCode,12,35660,35233
ZipCode,16,35660***,35660
ZipCode,17,35x660,35660
ZipCode,46,35957,35233
ZipCode,47,35957,35233
ZipCode,60,35957,35233
ZipCode,92,empty,35631
ZipCode,95,35233,36467
