Attribute,Index,Dirty Value,Cleaned Value
flight,23,aa-1434-dfw-mco,0
flight,38,aa-3063-slc-lax,0
flight,42,aa-4277-cvg-jfk,0
flight,57,ua-2830-mco-clt,0
flight,69,aa-3468-cvg-mia,0
flight,70,aa-484-dfw-mia,0
flight,76,co-1023-iah-den,0
flight,95,aa-4307-ord-dtw,0
flight,104,ua-2906-phl-mco,0
flight,106,aa-1221-mco-ord,0
flight,109,aa-400-dfw-jfk,0
flight,112,ua-37-ewr-mco,0
flight,141,aa-3786-iah-ord,0
flight,148,aa-3809-phx-lax,0
flight,159,co-58-den-iah,0
flight,176,co-1023-iah-den,0
flight,180,co-1088-cle-iah,0
flight,200,aa-643-mia-ord,0
flight,204,aa-1221-mco-ord,0
flight,215,aa-1165-jfk-mia,0
flight,231,aa-2268-phx-ord,0
flight,232,aa-4277-cvg-jfk,0
flight,256,aa-1640-mia-mco,0
flight,261,aa-204-lax-mco,0
flight,262,ua-414-lax-sfo,0
flight,267,ua-3515-iad-msp,0
flight,287,co-1561-phx-iah,0
flight,297,aa-1221-mco-ord,0
flight,301,ua-664-ord-phl,0
flight,306,aa-1165-jfk-mia,0
flight,310,aa-649-ord-sna,0
flight,322,aa-4277-cvg-jfk,0
flight,330,co-50-cle-ewr,0
flight,337,aa-222-lax-bos,0
flight,363,co-1023-iah-den,0
flight,366,co-89-iah-ewr,0
flight,368,aa-1664-mia-atl,0
flight,379,aa-4330-cvg-ord,0
flight,386,co-1193-ewr-mco,0
flight,387,aa-3842-msp-ord,0
flight,388,aa-643-mia-ord,0
flight,390,aa-2525-dfw-mia,0
flight,393,aa-1221-mco-ord,0
flight,404,aa-1165-jfk-mia,0
flight,435,aa-3809-phx-lax,0
flight,436,aa-59-jfk-sfo,0
flight,444,aa-3-jfk-lax,0
flight,456,aa-3468-cvg-mia,0
flight,463,co-1023-iah-den,0
flight,471,ua-382-iad-lax,0
flight,480,aa-1434-dfw-mco,0
flight,481,aa-1640-mia-mco,0
flight,486,aa-3842-msp-ord,0
flight,491,aa-1221-mco-ord,0
flight,492,co-16-lax-ewr,0
flight,494,aa-400-dfw-jfk,0
flight,502,aa-1165-jfk-mia,0
flight,515,ua-1500-iah-gua,0
flight,533,aa-404-mia-mco,0
flight,536,aa-59-jfk-sfo,0
flight,538,aa-3859-iah-ord,0
flight,544,aa-4344-ord-dtw,0
flight,552,co-52-iah-lax,0
flight,555,ua-3515-iad-msp,0
flight,561,co-1023-iah-den,0
flight,566,aa-2957-dfw-cvg,0
flight,578,aa-4330-cvg-ord,0
flight,581,aa-4307-ord-dtw,0
flight,582,aa-3-jfk-lax,0
flight,592,aa-1221-mco-ord,0
flight,595,aa-400-dfw-jfk,0
flight,603,aa-1165-jfk-mia,0
flight,608,ua-828-sfo-ord,0
flight,637,ua-2830-mco-clt,0
flight,651,co-62-iah-ewr,0
flight,655,co-1023-iah-den,0
flight,663,ua-382-iad-lax,0
flight,665,ua-257-jfk-sfo,0
flight,668,co-47-iah-lax,0
flight,673,aa-1640-mia-mco,0
flight,683,aa-1221-mco-ord,0
flight,694,aa-1165-jfk-mia,0
flight,720,aa-271-mia-lax,0
flight,722,co-50-cle-ewr,0
flight,757,ua-248-phx-ord,0
flight,762,co-1193-ewr-mco,0
flight,768,aa-1221-mco-ord,0
flight,775,aa-1165-jfk-mia,0
flight,794,aa-1165-jfk-mia,0
flight,798,ua-382-iad-lax,0
flight,805,aa-1917-jfk-mco,0
flight,809,aa-1221-mco-ord,0
flight,814,aa-518-mia-jfk,0
flight,817,aa-1733-ord-phx,0
flight,820,co-58-den-iah,0
flight,830,aa-3468-cvg-mia,0
flight,837,co-1023-iah-den,0
flight,846,aa-4344-ord-dtw,0
flight,848,ua-2945-phl-clt,0
flight,865,aa-1221-mco-ord,0
flight,872,aa-1522-sfo-ord,0
flight,876,aa-1165-jfk-mia,0
flight,895,ua-37-edi-ewr,0
flight,898,aa-85-jfk-sfo,0
flight,900,aa-1544-san-ord,0
flight,903,aa-2525-dfw-mia,0
flight,909,aa-3809-phx-lax,0
flight,922,aa-466-iah-mia,0
flight,929,aa-271-mia-lax,0
flight,937,aa-1221-mco-ord,0
flight,938,co-16-lax-ewr,0
flight,959,aa-2957-dfw-cvg,0
flight,964,aa-3786-iah-ord,0
flight,985,aa-4330-cvg-ord,0
flight,994,aa-1733-ord-phx,0
flight,1025,aa-4307-ord-dtw,0
flight,1026,co-1694-lax-iah,0
flight,1031,ua-2906-phl-mco,0
flight,1032,aa-1221-mco-ord,0
flight,1034,aa-400-dfw-jfk,0
flight,1040,aa-1165-jfk-mia,0
flight,1051,ua-62-iah-ewr,0
flight,1052,aa-3804-phl-ord,0
flight,1080,ua-5487-sfo-mry,0
flight,1090,aa-484-dfw-mia,0
flight,1095,aa-446-dfw-phl,0
flight,1099,co-89-iah-ewr,0
flight,1107,ua-2945-phl-clt,0
flight,1112,aa-4330-cvg-ord,0
flight,1116,co-1694-lax-iah,0
flight,1127,aa-400-dfw-jfk,0
flight,1135,aa-1165-jfk-mia,0
flight,1149,aa-3804-phl-ord,0
flight,1154,ua-37-edi-ewr,0
flight,1168,aa-3809-phx-lax,0
flight,1181,aa-466-iah-mia,0
flight,1201,ua-257-jfk-sfo,0
flight,1206,co-4888-iah-dal,0
flight,1213,aa-4277-cvg-jfk,0
flight,1215,ua-37-edi-ewr,0
flight,1239,co-1090-bos-iah,0
flight,1249,co-1023-iah-den,0
flight,1259,ua-257-jfk-sfo,0
flight,1265,aa-4330-cvg-ord,0
flight,1290,aa-1165-jfk-mia,0
flight,1325,co-1586-iah-mco,0
flight,1326,aa-518-mia-jfk,0
flight,1339,co-1090-bos-iah,0
flight,1341,ua-3515-iad-msp,0
flight,1343,aa-484-dfw-mia,0
flight,1345,co-62-iah-ewr,0
flight,1349,co-1023-iah-den,0
flight,1360,ua-2945-phl-clt,0
flight,1380,aa-400-dfw-jfk,0
flight,1383,ua-37-ewr-mco,0
flight,1388,aa-1165-jfk-mia,0
flight,1399,ua-62-iah-ewr,0
flight,1403,aa-2268-phx-ord,0
flight,1408,aa-415-bos-ord,0
flight,1413,aa-271-mia-lax,0
flight,1414,aa-2525-dfw-mia,0
flight,1424,ua-3373-iad-phl,0
flight,1429,co-1023-iah-den,0
flight,1439,co-1090-bos-iah,0
flight,1441,co-47-iah-lax,0
flight,1448,co-1090-bos-iah,0
flight,1470,co-1250-mia-iah,0
flight,1475,aa-3809-phx-lax,0
flight,1478,aa-616-dfw-dtw,0
flight,1483,aa-85-jfk-sfo,0
flight,1488,aa-3859-iah-ord,0
flight,1503,co-1090-bos-iah,0
flight,1513,co-1023-iah-den,0
flight,1527,aa-2050-ord-mia,0
flight,1528,ua-248-phx-ord,0
flight,1536,co-1193-ewr-mco,0
flight,1541,ua-2906-phl-mco,0
flight,1543,aa-1221-mco-ord,0
flight,1551,ua-233-lax-jfk,0
flight,1554,aa-1165-jfk-mia,0
flight,1578,aa-3786-iah-ord,0
flight,1597,co-1090-bos-iah,0
flight,1598,aa-3468-cvg-mia,0
flight,1600,co-1023-iah-den,0
flight,1604,aa-3979-cvg-ord,0
flight,1620,aa-2312-dfw-dtw,0
flight,1621,aa-1165-jfk-mia,0
flight,1634,aa-1544-san-ord,0
flight,1640,aa-643-mia-ord,0
flight,1642,aa-2268-phx-ord,0
flight,1671,aa-484-dfw-mia,0
flight,1674,co-1023-iah-den,0
flight,1676,ua-3050-phx-clt,0
flight,1677,aa-2957-dfw-cvg,0
flight,1678,aa-1664-mia-atl,0
flight,1679,aa-3979-cvg-ord,0
flight,1697,co-1193-ewr-mco,0
flight,1698,aa-3842-msp-ord,0
flight,1702,aa-1221-mco-ord,0
flight,1709,aa-1165-jfk-mia,0
flight,1719,aa-789-ord-den,0
flight,1736,ua-854-sfo-iah,0
flight,1751,ua-2708-ewr-clt,0
flight,1761,aa-518-mia-jfk,0
flight,1763,ua-3925-iad-orf,0
flight,1764,aa-1733-ord-phx,0
flight,1771,co-1614-lax-iah,0
flight,1774,co-1090-bos-iah,0
flight,1784,co-1023-iah-den,0
flight,1796,co-63-ewr-iah,0
flight,1809,aa-1007-mia-phx,0
flight,1817,aa-3756-ord-slc,0
flight,1823,aa-1165-jfk-mia,0
flight,1824,aa-431-mia-sfo,0
flight,1830,co-4888-iah-dal,0
flight,1838,aa-1917-jfk-mco,0
flight,1845,aa-85-jfk-sfo,0
flight,1862,ua-397-jfk-sfo,0
flight,1874,co-1090-bos-iah,0
flight,1882,co-1023-iah-den,0
flight,1902,aa-4307-ord-dtw,0
flight,1906,co-1193-ewr-mco,0
flight,1924,aa-1165-jfk-mia,0
flight,1926,ua-257-jfk-sfo,0
flight,1931,ua-2704-dtw-phx,0
flight,1936,aa-1917-jfk-mco,0
flight,1939,aa-789-ord-den,0
flight,1966,co-1090-bos-iah,0
flight,1970,aa-484-dfw-mia,0
flight,1976,co-1023-iah-den,0
flight,1982,aa-1279-dfw-phx,0
