Attribute,Index,Dirty Value,Cleaned Value,Clean Value
flight,4,aa-518-mia-jfk,0,aa-518-mia-jfk
flight,9,aa-446-dfw-phl,0,aa-446-dfw-phl
flight,18,aa-2525-dfw-mia,0,aa-2525-dfw-mia
flight,28,aa-1007-mia-phx,0,aa-1007-mia-phx
flight,35,aa-1165-jfk-mia,0,aa-1165-jfk-mia
flight,41,aa-2268-phx-ord,0,aa-2268-phx-ord
flight,49,aa-3809-phx-lax,0,aa-3809-phx-lax
flight,53,aa-518-mia-jfk,0,aa-518-mia-jfk
flight,58,co-58-den-iah,0,co-58-den-iah
flight,66,co-1090-bos-iah,0,co-1090-bos-iah
flight,75,aa-446-dfw-phl,0,aa-446-dfw-phl
flight,76,co-1023-iah-den,0,co-1023-iah-den
flight,81,aa-1664-mia-atl,0,aa-1664-mia-atl
flight,83,ua-854-sfo-iah,0,ua-854-sfo-iah
flight,87,ua-2945-phl-clt,0,ua-2945-phl-clt
flight,92,aa-4330-cvg-ord,0,aa-4330-cvg-ord
flight,94,aa-1640-mia-mco,0,aa-1640-mia-mco
flight,95,aa-4307-ord-dtw,0,aa-4307-ord-dtw
flight,99,co-1193-ewr-mco,0,co-1193-ewr-mco
flight,102,aa-1007-mia-phx,0,aa-1007-mia-phx
flight,106,aa-1221-mco-ord,0,aa-1221-mco-ord
flight,115,aa-3823-lax-den,0,aa-3823-lax-den
flight,117,aa-1165-jfk-mia,0,aa-1165-jfk-mia
flight,118,aa-431-mia-sfo,0,aa-431-mia-sfo
flight,125,ua-858-pvg-sfo,0,ua-858-pvg-sfo
flight,126,ua-2704-dtw-phx,0,ua-2704-dtw-phx
flight,133,aa-2268-phx-ord,0,aa-2268-phx-ord
flight,147,co-45-ewr-mia,0,co-45-ewr-mia
flight,152,co-1586-iah-mco,0,co-1586-iah-mco
flight,171,aa-1886-bos-mia,0,aa-1886-bos-mia
flight,175,aa-446-dfw-phl,0,aa-446-dfw-phl
flight,183,ua-854-sfo-iah,0,ua-854-sfo-iah
flight,186,ua-257-jfk-sfo,0,ua-257-jfk-sfo
flight,201,aa-1007-mia-phx,0,aa-1007-mia-phx
flight,204,aa-1221-mco-ord,0,aa-1221-mco-ord
flight,210,ua-37-ewr-mco,0,ua-37-ewr-mco
flight,215,aa-1165-jfk-mia,0,aa-1165-jfk-mia
flight,220,ua-6273-yyc-sfo,0,ua-6273-yyc-sfo
flight,227,ua-62-iah-ewr,0,ua-62-iah-ewr
flight,231,aa-2268-phx-ord,0,aa-2268-phx-ord
flight,233,aa-2957-dfw-cvg,0,aa-2957-dfw-cvg
flight,236,aa-415-bos-ord,0,aa-415-bos-ord
flight,238,aa-3979-cvg-ord,0,aa-3979-cvg-ord
flight,240,aa-3786-iah-ord,0,aa-3786-iah-ord
flight,244,ua-3099-phx-phl,0,ua-3099-phx-phl
flight,245,aa-4198-ord-cle,0,aa-4198-ord-cle
flight,256,aa-1640-mia-mco,0,aa-1640-mia-mco
flight,265,co-1090-bos-iah,0,co-1090-bos-iah
flight,267,ua-3515-iad-msp,0,ua-3515-iad-msp
flight,268,aa-484-dfw-mia,0,aa-484-dfw-mia
flight,270,aa-446-dfw-phl,0,aa-446-dfw-phl
flight,281,aa-4344-ord-dtw,0,aa-4344-ord-dtw
flight,282,ua-2945-phl-clt,0,ua-2945-phl-clt
flight,290,co-1694-lax-iah,0,co-1694-lax-iah
flight,297,aa-1221-mco-ord,0,aa-1221-mco-ord
flight,306,aa-1165-jfk-mia,0,aa-1165-jfk-mia
flight,326,ua-854-sfo-iah,0,ua-854-sfo-iah
flight,334,co-45-ewr-mia,0,co-45-ewr-mia
flight,335,aa-3809-phx-lax,0,aa-3809-phx-lax
flight,340,aa-518-mia-jfk,0,aa-518-mia-jfk
flight,342,ua-3925-iad-orf,0,ua-3925-iad-orf
flight,358,aa-1886-bos-mia,0,aa-1886-bos-mia
flight,359,co-62-iah-ewr,0,co-62-iah-ewr
flight,362,aa-446-dfw-phl,0,aa-446-dfw-phl
flight,370,ua-854-sfo-iah,0,ua-854-sfo-iah
flight,379,aa-4330-cvg-ord,0,aa-4330-cvg-ord
flight,383,aa-3-jfk-lax,0,aa-3-jfk-lax
flight,389,aa-1007-mia-phx,0,aa-1007-mia-phx
flight,393,aa-1221-mco-ord,0,aa-1221-mco-ord
flight,404,aa-1165-jfk-mia,0,aa-1165-jfk-mia
flight,406,ua-3373-iad-phl,0,ua-3373-iad-phl
flight,407,aa-649-ord-sna,0,aa-649-ord-sna
flight,409,ua-6273-yyc-sfo,0,ua-6273-yyc-sfo
flight,412,ua-858-pvg-sfo,0,ua-858-pvg-sfo
flight,413,ua-2704-dtw-phx,0,ua-2704-dtw-phx
flight,434,co-45-ewr-mia,0,co-45-ewr-mia
flight,454,aa-616-dfw-dtw,0,aa-616-dfw-dtw
flight,462,aa-446-dfw-phl,0,aa-446-dfw-phl
flight,463,co-1023-iah-den,0,co-1023-iah-den
flight,468,aa-1664-mia-atl,0,aa-1664-mia-atl
flight,470,ua-854-sfo-iah,0,ua-854-sfo-iah
flight,478,ua-248-phx-ord,0,ua-248-phx-ord
flight,479,aa-4330-cvg-ord,0,aa-4330-cvg-ord
flight,484,ua-843-lax-ord,0,ua-843-lax-ord
flight,488,aa-1007-mia-phx,0,aa-1007-mia-phx
flight,489,ua-2906-phl-mco,0,ua-2906-phl-mco
flight,497,ua-37-ewr-mco,0,ua-37-ewr-mco
flight,502,aa-1165-jfk-mia,0,aa-1165-jfk-mia
flight,514,ua-62-iah-ewr,0,ua-62-iah-ewr
flight,532,aa-4198-ord-cle,0,aa-4198-ord-cle
flight,538,aa-3859-iah-ord,0,aa-3859-iah-ord
flight,551,ua-2726-fll-phl,0,ua-2726-fll-phl
flight,556,aa-484-dfw-mia,0,aa-484-dfw-mia
flight,560,aa-446-dfw-phl,0,aa-446-dfw-phl
