Attribute,Index,Dirty Value,Clean Value
sched_dep_time,106,08:00 ppm,08:00 pm
sched_dep_time,204,08:0 pm,08:00 pm
sched_dep_time,215,6:59 am,06:59 am
sched_dep_time,297,08:00 pm***,08:00 pm
sched_dep_time,306,06:5s9 am,06:59 am
sched_dep_time,393,08:0 pm,08:00 pm
sched_dep_time,404,6:59 am,06:59 am
sched_dep_time,491,08:00 mp,08:00 pm
sched_dep_time,592,08:00 pm***,08:00 pm
sched_dep_time,603,06:59 ma,06:59 am
sched_dep_time,683,r08:00 pm,08:00 pm
sched_dep_time,694,0:659 am,06:59 am
sched_dep_time,768,0:800 pm,08:00 pm
sched_dep_time,794,6:59 am,06:59 am
sched_dep_time,809,08:0y0 pm,08:00 pm
sched_dep_time,865,8:00 pm,08:00 pm
sched_dep_time,937,08:00 mp,08:00 pm
sched_dep_time,1032,8:00 pm,08:00 pm
sched_dep_time,1040,0:659 am,06:59 am
sched_dep_time,1124,08y:00 pm,08:00 pm
sched_dep_time,1135,06:59d am,06:59 am
sched_dep_time,1196,08:00 mp,08:00 pm
sched_dep_time,1279,08:0 pm,08:00 pm
sched_dep_time,1377,08:00 wpm,08:00 pm
sched_dep_time,1388,06:5 am,06:59 am
sched_dep_time,1543,08:00 apm,08:00 pm
sched_dep_time,1554,06c:59 am,06:59 am
sched_dep_time,1615,08g:00 pm,08:00 pm
sched_dep_time,1621,6:59 am,06:59 am
sched_dep_time,1643,08:0 0pm,08:00 pm
sched_dep_time,1702,08:00pm,08:00 pm
sched_dep_time,1709,065:9 am,06:59 am
sched_dep_time,1812,08:v00 pm,08:00 pm
sched_dep_time,1913,0800 pm,08:00 pm
sched_dep_time,1924,empty,06:59 am
sched_dep_time,2004,08:00 mp,08:00 pm
sched_dep_time,2104,08:00 plm,08:00 pm
sched_dep_time,2209,empty,08:00 pm
act_dep_time,106,0s8:23 pm,08:23 pm
act_dep_time,204,08:2 pm,08:23 pm
act_dep_time,215,n07:22 am,07:22 am
act_dep_time,297,0:823 pm,08:23 pm
act_dep_time,306,07:22 ma,07:22 am
act_dep_time,393,08:23 m,08:23 pm
act_dep_time,404,0:722 am,07:22 am
act_dep_time,491,08:2 3pm,08:23 pm
act_dep_time,592,0823 pm,08:23 pm
act_dep_time,603,0:722 am,07:22 am
act_dep_time,683,08:23 mp,08:23 pm
act_dep_time,694,c07:22 am,07:22 am
act_dep_time,768,08:32 pm,08:23 pm
act_dep_time,794,07:2b2 am,07:22 am
act_dep_time,809,08:23 mp,08:23 pm
act_dep_time,865,08j:23 pm,08:23 pm
act_dep_time,937,08:23pm,08:23 pm
act_dep_time,1032,08:23 pum,08:23 pm
act_dep_time,1124,8:23 pm,08:23 pm
act_dep_time,1196,08:2 3pm,08:23 pm
act_dep_time,1279,08:23u pm,08:23 pm
act_dep_time,1377,08v:23 pm,08:23 pm
act_dep_time,1388,07:22a m,07:22 am
act_dep_time,1543,80:23 pm,08:23 pm
act_dep_time,1615,08:2l3 pm,08:23 pm
act_dep_time,1643,80:23 pm,08:23 pm
act_dep_time,1702,08:2 pm,08:23 pm
act_dep_time,1812,8:23 pm,08:23 pm
act_dep_time,1913,0:823 pm,08:23 pm
act_dep_time,1924,07:2v2 am,07:22 am
act_dep_time,2004,08:32 pm,08:23 pm
act_dep_time,2104,08:m23 pm,08:23 pm
act_dep_time,2115,07:22 am***,07:22 am
act_dep_time,2220,07:22am,07:22 am
act_dep_time,2354,08:23 m,08:23 pm
act_dep_time,2360,07:2l2 am,07:22 am
sched_arr_time,176,t01:17 pm,01:17 pm
sched_arr_time,561,1:17 pm,01:17 pm
sched_arr_time,1186,02:45p m,02:45 pm
sched_arr_time,1674,1:17 pm,01:17 pm
sched_arr_time,1784,10:17 pm,01:17 pm
sched_arr_time,1823,empty,10:34 am
sched_arr_time,2152,0m1:17 pm,01:17 pm
sched_arr_time,2268,01:17pm,01:17 pm
act_arr_time,876,10:04 ma,10:04 am
act_arr_time,1709,10:04r am,10:04 am
act_arr_time,1823,10:04 ajm,10:04 am
act_arr_time,2015,10:04 ma,10:04 am
act_arr_time,2303,0:04 am,10:04 am
