Attribute,Index,Dirty Value,Cleaned Value,Clean Value
brewery_id,2262,177,0,177
brewery_id,10,368,119,368
brewery_id,2219,27,0,27
brewery_id,47,481,0,481
brewery_id,1583,373,396,373
brewery_id,2540,62,0,62
brewery_id,2682,1,0,1
brewery_id,2681,1,0,1
brewery_id,2680,1,0,1
brewery_id,2592,35,0,35
brewery_id,2291,171,0,171
brewery_id,1818,171,0,171
brewery_id,1738,171,0,171
brewery_id,1563,171,0,171
brewery_id,1520,171,0,171
brewery_id,1350,171,0,171
brewery_id,1327,171,0,171
brewery_id,1326,171,0,171
brewery_id,1221,171,0,171
brewery_id,811,171,0,171
brewery_id,572,171,0,171
brewery_id,523,171,0,171
brewery_id,367,171,0,171
brewery_id,2509,69,0,69
brewery_id,979,374,0,374
brewery_id,1620,360,119,360
brewery_id,2058,235,0,235
brewery_id,1132,235,0,235
brewery_id,1876,286,119,286
brewery_id,1644,318,119,318
brewery_id,1778,292,119,292
brewery_id,910,292,119,292
brewery_id,182,292,0,292
brewery_id,2420,103,0,103
brewery_id,1157,463,0,463
brewery_id,1422,220,0,220
brewery_id,2585,40,119,40
brewery_id,643,519,396,519
brewery_id,1413,407,0,407
brewery_id,1898,112,0,112
brewery_id,1849,294,0,294
brewery_id,2449,95,12,95
brewery_id,1303,380,0,380
brewery_id,1025,380,119,380
brewery_id,937,380,0,380
brewery_id,1408,414,382,414
brewery_id,89,364,0,364
brewery_id,88,364,0,364
brewery_id,1548,107,0,107
brewery_id,1360,107,119,107
brewery_id,1184,107,119,107
brewery_id,931,107,0,107
brewery_id,798,107,0,107
brewery_id,1289,219,119,219
brewery_id,1802,308,0,308
brewery_id,1801,308,0,308
brewery_id,1800,308,0,308
brewery_id,1799,308,0,308
brewery_id,2619,19,396,19
brewery_id,2636,10,0,10
brewery_id,2548,10,0,10
brewery_id,2542,10,0,10
brewery_id,2541,10,0,10
brewery_id,2504,10,0,10
brewery_id,2500,10,0,10
brewery_id,2499,10,0,10
brewery_id,2498,10,0,10
brewery_id,2481,10,0,10
brewery_id,2476,10,0,10
brewery_id,2467,10,0,10
brewery_id,2466,10,0,10
brewery_id,2465,10,0,10
brewery_id,2433,10,0,10
brewery_id,2418,10,0,10
brewery_id,2416,10,0,10
brewery_id,2382,10,0,10
brewery_id,2381,10,0,10
brewery_id,2290,10,0,10
brewery_id,2241,10,0,10
brewery_id,2240,10,0,10
brewery_id,2137,10,0,10
brewery_id,2101,10,0,10
brewery_id,2092,10,0,10
brewery_id,2091,10,0,10
brewery_id,2086,10,0,10
brewery_id,2023,10,0,10
brewery_id,2006,10,0,10
brewery_id,1997,10,0,10
brewery_id,1977,10,0,10
brewery_id,1976,10,0,10
brewery_id,1974,10,0,10
brewery_id,1973,10,0,10
brewery_id,1959,10,0,10
brewery_id,1958,10,0,10
brewery_id,1949,10,0,10
brewery_id,1947,10,0,10
brewery_id,1785,10,0,10
brewery_id,1651,10,0,10
brewery_id,1443,10,0,10
brewery_id,1352,10,0,10
brewery_id,1267,10,0,10
brewery_id,860,10,0,10
brewery_id,677,10,0,10
brewery_id,671,10,0,10
brewery_id,670,10,0,10
brewery_id,669,10,0,10
brewery_id,627,10,0,10
brewery_id,387,10,0,10
brewery_id,385,10,0,10
brewery_id,384,10,0,10
brewery_id,921,493,0,493
brewery_id,2160,24,119,24
brewery_id,169,182,0,182
brewery_id,794,155,0,155
brewery_id,2066,230,0,230
brewery_id,2226,192,119,192
brewery_id,1910,192,0,192
brewery_id,2094,222,0,222
brewery_id,1465,404,0,404
brewery_id,1464,404,0,404
brewery_id,638,331,119,331
brewery_id,1882,285,0,285
brewery_id,1881,285,119,285
brewery_id,2210,29,0,29
brewery_id,1839,122,0,122
brewery_id,2380,121,0,121
brewery_id,1342,425,0,425
brewery_id,2011,141,0,141
brewery_id,1726,141,0,141
brewery_id,56,145,0,145
brewery_id,893,418,396,418
brewery_id,2029,247,0,247
brewery_id,1804,212,0,212
brewery_id,1301,212,0,212
brewery_id,542,212,119,212
brewery_id,1263,227,0,227
brewery_id,1224,451,0,451
brewery_id,1735,333,0,333
brewery_id,1203,127,0,127
brewery_id,1110,369,0,369
brewery_id,911,369,0,369
brewery_id,680,369,0,369
brewery_id,2604,26,0,26
brewery_id,2432,26,0,26
brewery_id,2089,224,0,224
brewery_id,1731,201,0,201
brewery_id,1899,279,0,279
brewery_id,981,279,0,279
brewery_id,1803,206,0,206
brewery_id,552,206,0,206
brewery_id,2659,4,0,4
brewery_id,1873,287,0,287
brewery_id,2611,22,0,22
brewery_id,1635,160,0,160
brewery_id,2045,240,0,240
brewery_id,1777,240,0,240
brewery_id,1641,240,0,240
brewery_id,1399,240,0,240
brewery_id,1296,240,0,240
brewery_id,1034,240,0,240
brewery_id,991,240,0,240
brewery_id,749,240,0,240
brewery_id,549,240,0,240
brewery_id,548,240,0,240
brewery_id,311,478,0,478
brewery_id,2202,88,119,88
brewery_id,1990,165,0,165
brewery_id,1702,165,0,165
brewery_id,1700,165,0,165
brewery_id,2642,6,0,6
brewery_id,539,365,0,365
brewery_id,2461,86,0,86
brewery_id,984,379,0,379
brewery_id,2142,124,0,124
brewery_id,2141,124,0,124
brewery_id,2140,124,0,124
brewery_id,2139,124,0,124
brewery_id,1753,327,0,327
brewery_id,2059,234,0,234
brewery_id,1340,234,0,234
brewery_id,769,234,0,234
brewery_id,2179,204,119,204
brewery_id,1895,280,0,280
brewery_id,1894,280,0,280
brewery_id,989,479,0,479
brewery_id,904,423,119,423
brewery_id,1605,198,0,198
brewery_id,1354,198,0,198
brewery_id,498,198,0,198
brewery_id,501,395,0,395
brewery_id,1903,277,0,277
brewery_id,729,277,0,277
brewery_id,558,527,0,527
brewery_id,688,92,0,92
brewery_id,2595,32,0,32
brewery_id,1523,32,119,32
brewery_id,1254,32,0,32
brewery_id,465,125,0,125
brewery_id,759,510,0,510
brewery_id,87,510,0,510
brewery_id,2492,59,119,59
brewery_id,1571,377,456,377
brewery_id,1815,91,0,91
brewery_id,1356,356,0,356
brewery_id,1671,346,0,346
brewery_id,2178,203,0,203
brewery_id,1508,393,0,393
brewery_id,1325,393,119,393
brewery_id,2668,3,0,3
brewery_id,2667,3,119,3
brewery_id,2666,3,0,3
brewery_id,2664,3,0,3
brewery_id,2535,65,0,65
brewery_id,1272,284,0,284
brewery_id,1080,284,0,284
brewery_id,2280,134,0,134
brewery_id,2278,134,0,134
brewery_id,2276,134,0,134
brewery_id,2441,98,0,98
brewery_id,1459,98,0,98
brewery_id,2159,209,0,209
brewery_id,2154,209,0,209
brewery_id,1495,209,0,209
brewery_id,1493,209,0,209
brewery_id,1492,209,0,209
brewery_id,1907,276,0,276
brewery_id,1051,326,0,326
brewery_id,768,507,119,507
brewery_id,625,507,0,507
brewery_id,326,507,0,507
brewery_id,132,507,0,507
brewery_id,699,366,0,366
brewery_id,1536,387,0,387
brewery_id,747,387,0,387
brewery_id,1737,82,0,82
brewery_id,578,82,0,82
brewery_id,1114,174,0,174
brewery_id,484,174,0,174
brewery_id,1306,431,0,431
brewery_id,2692,0,119,0
brewery_id,1917,271,0,271
brewery_id,128,442,0,442
brewery_id,1669,150,0,150
brewery_id,2334,148,0,148
brewery_id,1431,148,0,148
brewery_id,1058,471,0,471
brewery_id,805,503,166,503
