Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_language,3,eng,0,eng
article_language,6,eng,0,eng
article_language,9,english,empty,english
article_language,10,empty,english,empty
article_language,11,empty,0,empty
article_language,12,english,0,english
article_language,13,eng,0,eng
article_language,15,eng,empty,eng
article_language,17,eng,0,eng
article_language,19,eng,empty,eng
article_language,21,eng,0,eng
article_language,22,english,empty,english
article_language,23,eng,0,eng
article_language,25,empty,english,empty
article_language,26,eng,0,eng
article_language,28,english,0,english
article_language,29,eng,0,eng
article_language,30,english,0,english
article_language,35,eng,0,eng
article_language,36,empty,eng,empty
article_language,37,english,0,english
article_language,42,eng,0,eng
article_language,43,empty,english,empty
article_language,44,eng,0,eng
article_language,48,eng,0,eng
article_language,49,eng,0,eng
article_language,50,empty,english,empty
article_language,51,english,0,english
article_language,54,eng,0,eng
article_language,55,empty,eng,empty
article_language,58,eng,english,eng
article_language,60,eng,0,eng
article_language,61,eng,0,eng
article_language,63,english,empty,english
article_language,66,eng,0,eng
article_language,67,empty,eng,empty
article_language,68,empty,0,empty
article_language,72,eng,0,eng
article_language,75,eng,0,eng
article_language,76,eng,pol,eng
article_language,77,empty,english,empty
article_language,78,empty,0,empty
article_language,80,empty,eng,empty
article_language,81,eng,0,eng
article_language,86,empty,eng,empty
article_language,88,eng,empty,eng
article_language,89,eng,0,eng
article_language,90,empty,0,empty
article_language,91,eng,0,eng
article_language,93,eng,0,eng
article_language,94,english,0,english
article_language,95,eng,0,eng
article_language,96,eng,0,eng
article_language,97,empty,eng,empty
article_language,98,empty,0,empty
article_language,102,english,empty,english
article_language,103,english,german,english
article_language,105,eng,0,eng
article_language,107,empty,english,empty
article_language,108,eng,english,eng
article_language,110,eng,0,eng
article_language,111,eng,0,eng
article_language,112,english,pol,english
article_language,113,eng,empty,eng
article_language,118,empty,english,empty
article_language,123,eng,0,eng
article_language,124,eng,0,eng
article_language,125,eng,0,eng
article_language,127,empty,english,empty
article_language,128,empty,eng,empty
article_language,131,empty,0,empty
article_language,135,empty,eng,empty
article_language,137,eng,0,eng
article_language,138,empty,0,empty
article_language,139,empty,0,empty
article_language,140,eng,empty,eng
article_language,141,eng,empty,eng
article_language,144,eng,0,eng
