Attribute,Index,Dirty Value,Clean Value
journal_title,52,annals of the rosyal college of surgeons of england,annals of the royal college of surgeons of england
journal_title,73,journal of the neurologcal sciences,journal of the neurological sciences
journal_title,213,umgeskr laeger,ugeskr laeger
journal_title,256,cardiolgy in the young,cardiology in the young
journal_title,296,tuumour biology : the journal of the international society for oncodevelopmental biology and medicine,tumour biology : the journal of the international society for oncodevelopmental biology and medicine
journal_title,339,rthe hematology journal : the official journal of the european haematology association / eha,the hematology journal : the official journal of the european haematology association / eha
journal_title,487,physiothkerapy,physiotherapy
journal_title,493,knee surgery sports traumatology arthroscopy : offcial journal of the esska,knee surgery sports traumatology arthroscopy : official journal of the esska
journal_title,546,rheumatology (ofxord),rheumatology (oxford)
journal_title,551,journal of stroke and cerebrovascular diseases : the official journal of antional stroke association,journal of stroke and cerebrovascular diseases : the official journal of national stroke association
journal_title,664,pmlos one,plos one
journal_title,705,biomed research inernational,biomed research international
journal_title,770,plos yone,plos one
journal_title,808,cardiology in the oung,cardiology in the young
journal_title,849,ann rheum ds,ann rheum dis
journal_title,855,respiratbion; international review of thoracic diseases,respiration; international review of thoracic diseases
journal_title,888,catheterization and cardiovascular interventions : official journal of the society for cardiac angiography & intervenztions,catheterization and cardiovascular interventions : official journal of the society for cardiac angiography & interventions
journal_title,889,pls one,plos one
journal_title,892,j hand srg am,j hand surg am
journal_title,915,psycho-oncoloigy,psycho-oncology
journal_title,959,annals of internla medicine,annals of internal medicine
journal_title,980,endocrinoloy,endocrinology
journal_issn,49,j1555-2101,1555-2101
journal_issn,56,empty,0098-1354
journal_issn,109,0035-9157 (print) 0035-9157,1471-4892
journal_issn,110,0035-9157 (print) 0035-9157,1469-493x
journal_issn,111,0035-9157 (print) 0035-9157,1432-0851
journal_issn,231,8767555,87567555
journal_issn,397,1827-618,1827-1618
journal_issn,487,18k73-1465,1873-1465
journal_issn,493,4133-7347,1433-7347
journal_issn,520,376-2491,0376-2491
journal_issn,586,153-821x,1532-821x
journal_issn,596,0949-2658 (print) 0949-658,0949-2658 (print) 0949-2658
journal_issn,612,empty,1075-5535
journal_issn,629,1753-4w666,1753-4666
journal_issn,643,152-51446,1525-1446
journal_issn,649,empty,1547-1896
journal_issn,657,1406-2385,1460-2385
journal_issn,664,empty,1932-6203
journal_issn,684,empty,0019-9567
journal_issn,770,19326203,1932-6203
journal_issn,798,0363-50i23,0363-5023
journal_issn,808,1467-o1107,1467-1107
journal_issn,855,empty,1423-0356
journal_issn,858,22a-sep,22-sep
journal_issn,888,empty,1522-726x
journal_issn,889,9132-6203,1932-6203
journal_issn,954,147-5497,1476-5497
journal_issn,992,empty,1535-4970
