Attribute,Index,Dirty Value,Clean Value
gender,1060,empty,m
gender,2108,cf,f
gender,2574,empty,f
gender,3659,rm,m
gender,4208,empty,m
gender,5084,empty,f
gender,6805,empty,f
gender,6825,nm,m
gender,7966,empty,m
gender,8972,empty,m
gender,9184,***,f
gender,9425,***,f
gender,9593,dm,m
gender,9902,empty,m
gender,10234,empty,m
gender,10499,xf,f
gender,10989,gf,f
gender,11207,empty,f
gender,11755,empty,f
gender,11794,ef,f
gender,11876,empty,m
gender,12349,empty,m
gender,13321,empty,f
gender,13542,empty,f
gender,13566,cf,f
gender,13723,empty,m
gender,15232,***,m
gender,15812,empty,f
gender,16241,***,f
gender,16747,empty,m
gender,17005,ff,f
gender,17496,empty,m
city,5963,wetport,westport
city,7744,empty,winchendon springs
city,9820,uguaynabo,guaynabo
city,10776,deerfoield,deerfield
city,12814,empty,devens
city,13121,droado,dorado
city,15528,royalsotn,royalston
singleexemp,3315,***,0
singleexemp,3354,empty,3575
singleexemp,3391,empty,0
singleexemp,5327,empty,0
singleexemp,5690,***,0
singleexemp,6455,e0,0
singleexemp,7085,empty,0
singleexemp,7966,***,0
singleexemp,8130,empty,0
singleexemp,10066,b3575,3575
singleexemp,11866,***,0
singleexemp,11876,3i575,3575
singleexemp,13472,empty,0
singleexemp,15017,empty,3575
singleexemp,16606,empty,0
singleexemp,17352,empty,0
singleexemp,17664,empty,0
singleexemp,17818,empty,0
singleexemp,17951,***,0
singleexemp,18772,***,0
marriedexemp,502,7105,7150
marriedexemp,835,y7150,7150
marriedexemp,1070,empty,0
marriedexemp,4435,empty,0
marriedexemp,4982,***,0
marriedexemp,5690,***,0
marriedexemp,5738,empty,0
marriedexemp,6390,710,7150
marriedexemp,6923,empty,0
marriedexemp,7503,***,0
marriedexemp,7744,empty,7150
marriedexemp,7966,empty,0
marriedexemp,8404,***,0
marriedexemp,8477,empty,0
marriedexemp,8565,empty,0
marriedexemp,8866,empty,0
marriedexemp,9902,empty,0
marriedexemp,10318,empty,0
marriedexemp,11199,h0,0
marriedexemp,11817,***,0
marriedexemp,12900,empty,0
marriedexemp,12989,v0,0
marriedexemp,13191,***,0
marriedexemp,13321,empty,0
marriedexemp,14265,empty,0
marriedexemp,14862,d0,0
marriedexemp,14891,empty,0
marriedexemp,15593,***,0
marriedexemp,15919,i0,0
marriedexemp,16144,k0,0
marriedexemp,16241,empty,0
marriedexemp,16556,empty,0
marriedexemp,16606,q0,0
marriedexemp,17049,q0,0
marriedexemp,17272,empty,0
marriedexemp,17352,x0,0
marriedexemp,17818,d0,0
marriedexemp,17951,empty,0
marriedexemp,18606,empty,0
marriedexemp,18772,empty,0
marriedexemp,19952,***,0
childexemp,1071,empty,0
childexemp,4790,empty,0
childexemp,5690,y0,0
childexemp,7949,b0,0
childexemp,9531,w0,0
childexemp,12063,0,1000
childexemp,13332,p0,0
childexemp,15485,k0,0
childexemp,16606,***,0
childexemp,16777,empty,0
childexemp,17352,empty,0
childexemp,17951,r0,0
childexemp,18717,empty,0
childexemp,18847,empty,1000
childexemp,19256,empty,0
childexemp,19864,1000***,1000
