Attribute,Index,Dirty Value,Cleaned Value,Clean Value
fname,3755,bethina,0,bethina
fname,4869,benn,0,benn
fname,5840,sanping,0,sanping
areacode,1175,339,0,339
areacode,1358,857,0,857
areacode,2057,339,0,339
areacode,3021,781,0,781
areacode,3616,939,0,939
areacode,5084,939,0,939
areacode,5164,939,0,939
areacode,6399,401,0,401
areacode,7663,617,0,617
areacode,7744,781,0,781
areacode,8405,939,0,939
areacode,9480,939,0,939
areacode,10247,857,0,857
areacode,10541,787,0,787
areacode,11055,401,0,401
areacode,11165,781,0,781
areacode,11316,939,0,939
areacode,12142,401,0,401
areacode,12220,781,0,781
areacode,14862,787,0,787
areacode,15642,351,0,351
areacode,18451,939,0,939
areacode,19337,939,0,939
areacode,19362,401,0,401
city,1895,forestdale,foerstdale,forestdale
city,2402,fort buchanan,fort buhanan,fort buchanan
city,3080,oakland,erwin,oakland
city,3084,brohard,erwin,brohard
city,3133,forestdale,forestdael,forestdale
city,3980,foster,fostre,foster
city,4692,fiskeville,fiskevile,fiskeville
city,4790,frort buchanan,fort buhanan,fort buchanan
city,5122,falmouth,falmouh,falmouth
city,6088,fortq buchanan,fort buhanan,fort buchanan
city,6289,lynn,empty,lynn
city,6461,fiskevilnle,fiskevile,fiskeville
city,6514,foter,fostre,foster
city,6672,exeter,exeeter,exeter
city,6825,framingham,fralmingham,framingham
city,7798,gexeter,exeeter,exeter
city,9145,fall river,fall rivr,fall river
city,10853,framinghasm,fralmingham,framingham
city,11259,exeer,exeeter,exeter
city,12349,forstdale,forestdael,forestdale
city,17185,fiskevilmle,fiskevile,fiskeville
city,18495,foreqstdale,forestdael,forestdale
city,19337,fajardo,fjardo,fajardo
city,19741,fiskeville***,fiskevile,fiskeville
state,3021,ar,ma,ar
state,3080,or,sd,or
state,3081,pr,sd,pr
state,3082,ct,sd,ct
state,3083,pa,sd,pa
zip,0,1907,0,1907
zip,102,2032,0,2032
zip,114,773,0,773
zip,162,676,0,676
zip,220,773,0,773
zip,296,2815,0,2815
zip,504,2284,0,2284
zip,549,780,0,780
zip,583,2801,0,2801
zip,684,2760,0,2760
zip,875,777,0,777
zip,881,2041,0,2041
zip,918,2648,0,2648
zip,1070,2852,0,2852
zip,1184,2840,0,2840
zip,1235,2812,0,2812
zip,1392,2808,0,2808
zip,1695,2842,0,2842
zip,1723,773,0,773
zip,1748,2840,0,2840
zip,1893,2801,0,2801
zip,1996,2801,0,2801
zip,2137,2801,0,2801
zip,2384,2841,0,2841
zip,2431,2839,0,2839
zip,2791,664,0,664
zip,2808,2801,0,2801
zip,2899,2858,0,2858
zip,2931,2828,0,2828
zip,3006,908,0,908
zip,3080,1907,0,1907
zip,3081,1907,0,1907
zip,3082,1907,0,1907
zip,3083,1907,0,1907
zip,3084,1907,0,1907
zip,3085,1907,0,1907
zip,3086,1907,0,1907
zip,3133,2824,0,2824
zip,3241,2067,0,2067
zip,3354,2632,0,2632
zip,3514,939,0,939
zip,3561,2032,0,2032
zip,3755,740,0,740
zip,3771,2722,0,2722
zip,3820,2109,0,2109
zip,3857,936,0,936
zip,3980,2825,0,2825
zip,4410,976,0,976
zip,4411,1907,0,1907
zip,4516,2872,0,2872
zip,4581,2825,0,2825
zip,4664,2554,0,2554
zip,4692,2823,0,2823
zip,4790,934,0,934
zip,4865,2815,0,2815
zip,4924,2841,0,2841
zip,5084,624,0,624
zip,5322,1907,0,1907
zip,5323,1907,0,1907
zip,5324,1907,0,1907
zip,5325,1907,0,1907
zip,5326,1907,0,1907
zip,5327,1907,0,1907
zip,5328,1907,0,1907
zip,5356,2829,0,2829
zip,5392,984,0,984
zip,5568,979,0,979
zip,5690,976,0,976
zip,5709,1452,0,1452
zip,5717,669,0,669
zip,5773,2801,0,2801
zip,5821,1354,0,1354
zip,5840,2835,0,2835
zip,5864,2842,0,2842
zip,6399,2830,0,2830
zip,6461,2823,0,2823
zip,6672,2822,0,2822
zip,6807,2871,0,2871
zip,6825,1705,0,1705
zip,6893,2828,0,2828
zip,7134,631,0,631
zip,7240,1834,0,1834
zip,7439,707,0,707
zip,7798,2822,0,2822
zip,7809,2661,0,2661
zip,7922,2829,0,2829
zip,8098,2839,0,2839
zip,8107,772,0,772
zip,8129,2207,0,2207
zip,8209,728,0,728
zip,8265,660,0,660
zip,8369,2718,0,2718
zip,8403,725,0,725
zip,8575,2860,0,2860
zip,8875,2120,0,2120
zip,8983,2806,0,2806
zip,9209,2859,0,2859
zip,9480,717,0,717
zip,9593,775,0,775
zip,10169,2854,0,2854
zip,10260,2830,0,2830
zip,10404,670,0,670
zip,10440,928,0,928
zip,10730,692,0,692
zip,11055,2852,0,2852
zip,11645,987,0,987
zip,11728,957,0,957
zip,11793,664,0,664
zip,11994,2630,0,2630
zip,12033,970,0,970
zip,12094,2812,0,2812
