Attribute,Index,Clean Value,Cleaned Value
fname,1175,moss,0
fname,10410,terje,0
gender,1070,m,empty
gender,2108,f,xf
gender,2574,f,empty
gender,5650,m,empty
gender,5690,m,empty
gender,6331,f,empty
gender,6423,m,cm
gender,7275,m,empty
gender,7949,f,empty
gender,8107,f,empty
gender,9184,f,empty
gender,9425,f,***
gender,9830,f,***
gender,10169,f,gf
gender,10247,f,empty
gender,10499,f,df
gender,10989,f,***
gender,11199,f,cf
gender,11324,f,empty
gender,11440,f,empty
gender,11755,f,empty
gender,11794,f,***
gender,13566,f,empty
gender,15800,f,hf
gender,16081,f,af
gender,16239,f,***
gender,16241,f,***
gender,16606,f,***
gender,16956,f,empty
gender,17005,f,empty
gender,17472,m,empty
gender,18218,m,empty
gender,18252,f,lf
gender,18584,m,empty
gender,18901,m,empty
gender,19592,m,um
gender,19740,f,empty
gender,19764,m,empty
areacode,430,939,0
areacode,2390,339,0
areacode,2932,401,0
areacode,3021,781,0
areacode,3759,787,0
areacode,3771,978,0
areacode,3935,774,0
areacode,4502,413,0
areacode,5717,939,0
areacode,6145,774,0
areacode,6390,351,0
areacode,8369,781,0
areacode,8447,401,0
areacode,10730,787,0
areacode,11709,781,0
areacode,13332,787,0
areacode,13813,774,0
areacode,15136,978,0
areacode,15627,401,0
areacode,16081,857,0
areacode,16584,401,0
areacode,18430,401,0
areacode,19048,787,0
areacode,19235,857,0
city,279,cumberland,cumberalnd
city,373,holyoke,empty
city,549,coto laurel,coto laruel
city,672,boston,empty
city,1626,cherry valley,empty
city,1782,coto laurel,coto laruel
city,2725,devens,deevns
city,3081,hatillo,boylston
city,3084,brohard,empty
city,3085,richland,empty
city,3086,erwin,empty
city,3361,ayer,empty
city,3608,coventry,ocventry
city,5324,des moines,empty
city,5327,creston,empty
city,5328,san juan,empty
city,5544,cumberland,cumberalnd
city,7825,north dartmouth,empty
city,7851,cumberland,cumberalnd
city,7932,swansea,empty
city,8447,coventry,ocventry
city,8639,dorado,doraod
city,9038,dorado,dordo
city,9589,arroyo,empty
city,10247,cotuit,cotuti
city,10776,deerfield,deerfeld
city,11207,millville,empty
city,12496,boston,empty
city,12814,devens,deevns
city,12841,coto laurel,coto laruel
city,13063,drury,empty
city,13121,dorado,doraod
city,13955,rincon,incon
city,14944,aguadilla,aguadilal
city,15511,corozal,coozal
city,17005,millville,empty
city,17348,culebra,culembra
city,17360,cotuit,cotuti
city,18677,coventry,ocventry
city,18771,coventry,ocventry
city,19088,cumberland,cumebrland
city,19644,camuy,empty
city,19714,corozal,coozal
city,19740,cumberland,cumberalnd
city,19843,cumberland,cumberalnd
state,0,ma,tx
state,3021,ar,ma
state,3080,or,tx
state,3081,pr,tx
state,3084,wv,tx
state,3085,or,tx
state,3086,sd,tx
state,5322,mt,tx
state,5324,ia,tx
state,5327,nc,tx
zip,0,1907,0
zip,114,773,0
zip,162,676,0
zip,220,773,0
zip,279,2864,0
zip,549,780,0
zip,625,601,0
zip,817,603,0
zip,875,777,0
zip,941,730,0
zip,1045,731,0
zip,1070,2852,0
zip,1153,2804,0
zip,1184,2840,0
zip,1287,2871,0
zip,1303,677,0
zip,1307,737,0
zip,1353,769,0
zip,1427,1985,0
zip,1588,715,0
zip,1723,773,0
zip,1748,2840,0
zip,1845,2871,0
zip,1878,2804,0
zip,1945,955,0
zip,1971,678,0
zip,2090,773,0
zip,2201,617,0
zip,2354,791,0
zip,2384,2841,0
zip,2431,2839,0
zip,2652,624,0
zip,2674,682,0
zip,2791,664,0
zip,2808,2801,0
zip,2837,613,0
zip,2863,703,0
zip,2899,2858,0
zip,2908,617,0
zip,2931,2828,0
zip,2932,2852,0
zip,2960,617,0
zip,3080,1907,0
zip,3081,1907,0
zip,3082,1907,0
zip,3083,1907,0
zip,3084,1907,0
zip,3085,1907,0
zip,3086,1907,0
zip,3354,2632,0
zip,3399,647,0
zip,3499,773,0
zip,3514,939,0
zip,3755,740,0
zip,3759,647,0
zip,3873,692,0
zip,3905,745,0
zip,3931,704,0
zip,4152,734,0
zip,4411,1907,0
zip,4435,734,0
zip,4516,2872,0
zip,4656,2808,0
zip,4783,717,0
zip,4790,934,0
zip,4857,723,0
zip,4869,726,0
zip,4982,906,0
zip,5084,624,0
zip,5224,728,0
zip,5281,1342,0
zip,5322,1907,0
zip,5323,1907,0
zip,5324,1907,0
zip,5325,1907,0
zip,5326,1907,0
zip,5327,1907,0
zip,5328,1907,0
zip,5494,670,0
zip,5544,2864,0
zip,5569,676,0
zip,5571,735,0
zip,5650,682,0
zip,5717,669,0
zip,5794,638,0
zip,5864,2842,0
zip,5874,725,0
zip,5929,720,0
zip,5944,682,0
zip,6145,2130,0
zip,6399,2830,0
zip,6461,2823,0
zip,6552,772,0
zip,6701,726,0
zip,6923,723,0
zip,7134,631,0
zip,7439,707,0
zip,7567,2813,0
zip,7640,733,0
zip,7686,715,0
zip,7690,734,0
zip,7750,653,0
zip,7798,2822,0
zip,7820,680,0
zip,7824,715,0
zip,8209,728,0
zip,8265,660,0
zip,8316,636,0
zip,8425,605,0
zip,8445,785,0
zip,8447,2816,0
zip,8575,2860,0
zip,8586,728,0
zip,8639,646,0
zip,8979,740,0
zip,9013,2863,0
zip,9038,646,0
zip,9192,682,0
zip,9209,2859,0
zip,9593,775,0
zip,9764,2801,0
zip,10169,2854,0
zip,10440,928,0
zip,10499,637,0
zip,10537,2859,0
zip,10622,707,0
zip,10664,725,0
zip,10730,692,0
zip,10776,1342,0
zip,11316,719,0
zip,11728,957,0
zip,11766,605,0
zip,11793,664,0
zip,11805,1705,0
zip,11839,772,0
zip,11972,731,0
zip,12201,614,0
zip,12239,795,0
