Attribute,Index,Clean Value,Dirty Value
gender,504,f,of
gender,1482,f,empty
gender,1782,f,lf
gender,1809,f,uf
gender,2201,f,empty
gender,2587,m,empty
gender,2652,m,***
gender,2791,m,empty
gender,2857,m,empty
gender,2863,m,empty
gender,3021,f,***
gender,3354,f,empty
gender,3577,m,empty
gender,4442,f,***
gender,4865,m,empty
gender,5327,f,ff
gender,5571,f,xf
gender,5709,f,***
gender,5821,f,***
gender,5929,f,***
gender,6647,f,empty
gender,6822,f,empty
gender,6959,f,lf
gender,7308,f,***
gender,7522,f,empty
gender,7528,f,***
gender,7944,f,***
gender,8129,f,***
gender,8252,f,empty
gender,8368,f,if
gender,8477,f,empty
gender,8866,m,empty
gender,9065,m,empty
gender,10100,f,empty
gender,10329,f,empty
gender,10374,m,empty
gender,10386,f,jf
gender,10410,m,empty
gender,10505,m,***
gender,10530,m,***
gender,10575,m,empty
gender,10687,f,df
gender,10746,f,***
gender,10844,m,empty
gender,11055,m,empty
gender,11561,f,cf
gender,11732,m,fm
gender,11781,f,rf
gender,12308,m,empty
gender,12525,f,lf
gender,12609,m,wm
gender,12714,f,jf
gender,12814,f,***
gender,13127,m,empty
gender,13270,m,***
gender,14288,m,zm
gender,14290,m,empty
gender,14890,m,empty
gender,16922,f,qf
gender,17049,m,empty
gender,17148,m,empty
gender,17647,m,empty
gender,17758,f,***
gender,17795,m,***
gender,19088,f,empty
gender,19712,f,empty
gender,19733,f,***
city,162,moca,empty
city,941,ponce,pnoce
city,1153,ashaway,empty
city,1175,berkshire,berkshitre
city,1184,newport,empty
city,1191,monroe bridge,monroe ridge
city,1878,ashaway,asahway
city,1893,adamsville,adamsviglle
city,1925,leicester,empty
city,1996,adamsville,damsville
city,2137,adamsville,adamsvile
city,2808,adamsville,zadamsville
city,2908,barceloneta,barcelohneta
city,2960,barceloneta,bacreloneta
city,3354,centerville,centexrville
city,4254,carolina,empty
city,5175,bristol,brisol
city,5680,cambridge,empty
city,5738,san juan,empty
city,5773,adamsville,dadamsville
city,7275,bayamon,bayamn
city,7908,bayamon,byamon
city,8252,aguada,agada
city,8403,caguas,empty
city,8404,san juan,empty
city,8447,coventry,empty
city,8865,agawam,agwam
city,9191,adamsville,adamsivlle
city,9225,barranquitas,barranquiktas
city,9425,arecibo,arecibbo
city,9686,assonet,empty
city,9764,adamsville,adamville
city,10066,agawam,agawm
city,10356,barceloneta,barcelonezta
city,10386,palmer,palmetr
city,11440,san juan,empty
city,11766,aguadilla,aguadiltla
city,11817,bayamon,bayamno
city,12064,arecibo,raecibo
city,12764,aguadilla,agutadilla
city,13222,barnstable,branstable
city,13604,aguadilla,aguadlla
city,14231,milton,milpton
city,14401,adjuntas,adjutas
city,14616,naguabo,naguaob
city,14871,barrington,bparrington
city,14891,san juan,san jucan
city,14944,aguadilla,guadilla
city,14962,aguadilla,aguadila
city,15055,arecibo,aercibo
city,15092,north attleboro,empty
city,16144,san juan,empty
city,16210,adjuntas,adjuntars
city,16498,north hatfield,north htafield
city,17147,albion,albino
city,17212,arecibo,arecbo
city,17637,newport,ewport
city,17647,kenyon,empty
city,17666,aguas buenas,aguas vbuenas
city,18127,angeles,anfgeles
city,18190,san juan,san juvan
city,18218,aguadilla,aguadilla***
city,18603,adjuntas,empty
city,18901,adamsville,adamsfville
city,19058,aguadilla,agadilla
city,19128,attleboro falls,attleboro flls
city,19668,punta santiago,empty
city,19764,aguirre,augirre
city,19933,andover,empty
city,19952,bayamon,byamon
state,0,ma,empty
state,243,pr,empty
state,430,pr,zpr
state,583,ri,empty
state,1153,ri,empty
state,1776,ma,empty
state,2354,pr,empty
state,2908,pr,hpr
state,3082,ct,t
state,3531,ma,empty
state,4502,ma,mma
state,4839,ma,empty
state,5496,pr,empty
state,5680,ma,empty
state,5874,pr,pjr
state,7825,ma,jma
state,8367,ma,am
state,8487,ma,am
state,9009,ma,empty
state,10319,ma,empty
state,11244,ma,empty
state,11351,ma,am
state,11561,ma,a
state,11766,pr,rp
state,13327,ma,empty
state,13604,pr,xpr
state,14422,pr,spr
state,15649,ma,empty
state,18218,pr,rp
state,18368,ma,am
state,18901,ri,ir
state,19262,pr,rp
state,19986,pr,empty
singleexemp,90,3575,357v5
singleexemp,616,0,empty
singleexemp,1862,0,***
singleexemp,1878,0,***
singleexemp,2332,3575,575
singleexemp,3034,0,empty
singleexemp,3086,0,empty
singleexemp,3107,0,f0
singleexemp,3219,0,empty
singleexemp,3659,0,empty
singleexemp,3785,0,***
singleexemp,4254,0,empty
singleexemp,4502,0,empty
singleexemp,4567,0,***
singleexemp,4680,0,y0
singleexemp,5031,0,q0
singleexemp,5155,0,empty
singleexemp,5328,0,***
singleexemp,5544,0,m0
singleexemp,5690,0,empty
singleexemp,6051,0,empty
singleexemp,6399,0,empty
singleexemp,6701,0,***
singleexemp,6822,0,***
singleexemp,7046,0,***
singleexemp,7409,0,empty
singleexemp,7567,0,***
singleexemp,7798,0,empty
singleexemp,7851,0,empty
singleexemp,7944,0,empty
singleexemp,7966,0,b0
singleexemp,8219,0,h0
singleexemp,8368,0,***
singleexemp,8396,0,p0
singleexemp,8447,0,i0
singleexemp,9191,0,***
singleexemp,9381,0,***
singleexemp,9459,0,empty
singleexemp,10393,0,s0
singleexemp,11316,0,x0
singleexemp,11324,0,***
singleexemp,11667,0,c0
singleexemp,11732,0,empty
singleexemp,11821,0,empty
singleexemp,12094,0,empty
singleexemp,12142,0,p0
singleexemp,12179,0,empty
singleexemp,12231,0,u0
singleexemp,12358,3575,575
singleexemp,12533,0,***
singleexemp,12560,0,empty
singleexemp,13064,0,***
singleexemp,13211,0,***
singleexemp,13304,0,empty
singleexemp,13414,0,empty
singleexemp,13524,0,empty
singleexemp,13747,0,h0
singleexemp,14032,0,***
singleexemp,14137,0,empty
singleexemp,14194,0,empty
singleexemp,14290,3575,empty
singleexemp,14653,0,empty
singleexemp,14762,0,***
singleexemp,14862,0,***
singleexemp,14891,0,***
singleexemp,15176,0,y0
singleexemp,15228,0,empty
