Attribute,Index,Clean Value,Cleaned Value
gender,7522,f,empty
gender,8097,f,empty
gender,17003,m,um
areacode,162,787,0
areacode,3021,781,0
areacode,11015,978,0
areacode,14863,617,0
areacode,19714,939,0
city,1022,albion,alblion
city,2863,aguas buenas,aguasg buenas
city,3931,aguirre,augirre
city,17147,albion,alblion
city,17666,aguas buenas,aguasg buenas
city,19764,aguirre,augirre
state,3021,ar,ma
zip,0,1907,0
zip,162,676,0
zip,1266,2826,0
zip,1427,1985,0
zip,1796,2858,0
zip,2384,2841,0
zip,3080,1907,0
zip,3081,1907,0
zip,3082,1907,0
zip,3083,1907,0
zip,3084,1907,0
zip,3085,1907,0
zip,3086,1907,0
zip,3107,963,0
zip,3828,2813,0
zip,4411,1907,0
zip,4440,926,0
zip,5322,1907,0
zip,5323,1907,0
zip,5324,1907,0
zip,5325,1907,0
zip,5326,1907,0
zip,5327,1907,0
zip,5328,1907,0
zip,5738,936,0
zip,7700,723,0
zip,8866,962,0
zip,11015,2562,0
zip,13604,605,0
zip,13881,2858,0
zip,14762,2812,0
zip,19058,605,0
maritalstatus,5738,m,0
maritalstatus,7700,m,0
maritalstatus,8866,m,0
haschild,1796,n,0
haschild,3828,y,0
haschild,13604,y,0
haschild,13881,n,0
haschild,14762,y,0
singleexemp,1266,0,e0
singleexemp,2349,0,empty
singleexemp,7503,0,empty
singleexemp,7700,0,***
singleexemp,8866,0,empty
singleexemp,12496,3575,375
singleexemp,13068,0,empty
singleexemp,14114,0,empty
marriedexemp,4440,0,empty
childexemp,1796,0,empty
childexemp,13604,0,k0
childexemp,13881,0,empty
childexemp,14762,0,t0
