Attribute,Index,Dirty Value,Cleaned Value,Clean Value
areacode,162,787,0,787
areacode,3021,781,0,781
areacode,11015,978,0,978
areacode,14863,617,0,617
areacode,19714,939,0,939
city,1022,albion,alblion,albion
city,2863,aguas buenas,aguasg buenas,aguas buenas
city,3931,aguirre,augirre,aguirre
state,3021,ar,ma,ar
zip,0,1907,0,1907
zip,162,676,0,676
zip,1266,2826,0,2826
zip,1427,1985,0,1985
zip,1796,2858,0,2858
zip,2384,2841,0,2841
zip,3080,1907,0,1907
zip,3081,1907,0,1907
zip,3082,1907,0,1907
zip,3083,1907,0,1907
zip,3084,1907,0,1907
zip,3085,1907,0,1907
zip,3086,1907,0,1907
zip,3107,963,0,963
zip,3828,2813,0,2813
zip,4411,1907,0,1907
zip,4440,926,0,926
zip,5322,1907,0,1907
zip,5323,1907,0,1907
zip,5324,1907,0,1907
zip,5325,1907,0,1907
zip,5326,1907,0,1907
zip,5327,1907,0,1907
zip,5328,1907,0,1907
zip,5738,936,0,936
zip,7700,723,0,723
zip,8866,962,0,962
zip,11015,2562,0,2562
zip,13604,605,0,605
zip,13881,2858,0,2858
zip,14762,2812,0,2812
zip,19058,605,0,605
maritalstatus,5738,m,0,m
maritalstatus,7700,m,0,m
maritalstatus,8866,m,0,m
haschild,1796,n,0,n
haschild,3828,y,0,y
haschild,13604,y,0,y
haschild,13881,n,0,n
haschild,14762,y,0,y
