Attribute,Index,Dirty Value,Cleaned Value
fname,1392,corin,0
fname,3034,conrado,0
fname,5709,douadi,0
fname,8129,russel,0
fname,8714,geir,0
fname,10410,terje,0
fname,12609,iztok,0
areacode,0,508,0
areacode,243,939,0
areacode,430,939,0
areacode,583,401,0
areacode,1153,401,0
areacode,1776,774,0
areacode,2354,939,0
areacode,2908,787,0
areacode,3021,781,0
areacode,3531,617,0
areacode,4502,413,0
areacode,4839,508,0
areacode,5496,787,0
areacode,5680,351,0
areacode,5874,787,0
areacode,7825,978,0
areacode,8367,413,0
areacode,8487,978,0
areacode,9009,617,0
areacode,10319,508,0
areacode,11244,339,0
areacode,11351,413,0
areacode,11561,781,0
areacode,11766,939,0
areacode,13327,857,0
areacode,13604,939,0
areacode,14422,787,0
areacode,15649,508,0
areacode,18218,939,0
areacode,18368,413,0
areacode,18901,401,0
areacode,19262,939,0
areacode,19986,939,0
city,162,empty,moca
city,308,agawam,agawm
city,583,adamsville,adamsivlle
city,625,adjuntas,empty
city,817,aguadilla,guadilla
city,941,pnoce,ponce
city,1022,albion,albino
city,1184,empty,newport
city,1893,adamsviglle,adamsivlle
city,1996,damsville,adamville
city,2137,adamsvile,adamville
city,2201,barceloneta,barcelonezta
city,2808,zadamsville,adamville
city,2837,arecibo,arecibbo
city,2863,aguas buenas,aguas vbuenas
city,2908,barcelohneta,barcelonezta
city,2960,bacreloneta,barcelonezta
city,3354,centexrville,centerville
city,3391,bayamon,byamon
city,3931,aguirre,augirre
city,4254,empty,carolina
city,5003,barranquitas,barranquiktas
city,5738,empty,san juan
city,5773,dadamsville,adamsivlle
city,6889,aguada,agada
city,7135,bayamon,byamon
city,7275,bayamn,byamon
city,8403,empty,caguas
city,8404,empty,san juan
city,8425,aguadilla,agadilla
city,8447,empty,coventry
city,8983,barrington,bparrington
city,9191,adamsivlle,adamville
city,9425,arecibbo,raecibo
city,10640,kenyon,empty
city,11244,attleboro falls,attleboro flls
city,11440,empty,san juan
city,11766,aguadiltla,agadilla
city,12201,arecibo,arecbo
city,12764,agutadilla,guadilla
city,13247,arecibo,aercibo
city,13604,aguadlla,agadilla
city,14401,adjutas,empty
city,14616,naguaob,naguabo
city,14891,san jucan,san juan
city,14962,aguadila,agadilla
city,15092,empty,north attleboro
city,16144,empty,san juan
city,16210,adjuntars,empty
city,16239,punta santiago,empty
city,17140,angeles,anfgeles
city,17637,ewport,newport
city,18190,san juvan,san juan
city,18218,aguadilla***,agadilla
state,0,empty,ma
state,243,empty,pr
state,430,zpr,pr
state,583,empty,ri
state,1153,empty,ri
state,1303,pr,spr
state,1776,empty,ma
state,2354,empty,pr
state,2908,hpr,pr
state,3021,ar,ma
state,3531,empty,ma
state,4502,mma,ma
state,4839,empty,ma
state,5496,empty,pr
state,5680,empty,ma
state,5874,pjr,pr
state,7825,jma,ma
state,8367,am,ma
state,8487,am,ma
state,9009,empty,ma
state,10319,empty,ma
state,11244,empty,ma
state,11351,am,ma
state,11561,a,ma
state,11766,rp,pr
state,13327,empty,ma
state,13604,xpr,pr
state,14422,spr,pr
state,15649,empty,ma
state,18218,rp,pr
state,18368,am,ma
state,18901,ir,ri
state,19262,rp,pr
state,19986,empty,pr
zip,0,1907,0
zip,102,2032,0
zip,162,676,0
zip,206,2861,0
zip,279,2864,0
zip,432,2830,0
zip,583,2801,0
zip,625,601,0
zip,684,2760,0
zip,817,603,0
zip,875,777,0
zip,881,2041,0
zip,918,2648,0
zip,941,730,0
zip,946,1653,0
zip,977,1910,0
zip,1153,2804,0
zip,1184,2840,0
zip,1266,2826,0
zip,1353,769,0
zip,1427,1985,0
zip,1431,2862,0
zip,1756,690,0
zip,1796,2858,0
zip,1809,2832,0
zip,1862,2858,0
zip,1878,2804,0
zip,1893,2801,0
zip,1996,2801,0
zip,2137,2801,0
zip,2201,617,0
zip,2354,791,0
zip,2401,1451,0
zip,2574,1772,0
zip,2808,2801,0
zip,2837,613,0
zip,2908,617,0
zip,2948,2839,0
zip,3006,908,0
zip,3033,2828,0
zip,3072,2842,0
zip,3080,1907,0
zip,3081,1907,0
zip,3082,1907,0
zip,3083,1907,0
zip,3084,1907,0
zip,3085,1907,0
zip,3086,1907,0
zip,3098,2871,0
zip,3107,963,0
zip,3143,1608,0
zip,3241,2067,0
zip,3286,2859,0
zip,3399,647,0
zip,3531,1746,0
zip,3608,2816,0
zip,3659,2859,0
zip,3771,2722,0
zip,3820,2109,0
zip,3828,2813,0
zip,3903,971,0
zip,4008,1133,0
zip,4121,2812,0
zip,4254,984,0
zip,4410,976,0
zip,4411,1907,0
zip,4516,2872,0
zip,4567,2828,0
zip,4656,2808,0
zip,4869,726,0
zip,4924,2841,0
zip,4982,906,0
zip,5031,2808,0
zip,5112,1867,0
zip,5281,1342,0
zip,5322,1907,0
zip,5323,1907,0
zip,5324,1907,0
zip,5325,1907,0
zip,5326,1907,0
zip,5327,1907,0
zip,5328,1907,0
zip,5544,2864,0
zip,5568,979,0
zip,5709,1452,0
zip,5738,936,0
zip,5773,2801,0
zip,5821,1354,0
zip,5824,1810,0
zip,5874,725,0
zip,5901,2835,0
zip,6051,2812,0
zip,6254,1028,0
zip,6461,2823,0
zip,6672,2822,0
zip,6825,1705,0
zip,6992,2817,0
zip,7135,959,0
zip,7240,1834,0
zip,7305,2840,0
zip,7528,951,0
zip,7567,2813,0
zip,7649,1747,0
zip,7750,653,0
zip,7798,2822,0
zip,7809,2661,0
zip,8129,2207,0
zip,8210,2837,0
zip,8219,2841,0
zip,8369,2718,0
zip,8396,653,0
zip,8403,725,0
zip,8404,955,0
zip,8425,605,0
zip,8447,2816,0
zip,8865,1001,0
zip,8875,2120,0
zip,9184,742,0
zip,9381,2832,0
zip,9838,2815,0
zip,10014,734,0
zip,10329,2818,0
zip,10393,2842,0
zip,10844,1778,0
zip,11199,962,0
zip,11324,2808,0
zip,11440,939,0
zip,11645,987,0
zip,11728,957,0
zip,11766,605,0
zip,11817,957,0
zip,11994,2630,0
zip,12033,970,0
zip,12094,2812,0
zip,12100,1068,0
zip,12841,780,0
zip,13064,2818,0
zip,13211,2837,0
zip,13222,2630,0
zip,13270,2116,0
zip,13414,2862,0
zip,13604,605,0
zip,13747,2837,0
zip,14350,736,0
zip,14401,601,0
zip,14422,677,0
zip,14653,2859,0
zip,14762,2812,0
zip,14813,981,0
zip,14891,936,0
zip,15176,2817,0
zip,15300,2823,0
zip,15618,631,0
zip,15627,2860,0
zip,16001,2838,0
zip,16041,2817,0
