Attribute,Index,Clean Value,Cleaned Value
name,25,gang_vivekananda,0
name,32,jacob_efthimis,0
name,45,takenobu_leighton,0
name,52,magne_chihping,0
name,59,laird_capers,0
name,86,masahisa_prabhav,0
name,99,ezio_roslyn,0
name,167,vijay_ravindranath,0
name,226,laird_capers,0
name,241,abhaya_win,0
name,243,laird_capers,0
name,284,gongzhu_youngmok,0
name,293,bienvenido_hussein,0
name,334,behcet_liu,0
name,362,laird_capers,0
name,379,abhaya_win,0
name,382,zoubida_roch,0
name,384,jialin_huan,0
name,402,gang_vivekananda,0
name,427,rudie_subbu,0
name,446,laird_capers,0
name,490,abhaya_win,0
name,494,bienvenido_hussein,0
name,501,masum_zhenbing,0
name,529,yoonjoon_eila,0
name,538,slawomir_wanli,0
name,539,hideaki_sava,0
name,545,salim_uday,0
name,563,karan_spyridon,0
name,567,chengdian_brijesh,0
name,570,yasusi_seongyeol,0
name,579,renganathan_sihai,0
name,588,hing_seichi,0
name,632,laird_capers,0
name,636,abhaya_win,0
name,665,laird_capers,0
name,701,fortune_orestes,0
name,713,surjatini_joohack,0
name,722,theordore_zhaoqian,0
name,724,ayal_waeil,0
name,726,yibei_yousong,0
name,790,petko_maogang,0
name,808,yasusi_seongyeol,0
name,814,laird_capers,0
name,868,surjatini_joohack,0
name,886,graham_kukhamay,0
name,927,dagmar_marilde,0
name,934,guardian_yongjoon,0
name,949,pierangela_sudha,0
name,962,yadran_mechthild,0
name,997,laird_capers,0
surname,59,aigrain,agirain
surname,224,aigrain,agirain
surname,226,aigrain,aigrgain
surname,243,aigrain,agirain
surname,267,aigrain,agirain
surname,362,aigrain,agirain
surname,446,aigrain,agrain
surname,632,aigrain,agirain
surname,665,aigrain,agirain
surname,779,benaini,beniani
surname,814,aigrain,aigdrain
surname,997,aigrain,agirain
birthyear,379,1978,197p8
birthyear,490,1978,178
birthyear,636,1978,197p8
birthyear,978,1985,1895
birthplace,379,el,vel
birthplace,490,el,le
birthplace,538,valdosta,empty
birthplace,636,el,vel
position,338,midfield,mifdield
position,466,defender,defeder
position,563,goalkeeper,goalkeper
position,862,midfield,empty
position,1000,defender,defendr
team,28,fc_bayern_munich,0
team,39,new_york_red_bulls,empty
team,48,the_new_saints_f.c.,empty
team,61,fc_dinamo_bucuresti,0
team,84,valencia_cf,0
team,115,juventus,empty
team,149,fc_dinamo_bucuresti,0
team,164,fc_dinamo_bucuresti,0
team,169,fc_dinamo_bucuresti,0
team,180,borussia_monchengladbach,borsusia_monchengladbach
team,203,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,210,acf_fiorentina,fc_dinamo_bucuresti
team,253,lille_osc,0
team,265,valencia_cf,0
team,270,wolverhampton_wanderers_football_club,0
team,276,acf_fiorentina,fc_dinamo_bucuresti
team,294,fc_dinamo_bucuresti,0
team,309,lille_osc,0
team,324,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,342,acf_fiorentina,fc_dinamo_bucuresti
team,347,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,371,acf_fiorentina,fc_dinamo_bucuresti
team,386,acf_fiorentina,fc_dinamo_bucuresti
team,392,acf_fiorentina,fc_dinamo_bucuresti
team,394,acf_fiorentina,fc_dinamo_bucuresti
team,407,acf_fiorentina,fc_dinamo_bucuresti
team,415,acf_fiorentina,fc_dinamo_bucuresti
team,444,lille_osc,0
team,445,lille_osc,0
team,457,s.c._braga,0
team,463,lille_osc,0
team,489,aalborg_boldspilklub,0
team,491,acf_fiorentina,fc_dinamo_bucuresti
team,514,lille_osc,0
team,515,fc_dinamo_bucuresti,0
team,533,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,542,lille_osc,0
team,553,juventus,0
team,565,acf_fiorentina,fc_dinamo_bucuresti
team,567,acf_fiorentina,fc_dinamo_bucuresti
team,590,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,620,wolverhampton_wanderers_football_club,0
team,622,lille_osc,0
team,637,fc_dinamo_bucuresti,0
team,670,fc_anzhi_makhachkala,fc_dinamo_bucuresti
team,697,valencia_cf,valencia_fc
team,700,a.c._perugia_calcio,empty
team,707,acf_fiorentina,fc_dinamo_bucuresti
team,714,lille_osc,0
team,721,lille_osc,0
team,724,acf_fiorentina,0
team,741,boavista_f.c.,0
team,745,acf_fiorentina,fc_dinamo_bucuresti
