Attribute,Index,Clean Value,Dirty Value
surname,52,jungst,jgungst
surname,116,dighe,digeh
surname,224,aigrain,aigraivn
surname,226,aigrain,airgain
surname,240,burtschick,butschick
surname,243,aigrain,airain
surname,267,aigrain,iagrain
surname,362,aigrain,aigrcain
surname,431,marciano,empty
surname,446,aigrain,aigain
surname,632,aigrain,aifgrain
surname,665,aigrain,aigrin
surname,814,aigrain,aigrxain
surname,831,devroye,evroye
surname,904,steffan,empty
surname,997,aigrain,aigraiin
birthyear,103,1994,empty
birthyear,127,1982,1928
birthyear,219,1983,983
birthyear,328,1978,empty
birthyear,379,1978,1987
birthyear,388,1984,empty
birthyear,394,1983,empty
birthyear,395,1981,empty
birthyear,426,1984,empty
birthyear,486,1985,1958
birthyear,490,1978,d1978
birthyear,512,1993,9193
birthyear,563,1986,empty
birthyear,566,1980,19u80
birthyear,636,1978,1798
birthyear,656,1984,empty
birthyear,760,1976,empty
birthyear,823,1980,empty
birthyear,833,1980,empty
birthyear,850,1991,1919
birthyear,997,1990,990
birthplace,24,prague,pague
birthplace,99,toronto,toronxto
birthplace,304,chihuahua,empty
birthplace,379,el,eol
birthplace,490,el,le
birthplace,580,orlando,empty
birthplace,591,albuquerque,empty
birthplace,636,el,le
birthplace,721,wichita,wichhita
birthplace,803,athens,athenos
birthplace,874,worcester,worcestr
birthplace,962,south,empty
position,9,defender,empty
position,130,defender,defendenr
position,201,defender,defendser
position,204,defender,defkender
position,231,midfield,nmidfield
position,338,midfield,empty
position,419,midfield,empty
position,466,defender,efender
position,482,defender,defneder
position,501,midfield,midfiedl
position,512,goalkeeper,goalkeepre
position,533,midfield,empty
position,593,defender,edfender
position,777,defender,defneder
position,779,midfield,mifdield
position,786,midfield,empty
position,838,defender,empty
position,933,midfield,empty
position,972,defender,defevnder
position,1000,defender,deender
team,47,juventus,ujventus
team,55,juventus,juentus
team,99,juventus,uventus
team,113,juventus,juventvus
team,137,juventus,juventqus
team,152,juventus,juvenatus
team,171,juventus,juventums
team,176,juventus,juventsu
team,182,wolverhampton_wanderers_football_club,wloverhampton_wanderers_football_club
team,195,juventus,rjuventus
team,207,juventus,jvuentus
team,238,fc_bayern_munich,empty
team,246,juventus,ujventus
team,277,juventus,ujventus
team,294,fc_dinamo_bucuresti,acf_fiorentina
team,302,boavista_f.c.,oavista_f.c.
team,305,juventus,uventus
team,352,juventus,juventsu
team,399,juventus,juvetus
team,411,boavista_f.c.,boavista_f..c
team,441,juventus,juvenuts
team,462,juventus,juvetus
team,515,fc_dinamo_bucuresti,acf_fiorentina
team,517,vfl_wolfsburg,empty
team,610,juventus,juvntus
team,637,fc_dinamo_bucuresti,acf_fiorentina
team,656,new_york_red_bulls,new_york_red_bulsl
team,678,juventus,juvuentus
team,701,juventus,juvents
team,710,juventus,juuventus
team,745,acf_fiorentina,empty
team,750,acf_fiorentina,acf_feiorentina
team,772,juventus,juuventus
team,775,juventus,juvenus
team,822,juventus,jvuentus
team,837,acf_fiorentina,acf_fioentina
team,861,clube_de_regatas_do_flamengo,clube_deregatas_do_flamengo
team,872,fc_bayern_munich,fc_baypern_munich
team,877,fc_dinamo_bucuresti,acf_fiorentina
team,890,juventus,ujventus
team,943,juventus,pjuventus
team,987,juventus,jventus
stadium,78,santiago_bernabeu_stadium,sanotiago_bernabeu_stadium
stadium,88,stadio_olimpico,stadido_olimpico
stadium,138,bmo_field,empty
stadium,240,parc_des_princes,empty
stadium,262,bmo_field,empty
stadium,394,king_power_stadium,king_power_tadium
stadium,396,bmo_field,bmo_ield
stadium,581,gerhard_hanappi_stadium,gerhard_hanappi_staodium
stadium,696,gerhard_hanappi_stadium,gerhard_hanappi_smtadium
stadium,768,estadio_da_luz,stadio_da_luz
stadium,904,constant_vanden_stock_stadium,empty
stadium,910,king_power_stadium,king_power_staidum
stadium,925,parc_des_princes,empty
stadium,928,white_hart_lane,whfite_hart_lane
