Attribute,Index,Dirty Value,Clean Value
surname,665,aigrin,aigrain
surname,814,aigrxain,aigrain
birthyear,103,empty,1994
birthyear,219,983,1983
birthyear,328,empty,1978
birthyear,490,d1978,1978
birthyear,512,9193,1993
birthyear,563,empty,1986
birthyear,636,1798,1978
birthyear,997,990,1990
birthplace,490,le,el
birthplace,636,le,el
birthplace,803,athenos,athens
position,231,nmidfield,midfield
position,338,empty,midfield
position,466,efender,defender
position,482,defneder,defender
position,501,midfiedl,midfield
position,512,goalkeepre,goalkeeper
position,777,defneder,defender
position,1000,deender,defender
team,47,ujventus,juventus
team,55,juentus,juventus
team,99,uventus,juventus
team,113,juventvus,juventus
team,137,juventqus,juventus
team,152,juvenatus,juventus
team,171,juventums,juventus
team,176,juventsu,juventus
team,182,wloverhampton_wanderers_football_club,wolverhampton_wanderers_football_club
team,195,rjuventus,juventus
team,207,jvuentus,juventus
team,238,empty,fc_bayern_munich
team,246,ujventus,juventus
team,277,ujventus,juventus
team,302,oavista_f.c.,boavista_f.c.
team,305,uventus,juventus
team,352,juventsu,juventus
team,399,juvetus,juventus
team,411,boavista_f..c,boavista_f.c.
team,441,juvenuts,juventus
team,462,juvetus,juventus
team,517,empty,vfl_wolfsburg
team,610,juvntus,juventus
team,656,new_york_red_bulsl,new_york_red_bulls
team,678,juvuentus,juventus
team,701,juvents,juventus
team,710,juuventus,juventus
team,745,empty,acf_fiorentina
team,750,acf_feiorentina,acf_fiorentina
team,772,juuventus,juventus
team,775,juvenus,juventus
team,822,jvuentus,juventus
team,837,acf_fioentina,acf_fiorentina
team,861,clube_deregatas_do_flamengo,clube_de_regatas_do_flamengo
team,872,fc_baypern_munich,fc_bayern_munich
team,890,ujventus,juventus
team,943,pjuventus,juventus
team,987,jventus,juventus
