Attribute,Index,Dirty Value,Clean Value
surname,224,agirain,aigrain
surname,226,aigrgain,aigrain
surname,267,agirain,aigrain
surname,446,agrain,aigrain
surname,779,beniani,benaini
surname,814,aigdrain,aigrain
birthyear,490,178,1978
birthyear,636,197p8,1978
birthyear,978,1895,1985
birthplace,490,le,el
birthplace,538,empty,valdosta
birthplace,636,vel,el
position,338,mifdield,midfield
position,466,defeder,defender
position,563,goalkeper,goalkeeper
position,862,empty,midfield
position,1000,defendr,defender
team,39,empty,new_york_red_bulls
team,48,empty,the_new_saints_f.c.
team,115,empty,juventus
team,180,borsusia_monchengladbach,borussia_monchengladbach
team,203,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,210,fc_dinamo_bucuresti,acf_fiorentina
team,276,fc_dinamo_bucuresti,acf_fiorentina
team,324,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,342,fc_dinamo_bucuresti,acf_fiorentina
team,347,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,371,fc_dinamo_bucuresti,acf_fiorentina
team,386,fc_dinamo_bucuresti,acf_fiorentina
team,392,fc_dinamo_bucuresti,acf_fiorentina
team,394,fc_dinamo_bucuresti,acf_fiorentina
team,407,fc_dinamo_bucuresti,acf_fiorentina
team,415,fc_dinamo_bucuresti,acf_fiorentina
team,491,fc_dinamo_bucuresti,acf_fiorentina
team,533,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,565,fc_dinamo_bucuresti,acf_fiorentina
team,567,fc_dinamo_bucuresti,acf_fiorentina
team,590,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,670,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,697,valencia_fc,valencia_cf
team,700,empty,a.c._perugia_calcio
team,707,fc_dinamo_bucuresti,acf_fiorentina
team,745,fc_dinamo_bucuresti,acf_fiorentina
team,783,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,788,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,825,fc_dinamo_bucuresti,fc_anzhi_makhachkala
team,826,fc_dinamo_bucuresti,acf_fiorentina
team,879,fc_dinamo_bucuresti,acf_fiorentina
team,901,fc_dinamo_bucuresti,acf_fiorentina
team,910,fc_dinamo_bucuresti,acf_fiorentina
team,959,the_inew_saints_f.c.,the_new_saints_f.c.
team,996,fc_dinamo_bucuresti,fc_anzhi_makhachkala
stadium,309,allfianz_arena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,445,allianz_arena_olympic_stadium_mnich,allianz_arena_olympic_stadium_munich
stadium,622,allianz_arena_olympic_stadium_muncih,allianz_arena_olympic_stadium_munich
stadium,721,allianz_arena_olpympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,869,allianz_akrena_olympic_stadium_munich,allianz_arena_olympic_stadium_munich
stadium,897,allianz_arena_olympic_stadium_muvnich,allianz_arena_olympic_stadium_munich
