Attribute,Index,Dirty Value,Clean Value
HospitalName,19,helen nkeller memorial hospital,helen keller memorial hospital
HospitalName,22,callahan eye foundation hospital,southeast alabama medical center
HospitalName,23,callahan eye foundation hospital,southeast alabama medical center
HospitalName,24,callahan eye foundation hospital,southeast alabama medical center
HospitalName,26,callahan eye foundation hospital,southeast alabama medical center
HospitalName,27,callahan eye foundation hospital,southeast alabama medical center
HospitalName,28,callahan eye foundation hospital,southeast alabama medical center
HospitalName,29,southeast alaama medical center,southeast alabama medical center
HospitalName,30,southeast alabama medzical center,southeast alabama medical center
HospitalName,31,southeats alabama medical center,southeast alabama medical center
HospitalName,32,southeast alabama edical center,southeast alabama medical center
HospitalName,33,southeasvt alabama medical center,southeast alabama medical center
HospitalName,34,southeasat alabama medical center,southeast alabama medical center
HospitalName,35,southast alabama medical center,southeast alabama medical center
HospitalName,36,southeast alabama medical cneter,southeast alabama medical center
HospitalName,37,southeast alabama emdical center,southeast alabama medical center
HospitalName,38,southeast alabama medicalb center,southeast alabama medical center
HospitalName,39,sooutheast alabama medical center,southeast alabama medical center
HospitalName,40,souteast alabama medical center,southeast alabama medical center
HospitalName,41,southeast alabama medical cetner,southeast alabama medical center
HospitalName,42,southeast alabama smedical center,southeast alabama medical center
HospitalName,43,southeats alabama medical center,southeast alabama medical center
HospitalName,44,southeast alaama medical center,southeast alabama medical center
HospitalName,45,callahan eye foundation hospital,marshall medical center south
HospitalName,46,callahan eye foundation hospital,marshall medical center south
HospitalName,47,callahan eye foundation hospital,marshall medical center south
HospitalName,48,callahan eye foundation hospital,marshall medical center south
HospitalName,49,callahan eye foundation hospital,marshall medical center south
HospitalName,50,callahan eye foundation hospital,marshall medical center south
HospitalName,51,callahan eye foundation hospital,marshall medical center south
HospitalName,52,callahan eye foundation hospital,marshall medical center south
HospitalName,53,callahan eye foundation hospital,marshall medical center south
HospitalName,54,callahan eye foundation hospital,marshall medical center south
HospitalName,55,callahan eye foundation hospital,marshall medical center south
HospitalName,56,callahan eye foundation hospital,marshall medical center south
HospitalName,57,callahan eye foundation hospital,marshall medical center south
HospitalName,61,marshall medical cnter south,marshall medical center south
HospitalName,91,eliza coffee memoral hospital,eliza coffee memorial hospital
HospitalName,109,callahan eye foundation hospital,mizell memorial hospital
HospitalName,110,callahan eye foundation hospital,mizell memorial hospital
HospitalName,111,callahan eye foundation hospital,mizell memorial hospital
HospitalName,112,callahan eye foundation hospital,mizell memorial hospital
HospitalName,113,callahan eye foundation hospital,mizell memorial hospital
HospitalName,114,callahan eye foundation hospital,mizell memorial hospital
HospitalName,115,callahan eye foundation hospital,mizell memorial hospital
HospitalName,116,callahan eye foundation hospital,mizell memorial hospital
HospitalName,117,callahan eye foundation hospital,mizell memorial hospital
HospitalName,118,callahan eye foundation hospital,mizell memorial hospital
HospitalName,119,callahan eye foundation hospital,mizell memorial hospital
HospitalName,120,callahan eye foundation hospital,crenshaw community hospital
HospitalName,121,callahan eye foundation hospital,crenshaw community hospital
HospitalName,122,callahan eye foundation hospital,crenshaw community hospital
HospitalName,123,callahan eye foundation hospital,crenshaw community hospital
HospitalName,124,callahan eye foundation hospital,crenshaw community hospital
HospitalName,125,callahan eye foundation hospital,crenshaw community hospital
HospitalName,126,callahan eye foundation hospital,crenshaw community hospital
HospitalName,127,callahan eye foundation hospital,crenshaw community hospital
HospitalName,128,callahan eye foundation hospital,crenshaw community hospital
HospitalName,190,marshal medical center north,marshall medical center north
HospitalName,212,callahan eye foundation hospital,st vincents east
HospitalName,213,callahan eye foundation hospital,st vincents east
HospitalName,214,callahan eye foundation hospital,st vincents east
