Attribute,Index,Dirty Value,Clean Value
sched_dep_time,694,06:59 m,06:59 am
sched_dep_time,775,06:y59 am,06:59 am
sched_dep_time,876,0q6:59 am,06:59 am
sched_dep_time,1040,06r:59 am,06:59 am
act_dep_time,862,05:08 mp,05:08 pm
act_dep_time,1121,05:08 mp,05:08 pm
act_dep_time,1539,050:8 pm,05:08 pm
act_arr_time,1539,07q:55 pm,07:55 pm
act_arr_time,1613,7:55 pm,07:55 pm
act_arr_time,1700,07:55 pm***,07:55 pm
act_arr_time,1809,07:55pm,07:55 pm
act_arr_time,1909,07:55 mp,07:55 pm
act_arr_time,2294,07:55 mp,07:55 pm
act_arr_time,2376,11:12 ma,11:12 am
