Attribute,Index,Clean Value,Dirty Value
sched_dep_time,117,06:59 am,06:5b9 am
sched_dep_time,145,10:40 am,10:j40 am
sched_dep_time,215,06:59 am,06:5 am
sched_dep_time,306,06:59 am,06:5 9am
sched_dep_time,404,06:59 am,06:59 anm
sched_dep_time,440,06:40 am,nan
sched_dep_time,502,06:59 am,06:59am
sched_dep_time,576,10:40 am,1:040 am
sched_dep_time,603,06:59 am,06:e59 am
sched_dep_time,633,08:00 am,nan
sched_dep_time,694,06:59 am,06:59a m
sched_dep_time,704,08:20 pm,08:2 pm
sched_dep_time,775,06:59 am,0659 am
sched_dep_time,794,06:59 am,0659 am
sched_dep_time,876,06:59 am,065:9 am
sched_dep_time,907,06:45 am,nan
sched_dep_time,972,07:10 am,07:0 am
sched_dep_time,1030,07:10 am,07:1 am
sched_dep_time,1040,06:59 am,06:5 am
sched_dep_time,1094,02:55 pm,02:55 mp
sched_dep_time,1121,04:55 pm,04:5 pm
sched_dep_time,1194,01:55 pm,nan
sched_dep_time,1280,10:25 am,nan
sched_dep_time,1476,07:10 am,nan
sched_dep_time,1525,05:25 pm,nan
sched_dep_time,1866,06:30 pm,nan
sched_dep_time,1904,07:15 pm,nan
sched_dep_time,2033,07:55 am,nan
sched_dep_time,2130,02:55 pm,02:p55 pm
sched_dep_time,2220,06:59 am,06:59 m
sched_dep_time,2280,05:25 pm,nan
act_dep_time,198,09:14 am,nan
act_dep_time,308,02:26 pm,0m2:26 pm
act_dep_time,350,12:41 am,nan
act_dep_time,730,07:16 am,nan
act_dep_time,765,05:08 pm,05:08 mp
act_dep_time,862,05:08 pm,05:08pm
act_dep_time,914,08:42 am,08:42 m
act_dep_time,917,12:41 am,nan
act_dep_time,1048,11:15 am,11:15 am***
act_dep_time,1121,05:08 pm,05:8 pm
act_dep_time,1275,05:08 pm,0c5:08 pm
act_dep_time,1308,08:04 am,08:0 am
act_dep_time,1320,03:58 pm,03:58 m
act_dep_time,1374,05:08 pm,5:08 pm
act_dep_time,1389,08:51 am,08:1 am
act_dep_time,1429,11:56 am,1:56 am
act_dep_time,1522,12:13 pm,1213 pm
act_dep_time,1529,03:36 pm,nan
act_dep_time,1539,05:08 pm,05:08 pvm
act_dep_time,1580,03:31 pm,nan
act_dep_time,1585,06:10 am,06:10a m
act_dep_time,1613,05:08 pm,050:8 pm
act_dep_time,1700,05:08 pm,50:08 pm
act_dep_time,1809,05:08 pm,05:08 upm
act_dep_time,1860,07:14 pm,nan
act_dep_time,1909,05:08 pm,05:08h pm
act_dep_time,1955,08:42 am,nan
act_dep_time,2141,11:52 am,11:x52 am
act_dep_time,2152,11:56 am,nan
act_dep_time,2168,12:41 am,12:4 am
act_dep_time,2267,12:12 pm,nan
act_dep_time,2294,05:08 pm,05:08f pm
act_dep_time,2375,06:10 am,nan
sched_arr_time,176,01:17 pm,01h:17 pm
sched_arr_time,363,01:17 pm,01:17b pm
sched_arr_time,463,01:17 pm,0117 pm
sched_arr_time,561,01:17 pm,01:17k pm
sched_arr_time,599,12:29 am,nan
sched_arr_time,601,11:50 pm,nan
sched_arr_time,632,09:25 am,nan
sched_arr_time,655,01:17 pm,10:17 pm
sched_arr_time,761,03:15 pm,nan
sched_arr_time,1086,01:16 pm,nan
sched_arr_time,1153,11:05 am,nan
sched_arr_time,1194,07:53 pm,nan
sched_arr_time,1268,09:10 pm,09:1u0 pm
sched_arr_time,1416,06:17 pm,nan
sched_arr_time,1462,12:15 am,12:15 awm
sched_arr_time,1536,12:18 pm,nan
sched_arr_time,1567,11:45 am,11:4 5am
sched_arr_time,1597,01:16 pm,01:16 m
