Attribute,Index,Clean Value,Cleaned Value
sched_dep_time,106,08:00 pm,0z8:00 pm
sched_dep_time,204,08:00 pm,08:00 mp
sched_dep_time,297,08:00 pm,08:0 0pm
sched_dep_time,393,08:00 pm,080:0 pm
sched_dep_time,404,06:59 am,06:9 am
sched_dep_time,491,08:00 pm,08:0 0pm
sched_dep_time,502,06:59 am,06:g59 am
sched_dep_time,592,08:00 pm,8:00 pm
sched_dep_time,603,06:59 am,06:5 9am
sched_dep_time,683,08:00 pm,08:00pm
sched_dep_time,694,06:59 am,06:59 ram
sched_dep_time,768,08:00 pm,0800 pm
sched_dep_time,775,06:59 am,0659 am
sched_dep_time,794,06:59 am,60:59 am
sched_dep_time,876,06:59 am,0659 am
sched_dep_time,1040,06:59 am,6:59 am
sched_dep_time,1135,06:59 am,6:59 am
sched_dep_time,1290,06:59 am,6:59 am
sched_dep_time,1388,06:59 am,06:95 am
sched_dep_time,1554,06:59 am,06:5 9am
sched_dep_time,1621,06:59 am,06:59 m
sched_dep_time,1709,06:59 am,06:5i9 am
sched_dep_time,1823,06:59 am,06:59am
sched_dep_time,1924,06:59 am,06:5 9am
sched_dep_time,2015,06:59 am,0j6:59 am
sched_dep_time,2115,06:59 am,06d:59 am
sched_dep_time,2220,06:59 am,06:59 uam
sched_dep_time,2303,06:59 am,0e6:59 am
sched_dep_time,2360,06:59 am,06:l59 am
act_dep_time,106,08:23 pm,08:23p m
act_dep_time,204,08:23 pm,8:23 pm
act_dep_time,297,08:23 pm,082:3 pm
act_dep_time,368,10:18 am,10:1u8 am
act_dep_time,393,08:23 pm,08r:23 pm
act_dep_time,491,08:23 pm,0:23 pm
act_dep_time,592,08:23 pm,08c:23 pm
act_dep_time,683,08:23 pm,08:3 pm
act_dep_time,768,08:23 pm,08:23 psm
act_dep_time,775,07:22 am,0722 am
act_dep_time,794,07:22 am,07:22am
act_dep_time,809,08:23 pm,08g:23 pm
act_dep_time,865,08:23 pm,0e8:23 pm
act_dep_time,876,07:22 am,07:f22 am
act_dep_time,937,08:23 pm,v08:23 pm
act_dep_time,1040,07:22 am,7:22 am
act_dep_time,1135,07:22 am,0:722 am
act_dep_time,1290,07:22 am,072:2 am
act_dep_time,1388,07:22 am,07:22 am***
act_dep_time,1554,07:22 am,a07:22 am
act_dep_time,1621,07:22 am,0:22 am
act_dep_time,1709,07:22 am,0:722 am
act_dep_time,1823,07:22 am,07:22 ma
act_dep_time,1924,07:22 am,07:2 am
act_dep_time,2015,07:22 am,f07:22 am
act_dep_time,2115,07:22 am,0:722 am
act_dep_time,2220,07:22 am,07:22 aum
act_dep_time,2303,07:22 am,0:22 am
act_dep_time,2360,07:22 am,7:22 am
sched_arr_time,176,01:17 pm,01:17p m
sched_arr_time,363,01:17 pm,01:17 m
sched_arr_time,436,10:45 am,1:045 am
sched_arr_time,463,01:17 pm,01:71 pm
sched_arr_time,561,01:17 pm,c01:17 pm
sched_arr_time,694,10:34 am,10:w34 am
sched_arr_time,746,01:17 pm,01:1 pm
sched_arr_time,837,01:17 pm,01:17 phm
sched_arr_time,1096,01:17 pm,01:1 pm
