Attribute,Index,Dirty Value,Cleaned Value
sched_dep_time,34,nan,08:25 pm
sched_dep_time,44,nan,08:35 am
sched_dep_time,93,07r:15 am,07:15 am
sched_dep_time,173,nan,08:05 am
sched_dep_time,265,nan,09:45 am
sched_dep_time,269,02:0 pm,02:30 pm
sched_dep_time,289,12:00p m,12:00 pm
sched_dep_time,325,nan,01:05 pm
sched_dep_time,430,02:55 pzm,02:55 pm
sched_dep_time,447,nan,10:39 am
sched_dep_time,456,07:00 am***,07:00 am
sched_dep_time,485,nan,09:15 am
sched_dep_time,499,04:2d5 pm,04:25 pm
sched_dep_time,520,nan,07:55 am
sched_dep_time,535,nan,06:00 am
sched_dep_time,582,l12:00 pm,12:00 pm
sched_dep_time,587,nan,07:10 am
sched_dep_time,589,7:25 am,07:25 am
sched_dep_time,628,06:00 m,06:00 am
sched_dep_time,633,nan,08:00 am
sched_dep_time,637,nan,03:27 pm
sched_dep_time,667,05:52 pm,05:25 pm
sched_dep_time,671,nan,03:35 pm
sched_dep_time,690,11:55 npm,11:55 pm
sched_dep_time,754,nan,02:30 pm
sched_dep_time,761,12:00 mp,12:00 pm
sched_dep_time,806,06q:30 pm,06:30 pm
sched_dep_time,867,nan,07:05 am
sched_dep_time,872,nan,11:55 pm
sched_dep_time,933,nan,07:15 pm
sched_dep_time,939,07:05m am,07:05 am
sched_dep_time,942,01:2 9pm,01:29 pm
sched_dep_time,943,nan,04:25 pm
sched_dep_time,1008,06:00am,06:00 am
sched_dep_time,1014,nan,10:15 am
sched_dep_time,1015,0:30 am,07:30 am
sched_dep_time,1029,06:00 aam,06:00 am
sched_dep_time,1031,3:50 pm,03:50 pm
sched_dep_time,1033,07:05 ma,07:05 am
sched_dep_time,1104,nan,12:30 pm
sched_dep_time,1286,1:55 pm,11:55 pm
sched_dep_time,1306,07:15 aam,07:15 am
sched_dep_time,1316,025:5 pm,02:55 pm
sched_dep_time,1338,nan,07:35 am
sched_dep_time,1396,nan,11:15 am
sched_dep_time,1454,010:5 pm,01:05 pm
sched_dep_time,1471,nan,07:00 am
